stratum,gender,n,stroop_r,stroop_p,prp_r,prp_p
Low Stress,male,12,0.06021273970160437,0.852534193298353,0.6996121575032141,0.011322034701365325
Low Stress,female,25,0.04101835263162178,0.8456486756702747,-0.06082708313372035,0.7727097808735582
High Stress,male,15,-0.07117486671814786,0.8009921682217138,-0.21826432085253014,0.4345136850146371
High Stress,female,20,0.1177775487307417,0.620932394471123,0.025222054883559736,0.915939566778033
