participant_id,prp_t2_cv_all,prp_t2_cv_short,prp_t2_cv_long,prp_t2_rt_sd_all,prp_t2_rt_iqr_all,prp_t2_rt_skew_all,prp_t2_rt_mssd_all,prp_t2_rt_sd_block_slope,prp_t2_rt_p90_block_slope,prp_t2_residual_sd_block_slope,prp_t2_rt_sd_soa_50,prp_t1_rt_sd_soa_50,prp_t2_rt_sd_soa_150,prp_t1_rt_sd_soa_150,prp_t2_rt_sd_soa_300,prp_t1_rt_sd_soa_300,prp_t2_rt_sd_soa_600,prp_t1_rt_sd_soa_600,prp_t2_rt_sd_soa_1200,prp_t1_rt_sd_soa_1200,prp_exg_short_sigma,prp_exg_long_sigma,prp_exg_overall_sigma,prp_exg_sigma_bottleneck
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.31759140971771366,0.1949187184840105,0.17295066967749453,203.62507806675228,304.1000000052154,0.5649556758514768,75494.80427351057,2.41581178501284,8.037000004649148,4.911209218138234,161.98069933283432,148.93414492915025,141.17825996554552,144.810981685181,162.79821259247407,176.27045010631124,135.0697436590768,209.85641843538792,82.2820017268154,167.39086753966035,129.6130702998853,78.01653363392846,60.2830692644868,51.59653666595683
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.5013536140234047,0.4029919692087206,0.17907752510115962,331.8559841943758,289.9999999999418,1.6130807757325039,186982.99219298494,22.125393281272675,80.60099999998342,25.53039645624106,386.5422611361714,358.89243111915914,316.2362449320201,225.38449594968895,306.6070340571874,341.2181662807492,118.4407012396746,117.091476610909,72.57155634621292,116.82481293371946,28.936482075254222,10.0,10.0,18.936482075254222
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.49977747460222816,0.39874550045785484,0.3715322841716276,455.05004432959345,669.3000001907349,0.9821418287632844,383798.5517172997,-7.179961549509532,-17.50099973678591,-1.788510100228082,445.93709425510986,350.57949312955515,311.3876306441117,265.7623475356542,450.8332903506983,517.4549507477957,489.493960738314,528.9366454910062,196.626192275602,302.38438881691815,42.9151572064368,24.67718618641548,83.21835444067334,18.237971020021323
0oa5NYVnIBS9NmrmRAZrahXDctP2,0.48342478776681846,0.4287024150770688,0.2686595699543901,325.796366388411,268.8500000052154,1.4689890210836551,163742.30342375903,-21.583917504234126,-99.0429999965429,-29.056621336664456,396.72033897828277,399.28272033595385,320.9242438430283,321.87358787408016,338.72974465242106,340.80674498213995,185.5026716392955,316.73071485440624,137.04996312281645,370.112032173486,10.0,73.43789147337891,60.2094678261462,-63.43789147337891
146QT9LupyU2BAiTsB3PMIpVXM22,0.5568336896679829,0.43145331192432484,0.29261875830302625,430.62125935545305,460.5999999828636,1.7065534113446208,271220.5375229501,-86.61017982955408,-210.29100000262267,-75.6238824586963,415.28167582658523,294.74445929547613,439.5451583553577,391.86214600717886,352.77075592336024,358.02215305468195,505.285863552894,548.2145712633024,141.5769357786338,289.35792572007045,70.21607182507562,79.51930459637309,63.40301519497187,-9.303232771297472
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.3853069783079049,0.24697495496013167,0.4740454015231398,320.9850481078204,398.30000000447023,0.6141658134168038,160586.49637306677,-18.25452789680859,-101.58699999988087,-24.222827975797117,256.21763121541215,248.26244783374614,221.3001122397565,181.6123985616486,293.61529547906366,286.743732391086,286.98900193580965,244.26651735632353,266.211531093985,438.0083459328165,166.92037977290968,10.0,191.7869532808347,156.92037977290968
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.34890292159377817,0.2664911407884794,0.36188339482833015,491.55769613712744,747.6250000298025,0.34830794090172856,362500.58270285325,-43.46137952466647,-202.4929999876024,-45.824130082285144,479.9881653230489,454.1917302569656,414.1247610020917,347.02909097259294,338.9992599373943,329.8345605277009,364.38666873398415,394.5253767379541,321.45197254329196,522.0044848138377,268.40581201670443,79.1370742241778,412.9245253763026,189.26873779252665
1fbLQPCcysVlSKup96K4yI5NX6G3,0.45807522072986184,0.34182936097188743,0.35468039541781116,384.96882642330286,502.14999988675095,1.1008162092528184,220782.40389494857,-50.40858788900386,-172.00199999570853,-1.3770027790207713,349.9342032892579,306.19239926947444,414.99165703798354,301.29478210917574,232.92606033132571,175.90450543304266,301.65480560411146,256.60519652302423,187.88307246058596,313.26394621521973,58.24995801372536,10.0,52.19229747711962,48.24995801372536
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,0.3990195766786839,0.2679267055736061,0.37041801780915595,544.475757079029,661.1999999284745,0.6515934246687867,536924.8648245789,-4.160491529372111,93.28600000739074,-3.83016291806704,444.4168127710942,391.9136249919959,366.82800057455506,359.9624563761863,536.7871619417903,563.3911428513483,561.6791812356672,411.55301314191655,320.3069020520608,473.059225420658,151.71659488283052,10.0,341.6964587666045,141.71659488283052
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,0.433167458129497,0.27716895843801864,0.6230920963469503,309.9894966261607,418.27500000596035,0.9846265862664518,186735.2389133448,-5.819388207294147,9.818000013828208,0.4870338592301993,227.95585586924628,232.37425084712453,238.10870152794809,182.3524684431801,269.55579701943697,270.01735963140254,326.34335582518185,319.2825936513487,340.10443592271037,498.0223675464807,101.93324118860784,33.33945604994321,55.9291551234654,68.59378513866464
23hG7h2ByUZDbmOMTDtp0HT0xRb2,0.5046210037785663,0.42149147316964586,0.633352095654041,611.2027268682856,954.6999998092651,0.8201609788336458,421509.05551197793,16.66966184586501,-104.82200001239787,0.6886292798447469,677.3306563787851,546.6848599944493,571.330430301809,463.3698294741431,466.0512525259495,400.14902867576177,567.5993509761697,504.99443057097386,572.2796804050012,463.55119049292995,111.81914035764112,124.30484189267452,166.9405947979117,-12.4857015350334
28nQWMwCaSNFBEXlicY3eHqpwKU2,0.44022649840753814,0.3051153766845897,0.2742300061495639,443.0309770333327,681.8749999403954,0.8312797838369325,318189.119389437,33.4354058438141,112.77599995851513,35.719808375244526,426.01485176445084,307.6476151936335,329.3004771315724,284.6908793064644,449.65807681619737,343.30346746502534,209.69024869145917,104.29445735421143,171.60191934873987,160.359505840572,284.55743494909524,55.43921813813177,58.61087429230298,229.11821681096347
