participant_id,prp_exg_short_mu,prp_exg_short_sigma,prp_exg_short_tau,prp_exg_correct_short_mu,prp_exg_correct_short_sigma,prp_exg_correct_short_tau,prp_exg_long_mu,prp_exg_long_sigma,prp_exg_long_tau,prp_exg_correct_long_mu,prp_exg_correct_long_sigma,prp_exg_correct_long_tau,prp_exg_overall_mu,prp_exg_overall_sigma,prp_exg_overall_tau,prp_exg_correct_overall_mu,prp_exg_correct_overall_sigma,prp_exg_correct_overall_tau,prp_exg_mu_bottleneck,prp_exg_sigma_bottleneck,prp_exg_tau_bottleneck,prp_exg_correct_mu_bottleneck,prp_exg_correct_sigma_bottleneck,prp_exg_correct_tau_bottleneck,prp_exg_tau_ratio_short_long,prp_exg_correct_tau_ratio_short_long,prp_exg_soa_50_mu,prp_exg_soa_50_sigma,prp_exg_soa_50_tau,prp_exg_correct_soa_50_mu,prp_exg_correct_soa_50_sigma,prp_exg_correct_soa_50_tau,prp_exg_soa_150_mu,prp_exg_soa_150_sigma,prp_exg_soa_150_tau,prp_exg_correct_soa_150_mu,prp_exg_correct_soa_150_sigma,prp_exg_correct_soa_150_tau,prp_exg_soa_300_mu,prp_exg_soa_300_sigma,prp_exg_soa_300_tau,prp_exg_correct_soa_300_mu,prp_exg_correct_soa_300_sigma,prp_exg_correct_soa_300_tau,prp_exg_soa_600_mu,prp_exg_soa_600_sigma,prp_exg_soa_600_tau,prp_exg_correct_soa_600_mu,prp_exg_correct_soa_600_sigma,prp_exg_correct_soa_600_tau,prp_exg_soa_1200_mu,prp_exg_soa_1200_sigma,prp_exg_soa_1200_tau,prp_exg_correct_soa_1200_mu,prp_exg_correct_soa_1200_sigma,prp_exg_correct_soa_1200_tau
06qcrpGKL6Vc3LVplFQC90VAcRm1,719.3129327014602,129.6130702998853,89.79505489452296,719.3129327014602,129.6130702998853,89.79505489452296,455.6750673841328,78.01653363392846,20.08048360369404,455.6750673841328,78.01653363392846,20.08048360369404,401.3872014438898,60.2830692644868,241.6263260084276,399.98111889573823,58.99853208277939,241.17393892861347,263.63786531732745,51.59653666595683,69.71457129082893,263.63786531732745,51.59653666595683,69.71457129082893,4.471757586455941,4.471757586455941,812.3570641203279,151.7106293107154,45.825346855604614,812.3570641203279,151.7106293107154,45.825346855604614,698.3464011892296,123.34856251846527,63.73052606863835,698.3464011892296,123.34856251846527,63.73052606863835,517.1398472633448,112.42265589038986,122.99057144978823,506.69692115953615,104.88634424825494,123.75723388412712,359.7079987321247,22.85340647783681,128.1917860071322,359.7079987321247,22.85340647783681,128.1917860071322,455.6750673841328,78.01653363392846,20.08048360369404,455.6750673841328,78.01653363392846,20.08048360369404
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,537.4916403596056,28.936482075254222,336.8898888316686,535.893797130926,27.873451714444,338.58255172458644,332.6256316092116,10.0,89.13332333375092,334.03316474860173,10.0,71.21869076577782,333.7416652983316,10.0,327.86798267835906,333.33024439348605,10.0,328.5838687128128,204.86600875039403,18.936482075254222,247.75656549791768,201.8606323823243,17.873451714444,267.36386095880863,3.779617725799561,4.75412490855958,542.1150266756358,10.0,382.72913954428975,541.6677060348138,10.0,385.597461491912,533.3297958087106,33.82908894372938,290.5702234913395,533.3297958087106,33.82908894372938,290.5702234913395,414.7810977968811,29.661090086123217,251.63981269838942,411.1590049707694,30.8797789412636,274.1806756418646,349.2315507097102,18.381754700129367,121.93522677504792,349.2315507097102,18.381754700129367,121.93522677504792,332.6256316092116,10.0,89.13332333375092,334.03316474860173,10.0,71.21869076577782
0d841i8KPjdjwCYfDuUUXj0SEjH2,597.8326474362099,42.9151572064368,486.02876352186723,592.4970924243266,40.102847153303465,502.58220575179257,312.0786940382228,24.67718618641548,209.09072036556753,320.6843686957025,32.580069074064404,208.5453819358645,393.14256973465336,83.21835444067334,535.5902490986454,393.41038859984303,78.946347736865,539.5210249501848,285.75395339798706,18.237971020021323,276.9380431562997,271.8127237286241,7.52277807923906,294.0368238159281,2.3244874888379075,2.4099416687460162,660.0560597756445,93.72894018718961,569.2271845304073,684.3594396319347,112.09240573920385,567.382217582889,587.5100542950361,10.0,350.9782113089366,587.032659500531,10.0,351.2686124154865,675.4517397410534,197.42858310693939,427.81710607009205,675.4517397410534,197.42858310693939,427.81710607009205,381.6552599425071,10.0,469.76814332011566,381.33597368638215,10.0,448.8369109909796,312.0786940382228,24.67718618641548,209.09072036556753,320.6843686957025,32.580069074064404,208.5453819358645
0oa5NYVnIBS9NmrmRAZrahXDctP2,415.0270708272255,10.0,431.89382551540075,413.97477902813887,10.0,436.02812563935845,410.5784885784353,73.43789147337891,99.54495985540608,410.5784885784353,73.43789147337891,99.54495985540608,368.03831526016813,60.209467826146195,319.86904611634793,369.644267312295,60.36126170078283,308.17384050438676,4.44858224879016,-63.43789147337891,332.34886565999466,3.3962904497035424,-63.43789147337891,336.48316578395236,4.338680995429077,4.3802129838889945,524.7864508444919,84.73116833900274,384.79845390559103,518.1899457807658,86.43441462345102,400.4696537147604,413.88179872644236,10.0,370.3984438868056,412.8459089670732,10.0,365.2794280317775,360.5593454237306,55.59282597501641,372.63080099038854,364.720782997197,57.2553229552949,335.28908822190135,346.87030199645915,47.15438179279702,155.40662987205152,352.37648551158884,49.54345847437212,156.33132667067335,410.5784885784353,73.43789147337891,99.54495985540608,410.5784885784353,73.43789147337891,99.54495985540608
146QT9LupyU2BAiTsB3PMIpVXM22,508.8118355317701,70.21607182507562,491.48270886352753,515.2427699566122,77.73712768155626,469.9908712468185,350.0978441506862,79.51930459637309,176.35366908444453,288.90958691285977,10.0,227.72804251098182,362.238109373837,63.40301519497187,416.3926851894835,366.3490876467161,67.43177886961489,411.1610276387886,158.71399138108387,-9.303232771297473,315.129039779083,226.3331830437524,67.73712768155626,242.26282873583665,2.7869151314804106,2.0638251928247,639.0094967374092,221.5096538272425,433.8900800442752,670.8258221240128,239.63906726109573,360.4194492856447,499.57752129572714,10.0,424.9015188159202,538.5124647541595,50.10601201955974,398.62341863248537,415.7567132157874,69.93526969877746,256.28102114260145,410.5407121318077,69.74262411968594,266.7098510583374,364.54219095567856,10.0,330.6873182626224,364.96953888700125,10.0,358.22711093025737,350.0978441506862,79.51930459637309,176.35366908444453,288.90958691285977,10.0,227.72804251098182
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,819.4679592232676,166.92037977290968,198.57574384851054,807.1483520057285,159.44257395991178,195.89125533161004,278.30777061877023,10.0,313.5654760620675,278.30777061877023,10.0,313.5654760620675,554.4817903380633,191.7869532808347,287.7934601853764,550.2686407570457,184.3419317255453,286.750564636685,541.1601886044973,156.92037977290968,-114.98973221355695,528.8405813869583,149.44257395991178,-117.67422073045745,0.633283186473004,0.624722012741081,910.5725202682271,185.779894145614,173.16571682888062,885.8395621930167,172.08761179911994,186.75228511291243,725.7762502035677,109.88746700690558,226.5716035731888,722.4995188529458,108.99207223499585,207.84132801468715,605.1180398503204,64.89312369456115,307.57764514964504,562.6060255036292,10.0,357.504182483312,383.41768944112243,37.082137412591635,287.3285769236619,407.80467041420144,10.0,277.1396493707689,278.30777061877023,10.0,313.5654760620675,278.30777061877023,10.0,313.5654760620675
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1312.1751652058233,268.40581201670443,361.05166464386576,1312.1751652058233,268.40581201670443,361.05166464386576,584.2326055786895,79.1370742241778,304.0432250569044,584.2326055786895,79.1370742241778,304.0432250569044,1144.903836334835,412.9245253763026,263.9590010871182,1144.903836334835,412.9245253763026,263.9590010871182,727.9425596271338,189.26873779252662,57.008439586961345,727.9425596271338,189.26873779252662,57.008439586961345,1.1875011014512549,1.1875011014512549,1103.0340039203375,147.6166153602714,524.1535813330224,1103.0340039203375,147.6166153602714,524.1535813330224,1402.80582260519,258.1322689969895,316.48385164951793,1402.80582260519,258.1322689969895,316.48385164951793,1570.0385404481358,331.75000347649734,10.0,1570.0385404481358,331.75000347649734,10.0,753.439558033192,10.0,476.05375391269763,753.439558033192,10.0,476.05375391269763,584.2326055786895,79.1370742241778,304.0432250569044,584.2326055786895,79.1370742241778,304.0432250569044
1fbLQPCcysVlSKup96K4yI5NX6G3,666.892575100254,58.24995801372536,431.96639308058616,663.1397850835693,58.48265287540216,449.3486478574061,355.4349891851235,10.0,174.28696626458307,355.4349891851235,10.0,174.28696626458307,409.7642234664112,52.192297477119624,442.75362490588947,405.2918880428577,49.01525108256895,448.6058845697106,311.4575859151305,48.24995801372536,257.6794268160031,307.7047958984458,48.48265287540216,275.061681592823,2.4784778938938143,2.5782114261789086,749.524906422179,76.66118657966814,371.89390141365055,783.2646598430813,105.32265800528889,352.45307710457956,628.1030443093606,47.999518088511664,448.2455740044132,623.4348321088439,46.63189218325806,465.8701290124848,486.08177921824256,10.0,324.7262507333708,485.7181849528193,10.0,324.45846537555144,452.8480737337474,22.31078847759323,271.4477736009144,452.8480737337474,22.31078847759323,271.4477736009144,355.4349891851235,10.0,174.28696626458307,355.4349891851235,10.0,174.28696626458307
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,1151.027969602392,151.71659488283052,375.6210319243902,1151.027969602392,151.71659488283052,375.6210319243902,492.6388805584817,10.0,372.0894585307747,492.6388805584817,10.0,372.0894585307747,927.1202844527185,341.6964587666045,437.42736773986115,927.1202844527185,341.6964587666045,437.42736773986115,658.3890890439103,141.71659488283052,3.5315733936154743,658.3890890439103,141.71659488283052,3.5315733936154743,1.0094911944228686,1.0094911944228686,1166.6078088696122,178.45143863997765,417.99430517680776,1166.6078088696122,178.45143863997765,417.99430517680776,1155.4961563034853,137.01125473866696,307.3982563624676,1155.4961563034853,137.01125473866696,307.3982563624676,1124.4227093901516,180.60477626283912,592.0643825928624,1124.4227093901516,180.60477626283912,592.0643825928624,634.688068175493,175.19118867125974,567.4796373638079,634.688068175493,175.19118867125974,567.4796373638079,492.6388805584817,10.0,372.0894585307747,492.6388805584817,10.0,372.0894585307747
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,626.492966234448,101.93324118860785,278.84118039938227,614.2116191439535,93.44310925047648,241.40580656622487,295.5536094974726,33.33945604994321,296.75983494265336,266.50651757146323,10.0,305.9447634629927,360.7323650811591,55.9291551234654,380.66819250335556,368.05380686403123,63.44454387370849,353.81947524567994,330.93935673697536,68.59378513866464,-17.91865454327109,347.70510157249026,83.44310925047648,-64.53895689676781,0.9396190035395668,0.7890502972946798,911.6515164120542,211.51164578129718,19.100890203334348,847.7563132489356,204.16604963925704,59.82435676800166,502.3260353098422,10.0,377.56845871833804,,,,431.20574914676746,10.0,305.48224579709535,430.6960039459235,10.0,314.00400982295025,353.1254284661289,10.0,214.24540654785565,354.21663329879306,10.0,238.31293114782773,295.5536094974726,33.33945604994321,296.75983494265336,266.50651757146323,10.0,305.9447634629927
