participant_id,prp_cascade_rate,prp_cascade_inflation,prp_pes,prp_post_error_accuracy,prp_post_error_accuracy_drop,prp_t2_rt_t1_error,prp_t2_rt_t1_correct,prp_t2_interference_t1_error,prp_t1_error_run_mean,prp_t1_error_run_max,prp_t2_error_run_mean,prp_t2_error_run_max,prp_cascade_run_mean,prp_cascade_run_max
wkhxvE50megJGMA1EiROSZIJWNq1,0.0,0.0,489.7338982988465,1.0,0.008474576271186418,2920.20000000298,1243.5781512607296,1676.6218487422502,1.0,1.0,1.0,1.0,0.0,0.0
xBGZhFOeypWnqzSQClkrwV9z2vF3,0.0,0.0,201.45275362309053,1.0,0.02608695652173909,1107.9000000001397,1108.6752136752136,-0.7752136750739282,1.0,1.0,1.0,1.0,0.0,0.0
xFaL2YdAmJcWA8oTLXhVCHNqt0K3,0.0,0.0,504.72678571430265,1.0,0.01754385964912286,1791.8999999999069,1031.1747826087035,760.7252173912034,1.0,1.0,1.0,1.0,0.0,0.0
xHctBv4C2EU8rHYRouw0btT3GT02,0.0,0.0,-248.1355932203271,1.0,0.008474576271186418,1844.0,1116.496581196566,727.503418803434,1.0,1.0,1.0,1.0,0.0,0.0
xyAILKfYP2M8GqAai11x6NT7IcP2,,,1482.3822033899773,1.0,0.008474576271186418,,1128.026050420118,,0.0,0.0,1.0,1.0,0.0,0.0
y1EHXv8tUTa4BRS4fRio7bULYfA2,0.0,0.0,623.5447368329035,1.0,0.02631578947368418,1422.7599999427796,1194.983185818765,227.77681412401466,1.6666666666666667,3.0,1.0,1.0,0.0,0.0
yGTid3RXTdQe5JNosdSxvgktWIW2,0.0,,,,,1440.9499999880793,1133.1446428543754,307.80535713370386,1.0,1.0,0.0,0.0,0.0,0.0
yatBVTBMCSMp0wJluOCLzTFKMyP2,0.0,0.0,310.43434343535,1.0,0.04040404040404044,2253.0,1363.4951456310318,889.5048543689682,1.0,1.0,1.0,1.0,0.0,0.0
yfjd8LbAMrYeG54927d3GiKAyXI2,0.5,8.499999999999998,534.1764935064898,0.8571428571428571,-0.08880308880308885,1377.0499999999884,1015.5871794871791,361.46282051280923,1.0,1.0,1.1666666666666667,2.0,1.0,1.0
zxG9mUnF7uRkaOKSoCPsiRZzr372,0.0,0.0,307.38275866672893,1.0,0.008620689655172376,1688.8000000715256,1388.0862068975794,300.7137931739462,1.0,1.0,1.0,1.0,0.0,0.0
