task,outcome,outcome_label,n,ucla_beta,ucla_se,ucla_p,interaction_beta,interaction_p,r_squared
wcst,rt_slope,RT Fatigue Slope,170,-0.3184906331882235,0.41553494579897826,0.4434030464562827,-0.6540027660244672,0.41251033266037673,0.036855476121276376
wcst,rt_q4_q1_diff,RT Q4-Q1 Difference,170,-12.467335105898398,25.710804161249516,0.6277426976694589,-27.049669619949597,0.5193963560617342,0.018606385833449757
wcst,acc_slope,Accuracy Fatigue Slope,170,-0.00031680501785811687,0.00025114227303539045,0.2071444730788975,0.000276784943262964,0.3297643437361837,0.021538824717405647
wcst,acc_q4_q1_diff,Accuracy Q4-Q1 Difference,170,-0.018553211335073233,0.01930725108060405,0.33657969407318566,0.006099905073578763,0.7581115340241965,0.0205631028392258
stroop,rt_slope,RT Fatigue Slope,170,-0.15328074015454435,0.17790551394991608,0.3889158727891967,0.4117694220700835,0.12064341000652774,0.0662125888215811
stroop,rt_q4_q1_diff,RT Q4-Q1 Difference,170,-12.495220996936524,15.17488495766867,0.4102722943893574,37.13379737066308,0.08351557026311357,0.07144817942061998
stroop,acc_slope,Accuracy Fatigue Slope,170,6.673051937999221e-05,3.940810592737865e-05,0.09039464346653099,-9.930594550664092e-05,0.05202627186149042,0.06777981737955463
stroop,acc_q4_q1_diff,Accuracy Q4-Q1 Difference,170,0.005817897103281778,0.003331717739491239,0.08077351531681158,-0.010477941577858842,0.018211759825368507,0.07261534869352826
