participant_id,ucla_total,gender_male,post_error_slowing,post_error_accuracy,post_correct_accuracy,n_post_error_trials
mg2WZiRBn4NQDKiMK43Y8dBqyG53,54.0,0,254.78393817203778,46.875,83.87096774193549,32
mwsliuPsLFhRFjtjQwYkqcCRDvi2,49.0,1,1684.98081958333,70.0,90.1639344262295,10
nT1qJOiMyDdJ9ui4el195A8Hsgs1,62.0,0,4169.355072468951,66.66666666666666,91.30434782608695,9
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,29.0,0,1318.692753623162,53.333333333333336,88.40579710144928,15
pcbRW89vVJcviD87V3uxyG4I9st2,33.0,1,1420.5924242424855,100.0,93.93939393939394,4
q0Atnpm0jZS5swcVmq0EMalQUKw1,24.0,0,1246.0000000000057,60.0,91.66666666666666,10
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,40.0,1,2556.317874396216,88.88888888888889,89.85507246376811,9
rUuJv5gl7dWVo7UPQWMx4bohxhK2,43.0,0,1368.7483105023157,60.0,87.67123287671232,15
roaf78tUWxWSEjAUcUu8O7mrQbl1,58.0,0,2370.1198718025134,66.66666666666666,87.6923076923077,12
ssPK6ISW0HerTGke9hznqJ2LpKu1,41.0,1,346.2939799467192,69.23076923076923,86.95652173913044,13
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,65.0,0,646.9591400392594,83.33333333333334,91.93548387096774,6
u64Uf920g5VD9Byq26LT2rs5o4t1,34.0,1,833.9669530886886,70.58823529411765,87.64044943820225,17
v8nNKiWvPdcjiHXZci39OuFTY6M2,31.0,0,3479.6331265491826,53.84615384615385,90.32258064516128,13
wdppvL4tIkVlGjou6aYzzjlaZXB2,44.0,1,181.26591025006292,24.324324324324326,64.15094339622641,74
xBGZhFOeypWnqzSQClkrwV9z2vF3,43.0,1,721.7317460317531,64.28571428571429,85.71428571428571,14
xyAILKfYP2M8GqAai11x6NT7IcP2,35.0,1,1518.5357060849433,61.53846153846154,89.55223880597015,13
y1EHXv8tUTa4BRS4fRio7bULYfA2,35.0,0,664.8521929487849,54.166666666666664,84.21052631578947,24
yatBVTBMCSMp0wJluOCLzTFKMyP2,35.0,0,1483.9999999999861,37.5,86.36363636363636,24
