participant_id,ucla_total,gender_male,mean_chain_length,max_chain_length,n_chains,total_pe_count
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,32.0,0,1.2,2,5,6
2h5FgHUEvBS1twD5DqbTIRrMm1f2,65.0,1,1.0833333333333333,2,12,13
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,50.0,0,1.0,1,7,7
5zxa5CMLGQSSonWOXqXf0QNS3PH3,54.0,1,1.0,1,7,7
62fAfeQc27bZelkPX7G54T3gvci2,49.0,0,1.0,1,6,6
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,57.0,0,1.2,2,5,6
80UJMJbCOMgs6YVpsMgXfYTzw6o2,56.0,0,1.0,1,5,5
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,42.0,0,1.2,2,5,6
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,38.0,1,1.5,3,6,9
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,25.0,0,1.4285714285714286,2,7,10
AsXBOflrszVNKoFqbN61bMJqS0k2,42.0,0,1.7272727272727273,5,11,19
AyAnuCaltBbpEYbudoyNzTvXlcC2,62.0,0,1.1818181818181819,2,11,13
CDEoAyvS8feXLKMKsaZah9agEhF3,33.0,0,1.0,1,6,6
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,30.0,1,1.2222222222222223,2,9,11
CtJe4bZZnYUBNrcPk00d3YQFSGp2,45.0,0,2.2,4,5,11
DPvStUYSmohmXwFwaKRqHv89R3k1,52.0,1,1.0,1,3,3
DzB19GqCB7fyrlEPexogWkjFzEx2,25.0,0,1.6,2,5,8
EUhcW9kURScie1DwGPHqmNqotJB2,36.0,0,1.9523809523809523,9,21,41
Fz7EUjZCLuUBxLDUVtN6djaBTy42,49.0,1,1.6666666666666667,3,6,10
GDZGRW51kbWtAdUIHCtEd8sAtqY2,26.0,0,2.0,3,5,10
GE4hogtdLdTFbNasENgtm6SO3hC3,56.0,0,1.0,1,3,3
HyQM2xKwwuVfqidmRYF6TiRk90C2,21.0,1,1.0,1,7,7
K26uNuY0VNPjJNF26wEx3bFg0kr2,43.0,0,1.4,2,5,7
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,39.0,0,1.0,1,7,7
LSLmd8jENtONZFVkIpRDX665Bu73,20.0,0,1.5,2,6,9
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,34.0,1,1.0,1,6,6
LliUMEIsrCVZ88YFQfevan2Og4z1,28.0,1,1.3,2,10,13
ORvIk1xRWIQmKuLVe6GXNouvAXx2,54.0,0,1.3076923076923077,2,13,17
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,49.0,1,1.0,1,6,6
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,64.0,1,1.1666666666666667,2,6,7
QreA2rLiUhV3YHeMfuHMPdGbpJ53,44.0,0,1.8333333333333333,5,6,11
Rc706mP0TSeIoIpMYH1SpRXjOxA2,46.0,0,1.0,1,1,1
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,49.0,0,1.0,1,6,6
WbOfW9KmUkPQK8o5hlHJnJFdpp92,22.0,1,1.2,2,5,6
WcTsIpSoEhYeIBSNjAbbdaNSBya2,30.0,0,1.625,2,8,13
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,54.0,0,1.3,2,10,13
azdL1gX79EVd9iepyCAVQrqIaQF3,32.0,0,1.3333333333333333,2,6,8
cEIs6U87xfbSL5eFTXDK77MmvNf1,62.0,1,1.2222222222222223,2,9,11
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,40.0,1,1.1111111111111112,2,9,10
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,59.0,0,1.3333333333333333,2,6,8
fEq0OghbLpfD1jigl1Mbz96aMbg2,31.0,0,1.7272727272727273,4,11,19
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,60.0,0,1.0,1,4,4
h5RYP03wJuVN0xo7qAR8CKFxLaj1,29.0,0,1.4285714285714286,3,7,10
i1tBstVkNiVP0qro7TgGD08IGGa2,26.0,0,1.3333333333333333,2,6,8
iKVZi0Oo96UrMBhPQMHWFcf55uA3,33.0,1,1.0,1,4,4
iWsc4pghIEWOQUZKuQJMfe516UI3,27.0,1,1.0,1,6,6
