participant_id,stroop_interference,wcst_pe_rate,wcst_total_errors,prp_bottleneck,ucla_total,age,gender,education,gender_coded,z_ucla,z_age,ucla_x_gender,z_stroop,z_wcst_pe,ef_composite,distance_from_healthy,cluster,is_wcst_impaired
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,82.0,0.07526881720430108,24.0,647.0,39.0,22,female,대학교 재학,-1,-0.2068878837611505,0.5269869813009433,0.2068878837611505,-0.6355173161881953,-0.6883668393344421,-0.6619420777613187,0.16169431528386957,1.0,0
62fAfeQc27bZelkPX7G54T3gvci2,190.0,0.08571428571428572,8.0,688.0,49.0,26,female,대학교 재학,-1,0.6054990943585503,2.0045205737334957,-0.6054990943585503,0.46866334900364987,-0.4700845994888457,-0.0007106252425979065,1.035210916220398,2.0,0
q0Atnpm0jZS5swcVmq0EMalQUKw1,58.0,0.07042253521126761,10.0,605.0,24.0,21,female,대학교 재학,-1,-1.4254683509407018,0.1576035831928053,1.4254683509407018,-0.8808907973419386,-0.7896411179703443,-0.8352659576561414,0.4013718509418752,1.0,0
kR2rCtaPyPaj7YMizKUDn5xL2qx1,289.0,0.11904761904761904,14.0,746.0,53.0,19,male,대학교 재학,1,0.9304538856064307,-0.581163213023471,0.9304538856064307,1.4808289587628412,0.22649254825371912,0.8536607535082801,2.1849060272862886,2.0,0
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,140.0,0.1095890410958904,11.0,790.0,59.0,21,female,대학교 재학,-1,1.4178860724782512,0.1576035831928053,-1.4178860724782512,-0.04253140339998215,0.02883367071424374,-0.006848866342869204,0.7741434100335012,1.0,0
mwsliuPsLFhRFjtjQwYkqcCRDvi2,-48.0,0.09722222222222222,10.0,606.0,49.0,21,male,대학교 재학,1,0.6054990943585503,0.1576035831928053,0.6054990943585503,-1.9646236724376385,-0.2295996318158173,-1.097111652126728,1.435388587532049,1.0,0
iKVZi0Oo96UrMBhPQMHWFcf55uA3,130.0,0.058823529411764705,8.0,814.0,33.0,19,male,대학교 재학,1,-0.694320070632971,-0.581163213023471,-0.694320070632971,-0.14477035388070855,-1.0320291892643603,-0.5883997715725344,0.6438139254724464,1.0,0
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,2.0,0.08450704225352113,8.0,540.0,34.0,18,male,대학교 재학,1,-0.613081372821001,-0.950546611131609,-0.613081372821001,-1.4534289200340065,-0.49531274568475353,-0.97437083285938,0.8907763234803846,1.0,0
ssPK6ISW0HerTGke9hznqJ2LpKu1,134.0,0.0963855421686747,13.0,575.0,41.0,20,male,대학교 재학,1,-0.044410488137210324,-0.21177981491533282,-0.044410488137210324,-0.10387477368841799,-0.24708399797401415,-0.17547938583121608,0.5472261923085106,1.0,0
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,93.0,0.08860759493670886,9.0,515.0,40.0,19,male,대학교 재학,1,-0.1256491859491804,-0.581163213023471,-0.1256491859491804,-0.5230544706593963,-0.4096222069180625,-0.4663383387887294,0.13986334655058777,1.0,0
5zxa5CMLGQSSonWOXqXf0QNS3PH3,128.0,0.08045977011494253,13.0,584.0,54.0,19,male,대학교 재학,1,1.0116925834184007,-0.581163213023471,1.0116925834184007,-0.16521814397685383,-0.5798898641576244,-0.37255400406723915,0.4004005569841129,1.0,0
h5RYP03wJuVN0xo7qAR8CKFxLaj1,296.0,0.07936507936507936,44.0,553.0,29.0,21,female,대학교 재학,-1,-1.0192748618808514,0.1576035831928053,1.0192748618808514,1.5523962240993496,-0.6027659609636201,0.47481513156786476,2.1171795069960972,2.0,0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,398.0,0.12087912087912088,20.0,758.0,30.0,29,male,대학교 재학,1,-0.9380361640688812,3.11267076805791,-0.9380361640688812,2.595233519002759,0.26476601790990417,1.4299997684563315,3.2609093359296413,2.0,0
v8nNKiWvPdcjiHXZci39OuFTY6M2,218.0,0.11842105263157894,13.0,718.0,31.0,20,female,대학교 재학,-1,-0.8567974662569111,-0.21177981491533282,0.8567974662569111,0.7549324103496838,0.21339899284502428,0.48416570159735406,1.5205771864504838,2.0,0
LSLmd8jENtONZFVkIpRDX665Bu73,231.0,0.10975609756097561,15.0,734.0,20.0,19,female,대학교 재학,-1,-1.750423142188582,-0.581163213023471,1.750423142188582,0.8878430459746282,0.03232470219307397,0.46008387408385104,1.5617718080857157,2.0,0
mUZzgdWKnPb2txOkJg9FHgqX5792,136.0,0.14953271028037382,25.0,607.0,33.0,19,female,대학교 재학,-1,-0.694320070632971,-0.581163213023471,0.694320070632971,-0.08342698359227271,0.8635490852412451,0.39006105082448617,1.4867187073572161,0.0,1
WbOfW9KmUkPQK8o5hlHJnJFdpp92,-1.0,0.061224489795918366,17.0,342.0,22.0,19,male,대학교 재학,1,-1.5879457465646418,-0.581163213023471,-1.5879457465646418,-1.4841006051782244,-0.9818555651772608,-1.2329780851777425,1.0192859735061326,1.0,0
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,232.0,0.08333333333333333,10.0,739.0,32.0,23,female,대학교 재학,-1,-0.7755587684449411,0.8963703794090815,0.7755587684449411,0.8980669410227008,-0.5198401100418861,0.18911341549040733,1.4622063763954005,2.0,0
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,179.0,0.08536585365853659,9.0,633.0,50.0,19,female,대학교 재학,-1,0.6867377921705204,-0.581163213023471,-0.6867377921705204,0.3562005034748508,-0.47736589371611976,-0.06058269512063447,0.9225150387855064,1.0,0
fEq0OghbLpfD1jigl1Mbz96aMbg2,141.0,0.2159090909090909,21.0,745.0,31.0,19,female,대학교 재학,-1,-0.8567974662569111,-0.581163213023471,0.8567974662569111,-0.03230750835190951,2.250637182116043,1.1091648368820668,2.8441408845780582,0.0,1
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,165.0,0.08108108108108109,10.0,726.0,49.0,19,male,대학교 재학,1,0.6054990943585503,-0.581163213023471,0.6054990943585503,0.21306597280183387,-0.5669061335380052,-0.17692008036808568,0.7773723069779774,1.0,0
cEIs6U87xfbSL5eFTXDK77MmvNf1,45.0,0.10679611650485436,16.0,597.0,62.0,19,male,대학교 재학,1,1.6616021659141613,-0.581163213023471,1.6616021659141613,-1.013801432966883,-0.02953095265027493,-0.521666192808579,0.6829348730128768,1.0,0
AsXBOflrszVNKoFqbN61bMJqS0k2,89.0,0.18095238095238095,20.0,695.0,42.0,19,female,대학교 재학,-1,0.036828209674759756,-0.581163213023471,-0.036828209674759756,-0.5639500508516868,1.5201358226327684,0.4780928858905408,2.063508944422714,0.0,1
Fz7EUjZCLuUBxLDUVtN6djaBTy42,89.0,0.11904761904761904,14.0,572.0,49.0,19,male,대학교 재학,1,0.6054990943585503,-0.581163213023471,0.6054990943585503,-0.5639500508516868,0.22649254825371912,-0.16872875129898385,0.7698656700436648,1.0,0
DzB19GqCB7fyrlEPexogWkjFzEx2,181.0,0.10126582278481013,13.0,885.0,25.0,22,female,대학교 재학,-1,-1.3442296531287317,0.5269869813009433,1.3442296531287317,0.3766482935709961,-0.14509923942088596,0.11577452707505508,1.0214437482837788,2.0,0
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,91.0,0.06818181818181818,7.0,646.0,49.0,19,female,대학교 재학,-1,0.6054990943585503,-0.581163213023471,-0.6054990943585503,-0.5435022607555415,-0.8364660862885066,-0.689984173522024,0.2938053742843563,1.0,0
xBGZhFOeypWnqzSQClkrwV9z2vF3,208.0,0.10256410256410256,14.0,857.0,43.0,22,male,대학교 재학,1,0.11806690748672984,0.5269869813009433,0.11806690748672984,0.6526934598689574,-0.11796867865194482,0.2673623906085063,1.288871743976183,2.0,0
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,91.0,0.07246376811594203,6.0,790.0,65.0,20,female,대학교 재학,-1,1.9053182593500717,-0.21177981491533282,-1.9053182593500717,-0.5435022607555415,-0.7469848321318528,-0.6452435464436972,0.20463587346350767,1.0,0
y1EHXv8tUTa4BRS4fRio7bULYfA2,176.0,0.15841584158415842,24.0,895.0,35.0,19,female,대학교 재학,-1,-0.5318426750090308,-0.581163213023471,0.5318426750090308,0.3255288183306329,1.049182673239634,0.6873557457851335,1.824118038670786,0.0,1
HyQM2xKwwuVfqidmRYF6TiRk90C2,43.0,0.08433734939759036,10.0,391.0,21.0,19,male,대학교 재학,1,-1.669184444376612,-0.581163213023471,-1.669184444376612,-1.0342492230630282,-0.4988588706520499,-0.7665540468575391,0.47240113244682286,1.0,0
roaf78tUWxWSEjAUcUu8O7mrQbl1,101.0,0.11538461538461539,12.0,343.0,58.0,19,female,대학교 재학,-1,1.336647374666281,-0.581163213023471,-1.336647374666281,-0.44126331027481513,0.14994560894134962,-0.14565885066673276,0.704090121146598,1.0,0
Rc706mP0TSeIoIpMYH1SpRXjOxA2,67.0,0.01639344262295082,1.0,636.0,46.0,23,female,대학교 재학,-1,0.3617830009226401,0.8963703794090815,-0.3617830009226401,-0.7888757419092849,-1.9187040542790041,-1.3537898980941445,1.3936020738930324,1.0,0
i1tBstVkNiVP0qro7TgGD08IGGa2,140.0,0.1,11.0,924.0,26.0,20,female,대학교 재학,-1,-1.2629909553167615,-0.21177981491533282,1.2629909553167615,-0.04253140339998215,-0.17155153617060348,-0.10704146978529282,0.6404129116771826,1.0,0
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,320.0,0.05555555555555555,8.0,648.0,60.0,22,female,대학교 재학,-1,1.4991247702902213,0.5269869813009433,-1.4991247702902213,1.797769705253093,-1.1003210664940235,0.34872431937953474,2.426501848234556,2.0,0
iWsc4pghIEWOQUZKuQJMfe516UI3,133.0,0.075,11.0,530.0,27.0,23,male,대학교 재학,1,-1.1817522575047914,0.8963703794090815,-1.1817522575047914,-0.11409866873649063,-0.6939843969775273,-0.404041532857009,0.4743943741283002,1.0,0
lHDkoPQu5reNCO45npeYSS9eLQl1,108.0,0.14678899082568808,35.0,913.0,36.0,20,female,대학교 재학,-1,-0.45060397719706075,-0.21177981491533282,0.45060397719706075,-0.36969604493830666,0.8062127170827217,0.21825833607220751,1.3634942446886371,0.0,1
WcTsIpSoEhYeIBSNjAbbdaNSBya2,6.0,0.13829787234042554,20.0,669.0,30.0,19,female,대학원 재학,-1,-0.9380361640688812,-0.581163213023471,0.9380361640688812,-1.412533339841716,0.6287711442144712,-0.39188109781362235,1.4470714490584662,1.0,0
mg2WZiRBn4NQDKiMK43Y8dBqyG53,144.0,0.09523809523809523,32.0,495.0,54.0,21,female,대학교 재학,-1,1.0116925834184007,0.1576035831928053,-1.0116925834184007,-0.0016358232076915877,-0.27106255727668443,-0.136349190242188,0.6247802286855706,1.0,0
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,89.0,0.10638297872340426,20.0,650.0,25.0,21,female,대학원 재학,-1,-1.3442296531287317,0.1576035831928053,1.3442296531287317,-0.5639500508516868,-0.03816442277309113,-0.301057236812389,0.5052086990168545,1.0,0
CtJe4bZZnYUBNrcPk00d3YQFSGp2,108.0,0.1375,16.0,848.0,45.0,22,female,대학교 재학,-1,0.28054430311067,0.5269869813009433,-0.28054430311067,-0.36969604493830666,0.6120977550397823,0.1212008550507378,1.1716857795565567,1.0,0
CDEoAyvS8feXLKMKsaZah9agEhF3,194.0,0.08823529411764706,6.0,738.0,33.0,22,female,대학교 재학,-1,-0.694320070632971,0.5269869813009433,0.694320070632971,0.5095589291959405,-0.4174022941973911,0.046078317499274685,1.0808747289335847,2.0,0
GDZGRW51kbWtAdUIHCtEd8sAtqY2,-10.0,0.12048192771084337,18.0,797.0,26.0,21,female,대학교 재학,-1,-1.2629909553167615,0.1576035831928053,1.2629909553167615,-1.5761156606108782,0.2564657473820568,-0.6598249566144107,1.2900470682178782,1.0,0
QreA2rLiUhV3YHeMfuHMPdGbpJ53,334.0,0.11578947368421053,21.0,621.0,44.0,21,female,대학교 재학,-1,0.19930560529869992,0.1576035831928053,-0.19930560529869992,1.9409042359261102,0.1584060601285061,1.0496551480273082,2.601305252784309,2.0,0
AyAnuCaltBbpEYbudoyNzTvXlcC2,227.0,0.11607142857142858,26.0,620.0,62.0,22,female,대학교 재학,-1,1.6616021659141613,0.5269869813009433,-1.6616021659141613,0.8469474657823376,0.1642981600624189,0.5056228129223782,1.5784265727624538,2.0,0
azdL1gX79EVd9iepyCAVQrqIaQF3,67.0,0.09876543209876543,12.0,643.0,32.0,19,female,대학교 재학,-1,-0.7755587684449411,-0.581163213023471,0.7755587684449411,-0.7888757419092849,-0.1973506897906987,-0.4931132158499918,0.4127021806877346,1.0,0
jzdk8E3tVXTXIozlfK5oeEb7wWp2,37.0,0.10256410256410256,8.0,655.0,37.0,24,male,대학교 재학,1,-0.3693652793850907,1.2657537775172196,-0.3693652793850907,-1.095592593351464,-0.11796867865194482,-0.6067806360017045,0.6808911317069566,1.0,0
