metric,interaction_beta,male_r,male_p,female_r,female_p,male_n,female_n
stroop_interference,0.056360952777879225,0.10801849791300648,0.5842923672457219,-0.0360367022505972,0.8099576830530981,28,47
wcst_pe_rate,0.2264199700409831,0.23609110104789968,0.2264675033248062,-0.21830657740527132,0.14043303878282862,28,47
ef_composite,0.14139046140943107,,,,,28,47
distance_from_healthy,0.11630377595508508,,,,,28,47
