outcome,term,beta,p,n
acc_slope,UCLA,-0.005266538514665178,0.41120671239431117,171
acc_slope,UCLA x Male,0.003318385263206587,0.628576214461176,171
pe_slope,UCLA,-0.3364954007119435,0.4003472761496988,171
pe_slope,UCLA x Male,-0.4937975457667882,0.28714985596747944,171
