participant_id,pes,post_error_accuracy,post_correct_accuracy,accuracy_recovery,n_post_error,n_post_correct
06qcrpGKL6Vc3LVplFQC90VAcRm1,957.0024886905505,0.5384615384615384,0.8970588235294118,0.35859728506787336,13,68
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,367.92655122651877,0.7272727272727273,0.873015873015873,0.14574314574314573,11,63
0d841i8KPjdjwCYfDuUUXj0SEjH2,1072.3364033427156,0.625,0.9298245614035088,0.3048245614035088,8,57
0oa5NYVnIBS9NmrmRAZrahXDctP2,590.4557347640823,0.7777777777777778,0.8870967741935484,0.10931899641577059,9,62
146QT9LupyU2BAiTsB3PMIpVXM22,298.4701492522486,0.8888888888888888,0.8805970149253731,-0.008291873963515717,9,67
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,1456.8676691768612,0.7142857142857143,0.9122807017543859,0.1979949874686716,7,57
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1609.7266666422288,0.875,0.9,0.025000000000000022,8,60
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,669.3290584427971,0.875,0.9090909090909091,0.03409090909090906,8,77
23AEyocWhqY955WHbxhHRSgQ1ms2,579.2598190036902,0.47058823529411764,0.8769230769230769,0.4063348416289593,17,65
2h5FgHUEvBS1twD5DqbTIRrMm1f2,992.9931506831547,0.7058823529411765,0.8493150684931506,0.14343271555197412,17,73
2zDXvJKvjeejeOSNbtDbtSI5cdz1,1061.7963570131155,0.6666666666666666,0.9016393442622951,0.23497267759562845,9,61
3WijiOiVCoMbn80F05SPYsxl0TC2,932.3888172147097,0.5333333333333333,0.8870967741935484,0.35376344086021505,15,62
3xCaqfcHxRQxuOlEzXz3PNcHODH2,505.60387096760746,0.8,0.9516129032258065,0.15161290322580645,5,62
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,1218.9942097026455,0.8888888888888888,0.9014084507042254,0.012519561815336533,9,71
5OOi73igsahMZ5IVKQwwyhnj4Cn2,780.2414519906608,0.8571428571428571,0.9180327868852459,0.060889929742388826,7,61
5rXSa3anB5ejmFrnwUsTB82byup1,192.43237858028692,0.8181818181818182,0.8767123287671232,0.05853051058530501,11,73
5zxa5CMLGQSSonWOXqXf0QNS3PH3,350.0583333190946,0.8333333333333334,0.8611111111111112,0.02777777777777779,12,72
62fAfeQc27bZelkPX7G54T3gvci2,993.9714285712689,0.8571428571428571,0.8928571428571429,0.03571428571428581,7,56
6ABZuv4jbjgE0B8TeyUk6nwVb122,1220.2386666202544,0.8,0.8933333333333333,0.09333333333333327,10,75
6WFCyGwk71XLPBmbe4Vav3eotVm1,778.837704917586,0.5714285714285714,0.9344262295081968,0.36299765807962536,7,61
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,493.3920634994431,0.5833333333333334,0.8888888888888888,0.30555555555555547,12,63
80UJMJbCOMgs6YVpsMgXfYTzw6o2,556.70444444449,0.6666666666666666,0.9166666666666666,0.25,9,60
87w5Le0CgZhSfYAaOH3Xd2fc98l1,788.754485293905,0.4411764705882353,0.8125,0.3713235294117647,34,80
8bwaafIhKVMNBoHaXFcY8HirS9u2,839.0698943503307,0.75,0.9154929577464789,0.16549295774647887,8,71
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,890.8210784687715,0.375,0.8676470588235294,0.49264705882352944,24,68
8mscvscxtXf7EbbLqCyy4a4pl2q2,1127.4615835633097,0.8181818181818182,0.8709677419354839,0.05278592375366564,11,62
9Xz1RIwnPXgyRqmucudW9VeuDnq1,221.86666666669248,0.6666666666666666,0.9,0.2333333333333334,9,60
9l7DjYLs0XdgwykPZR5E01KTZfu2,1961.7648809724858,0.75,0.9047619047619048,0.15476190476190477,8,63
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,708.0378125372033,0.6,0.859375,0.259375,15,64
ASGvwW80q7VY7xFaLGZhVuErUQu2,486.5400966331001,0.7777777777777778,0.8985507246376812,0.12077294685990336,9,69
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,823.6041667991212,0.6111111111111112,0.8472222222222222,0.23611111111111105,18,72
AsXBOflrszVNKoFqbN61bMJqS0k2,335.79571429973544,0.6,0.8571428571428571,0.2571428571428571,20,84
AyAnuCaltBbpEYbudoyNzTvXlcC2,1906.6803861827993,0.625,0.8170731707317073,0.19207317073170727,24,82
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,331.47558823534155,0.39215686274509803,0.5,0.10784313725490197,51,40
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,265.1718181761828,0.9,0.8787878787878788,-0.021212121212121238,10,66
CDEoAyvS8feXLKMKsaZah9agEhF3,1719.7862068965749,1.0,0.896551724137931,-0.10344827586206895,6,58
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,728.3904511397943,0.5263157894736842,0.8714285714285714,0.34511278195488726,19,70
CUNlBEszJVRGK1jWlTaOaCqpDg53,651.413978494829,0.5,0.9032258064516129,0.4032258064516129,12,62
Cbkx2NHyF3NrebzXGqNgSfiWent1,1330.460887095921,0.875,0.8870967741935484,0.012096774193548376,8,62
Co587hoelyeANqFX7AYvuVQW0lZ2,841.9175757565282,0.4666666666666667,0.9090909090909091,0.4424242424242424,15,66
CtJe4bZZnYUBNrcPk00d3YQFSGp2,323.57269841264497,0.4666666666666667,0.8888888888888888,0.42222222222222217,15,63
DAKDKPH698P12JfTbbjemLI6PIH2,1090.1350055744283,0.7692307692307693,0.8695652173913043,0.10033444816053505,13,69
