outcome,term,beta,p,n
pes,UCLA,4.9663924306157305,0.9372875205683975,163
pes,UCLA x Male,53.412512663395255,0.46664166014236697,163
post_error_accuracy,UCLA,0.01215550658959421,0.5041315219769302,163
post_error_accuracy,UCLA x Male,-0.04100743499112858,0.0623656048654576,163
accuracy_recovery,UCLA,-0.005087754206129063,0.7460806237234865,163
accuracy_recovery,UCLA x Male,0.03544811998661786,0.09660630243538405,163
