Task,DV,b,SE,95% CI,p,delta_R2
STROOP,RT interference,5.108,9.72,"[-13.942, 24.159]",0.6,0.0013
WCST,Perseverative error rate,-0.165,0.576,"[-1.294, 0.965]",0.775,0.0004
