task,condition,quantile,quantile_label,n,ucla_main_beta,ucla_main_p,interaction_beta,interaction_p,interaction_se,r_squared
WCST,overall,0.1,q_10,76,-0.014925842196884656,0.9343331598678069,0.17370952482637278,0.46353451296809134,0.23563294552862854,0.17157869647335966
WCST,overall,0.25,q_25,76,-0.03726794787032893,0.8326087409094496,0.3140212663728388,0.17540330801887327,0.2293255594365524,0.21533522370150937
WCST,overall,0.5,q_50,76,-0.040353736346710474,0.8187375317399563,0.44479598196287345,0.05624608810607538,0.22900698200997469,0.21751381079839183
WCST,overall,0.75,q_75,76,0.09752909835100299,0.5838546247506646,0.45296665448108164,0.05434044933777503,0.23134738731240603,0.2014383815957439
WCST,overall,0.9,q_90,76,0.010278743466699908,0.9557442316611529,0.28625795110019125,0.23890910095426177,0.24092822783914278,0.13392678668354752
Stroop,incongruent,0.1,q_10,76,0.07250855708003669,0.6750057205886366,0.493566578254938,0.03153896710356238,0.2248017691156726,0.24598726055234332
Stroop,incongruent,0.25,q_25,76,0.03711897956693612,0.8334762939234408,0.4318692184817544,0.06427854086428582,0.22961708449973955,0.21333898006080088
Stroop,incongruent,0.5,q_50,76,0.037433011318209725,0.8400832531070902,0.42840849657158236,0.0802654756305119,0.24126897966346136,0.13147522900859043
Stroop,incongruent,0.75,q_75,76,0.06615597939176962,0.7211763612351377,0.47617601547279,0.05224452059624182,0.24101216369147357,0.1333232272180881
Stroop,incongruent,0.9,q_90,76,0.07347574708032728,0.6889410242977951,0.4732311060878867,0.05138940903225121,0.2386240957544629,0.15041306416979738
