task,parameter,beta_ucla,p_ucla,n
stroop,tau,8.683073204085453,0.35508939339737833,171
wcst,tau,-4.389574366467439,0.6388515845727369,171
prp,tau,1.4816998962560888,0.8872092983575028,169
