task,ucla_group,r_rt_accuracy,p,n
stroop,High UCLA,-0.011451548174097556,0.918669729314158,82
stroop,Low UCLA,0.18463840017434,0.0832419327990236,89
wcst,High UCLA,-0.031344496398439066,0.7798245082531025,82
wcst,Low UCLA,-0.23053470195448425,0.029744080192937495,89
