outcome,n_current,partialR2_observed,partialR2_true_est,reliability_ucla,reliability_outcome,pred_p_at_150_obs,pred_p_at_150_true,N_needed_80power_obs,N_needed_80power_true
WCST Perseverative Error Rate,170,0.0030985598506172553,0.0056133330627124185,0.92,0.6,0.5064652831987875,0.37061754410351844,2530.367702277629,1396.8346516572515
PRP Bottleneck Effect,166,0.000169598791918558,0.0003686930259099087,0.92,0.5,0.8766634613698563,0.818983131092186,46226.904373066034,21264.462411610377
Stroop Interference,170,0.0008133771044715077,0.0014735092472309922,0.92,0.6,0.7338636490226009,0.6471226277400268,9638.985529880194,5320.791692493867
