outcome,beta_ucla,pval_ucla,ci_lower,ci_upper,N
slope,-0.5367626472724385,0.6805411550376594,-3.1088537877606237,2.035328493215747,148
intercept,146.1811307526564,0.21586696818129933,-86.28727336793693,378.64953487324976,148
mean_rt,126.8319405239269,0.1417661003218262,-42.87352753478132,296.5374085826351,148
residual_sd,373.3181278103242,0.13386757871145036,-116.1939882610377,862.8302438816861,148
