participant_id,wcst_hmm_lapse_occupancy,wcst_hmm_trans_to_lapse,wcst_hmm_trans_to_focus,wcst_hmm_stay_lapse,wcst_hmm_stay_focus,wcst_hmm_lapse_rt_mean,wcst_hmm_focus_rt_mean,wcst_hmm_rt_diff,wcst_hmm_state_changes,wcst_hmm_n_trials,wcst_rl_alpha,wcst_rl_beta,wcst_rl_n_trials,wcst_rl_alpha_pos,wcst_rl_alpha_neg,wcst_rl_alpha_asymmetry,wcst_rl_beta_asym,wcst_rl_asym_n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,14.634146341463413,0.11059332679054892,0.5704105884941837,0.42958941150581625,0.8894066732094511,2045.7217003220696,879.6426140860427,1166.0790862360268,12,82,0.9853524832962268,0.7412253909993664,82,0.99,0.9014675547525409,0.08853244524745907,0.7848328219878778,82
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,2.5974025974025974,0.01351351351392841,0.9999999999999216,7.845416045360647e-14,0.9864864864860715,5834.749999947754,1156.370666666148,4678.379333281606,3,77,0.01,0.1,77,0.0594649225253045,0.99,-0.9305350774746954,1.189843030471261,77
0d841i8KPjdjwCYfDuUUXj0SEjH2,11.76470588235294,0.10155738087560205,0.6914232094722136,0.30857679052778636,0.8984426191243979,3904.985941411299,1348.5779905362926,2556.4079508750065,11,68,0.01,0.1,68,0.01,0.01,0.0,0.10000000000000009,68
0oa5NYVnIBS9NmrmRAZrahXDctP2,1.36986301369863,0.0,1.0,0.0,1.0,12336.79999999702,909.8791666668322,11426.920833330187,1,73,0.01,0.1,73,0.01,0.606328465812096,-0.596328465812096,7.209707292084771,73
146QT9LupyU2BAiTsB3PMIpVXM22,25.97402597402597,0.20056320176500875,0.46912612975478507,0.5308738702452148,0.7994367982349913,1564.628913158142,935.2479779588799,629.3809351992621,17,77,0.01,0.1,77,0.01,0.01,0.0,0.1,77
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,14.492753623188406,0.08915571128061535,0.5479495382016034,0.4520504617983967,0.9108442887193846,5158.078486922394,1547.9120441472364,3610.166442775158,11,69,0.17947768724747365,1.6412109455414503,69,0.015432956172269342,0.4893200943091321,-0.47388713813686273,10.0,69
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1.3888888888888888,0.014285714285715683,1.0,0.0,0.9857142857142843,13130.0,1792.1971831053077,11337.802816894693,2,72,0.01,0.10000000000000009,72,0.010000000000000009,0.01,8.673617379884035e-18,0.1,72
1fbLQPCcysVlSKup96K4yI5NX6G3,3.296703296703297,5.246011500726542e-08,0.3329606153003587,0.6670393846996414,0.9999999475398851,5921.247998897737,1276.3772029924974,4644.870795905239,1,91,0.01,0.1,91,0.99,0.99,0.0,0.2993382731301025,91
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,10.344827586206897,0.06477023441056874,0.5056896626835311,0.49431033731646895,0.9352297655894314,3162.578712557986,1305.2836971701224,1857.2950153878635,9,87,0.01,0.1,88,0.01,0.01,0.0,0.10000000000000009,88
23hG7h2ByUZDbmOMTDtp0HT0xRb2,16.40625,0.1412154329653298,0.6099372502970014,0.3900627497029985,0.8587845670346702,5090.739283269554,1432.6219017432452,3658.117381526309,27,128,0.01,0.1,128,0.01,0.3119622975773544,-0.3019622975773544,0.1,128
28nQWMwCaSNFBEXlicY3eHqpwKU2,14.772727272727273,0.02314476271330758,0.16552778861016143,0.8344722113898385,0.9768552372866924,2501.6592353534797,1511.1927208290679,990.4665145244119,3,88,0.01,0.1,88,0.01,0.99,-0.98,0.1,88
2FHuv7L9nWPdbIiWHRIuXtcoyw83,16.901408450704224,0.26202264831320865,0.8326631799213872,0.1673368200786128,0.7379773516867915,1926.2643359973613,1131.7421294174626,794.5222065798987,22,71,0.8359666767526108,0.4064176862504205,71,0.9713914148757382,0.36366213117427726,0.607729283701461,0.5821695426879858,71
2h5FgHUEvBS1twD5DqbTIRrMm1f2,10.204081632653061,0.1148632867540853,0.8846383385806772,0.11536166141932283,0.8851367132459146,6713.982312992633,1428.5113203347848,5285.470992657848,17,98,0.01,3.1093812015586897,99,0.01,0.07826449972936537,-0.06826449972936538,3.4976122253994064,99
2zDXvJKvjeejeOSNbtDbtSI5cdz1,28.169014084507044,0.2513691203620274,0.6244626863525494,0.3755373136474505,0.7486308796379727,2655.2678014147405,1223.1077374906586,1432.160063924082,23,71,0.01,0.1,71,0.99,0.05581090964136334,0.9341890903586366,0.5800295856436891,71
3FSnTCSiUodLp5u3bE0xaUjLk0b2,1.1904761904761905,0.0,1.0,0.0,1.0,13512.100000000091,1348.7156626505957,12163.384337349496,1,84,0.99,0.42247533084383615,84,0.99,0.7570116969154508,0.2329883030845492,0.5015320650604164,84
3WijiOiVCoMbn80F05SPYsxl0TC2,17.5,0.08518353630288007,0.39486165833058995,0.60513834166941,0.9148164636971199,2987.569601025379,1194.205066662623,1793.364534362756,11,80,0.01,0.1,80,0.99,0.12251106067435952,0.8674889393256404,0.7536340107288931,80
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,10.9375,0.06847124658749308,0.44487205835203464,0.5551279416479654,0.931528753412507,2137.502747002645,1091.5849929262451,1045.9177540763997,13,128,0.01,1.634486222413572,128,0.01,0.01,0.0,1.6345041214876823,128
3xCaqfcHxRQxuOlEzXz3PNcHODH2,10.144927536231885,0.1115741709406968,0.8048471070306591,0.19515289296934085,0.8884258290593032,2801.7691567265374,1143.4601250198555,1658.309031706682,11,69,0.01,0.1,69,0.01,0.01,0.0,0.10000000000000009,69
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,24.390243902439025,0.23337640389612058,0.619740105383725,0.3802598946162749,0.7666235961038794,2216.7644218788514,947.2306645054668,1269.5337573733846,27,82,0.6693635000914188,0.39433174850495145,82,0.3814022891665133,0.99,-0.6085977108334867,0.3398949832583436,82
5OOi73igsahMZ5IVKQwwyhnj4Cn2,17.142857142857142,0.18277404931929858,0.8180703867137074,0.18192961328629262,0.8172259506807015,3557.824113287692,1416.6601083332318,2141.1640049544603,19,70,0.6577187151608253,0.1,70,0.99,0.01,0.98,0.39453426020482585,70
5Z68AKm9rIeeB2lVu3nJO7U31wk1,0.78125,0.0,1.0,0.0,1.0,10760.599999999627,1114.14488188984,9646.455118109787,1,128,0.01,0.1,128,0.01,0.01,0.0,0.1,128
5rXSa3anB5ejmFrnwUsTB82byup1,2.3529411764705883,0.02535218541942372,0.9999999996674782,3.3252189997707437e-10,0.9746478145805764,2269.8765063298706,911.7962995490659,1358.0802067808047,3,85,0.2220479935009183,1.0500122739865454,85,0.14847748925179158,0.3596006234284799,-0.21112313417668835,1.0914282452631137,85
5zxa5CMLGQSSonWOXqXf0QNS3PH3,2.2988505747126435,1.071884896753841e-11,0.4871905276754004,0.5128094723245996,0.9999999999892811,7653.890708198304,1193.3999206609544,6460.49078753735,1,87,0.01,0.1,87,0.99,0.03766345473956777,0.9523365452604322,0.19933222354430816,87
62fAfeQc27bZelkPX7G54T3gvci2,11.428571428571429,0.09114566421331259,0.7372464487084458,0.26275355129155425,0.9088543357866875,6633.586110592149,1356.821069114815,5276.765041477334,11,70,0.01,0.1,70,0.6319221371384225,0.99,-0.3580778628615775,0.32573443222274573,70
6ABZuv4jbjgE0B8TeyUk6nwVb122,23.863636363636363,0.21590906456527753,0.648509768309682,0.35149023169031807,0.7840909354347224,2984.3064974536364,1631.6660097894558,1352.6404876641807,25,88,0.01,0.1,88,0.01,0.7640835101756929,-0.7540835101756929,8.05745537846555,88
6WFCyGwk71XLPBmbe4Vav3eotVm1,17.391304347826086,0.189495946092525,0.7704398201042012,0.22956017989579888,0.8105040539074749,2296.9952643678653,1024.7015520012924,1272.293712366573,19,69,0.01,0.1,69,0.01,0.01,0.0,0.1,69
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,14.473684210526317,0.04313263488743876,0.2917657822755633,0.7082342177244366,0.9568673651125612,2671.734669409165,1563.3154379811924,1108.4192314279724,5,76,0.01,0.1,76,0.01,0.01,0.0,0.1,76
