participant_id,wcst_hmm_lapse_occupancy,wcst_hmm_trans_to_lapse,wcst_hmm_trans_to_focus,wcst_hmm_stay_lapse,wcst_hmm_stay_focus,wcst_hmm_lapse_rt_mean,wcst_hmm_focus_rt_mean,wcst_hmm_rt_diff,wcst_hmm_state_changes,wcst_hmm_n_trials,wcst_hmm_lapse_dwell_mean,wcst_hmm_focus_dwell_mean,wcst_hmm_long_lapse_episode_rate,wcst_hmm_lapse_rt_sd,wcst_hmm_focus_rt_sd,wcst_hmm_state_entropy,wcst_slow_prob_baseline,wcst_slow_prob_shift_k0,wcst_slow_prob_shift_k0_delta,wcst_slow_prob_shift_k1,wcst_slow_prob_shift_k1_delta,wcst_slow_prob_shift_k2,wcst_slow_prob_shift_k2_delta,wcst_slow_prob_shift_k3,wcst_slow_prob_shift_k3_delta,wcst_slow_prob_shift_k4,wcst_slow_prob_shift_k4_delta,wcst_slow_prob_shift_k5,wcst_slow_prob_shift_k5_delta,wcst_slow_prob_post_error,wcst_slow_prob_post_error_delta,wcst_slow_prob_stable,wcst_slow_prob_stable_delta,wcst_hmm2d_lapse_occupancy,wcst_hmm2d_trans_to_lapse,wcst_hmm2d_trans_to_focus,wcst_hmm2d_stay_lapse,wcst_hmm2d_stay_focus,wcst_hmm2d_lapse_dwell_mean,wcst_hmm2d_focus_dwell_mean,wcst_hmm2d_state_entropy
06qcrpGKL6Vc3LVplFQC90VAcRm1,14.634146341463413,0.11059332679054892,0.5704105884941837,0.42958941150581625,0.8894066732094511,2045.7217003220696,879.6426140860427,1166.0790862360268,12,82,1.7142857142857142,11.666666666666666,0.14285714285714285,661.2564332824772,231.54931991455237,0.41631014066777594,0.17443309305826096,0.01456780224076347,-0.1598652908174975,0.22419032318387644,0.049757230125615476,0.48711018302424297,0.312677089965982,0.22696141306912104,0.05252832001086008,0.08391586428891135,-0.09051722876934962,0.014036475473899515,-0.16039661758436144,0.5676114773834662,0.39317838432520524,0.06422987054192257,-0.11020322251633839,15.853658536585366,0.10294117647058905,0.5384615384615373,0.46153846153846273,0.897058823529411,1.8571428571428572,8.625,0.43723521721290104
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,2.5974025974025974,0.01351351351392841,0.9999999999999216,7.845416045360647e-14,0.9864864864860715,5834.749999947754,1156.370666666148,4678.379333281606,3,77,1.0,37.5,0.0,486.94999999995343,477.69354270238097,0.12045603384922707,0.025974025974424195,6.079081800809129e-13,-0.025974025973816286,0.20000000000062634,0.17402597402620215,2.579846501565335e-15,-0.025974025974421614,2.47230932584864e-21,-0.025974025974424195,2.9292190918470544e-25,-0.025974025974424195,8.140145713784147e-19,-0.025974025974424195,0.09090909090937678,0.06493506493495259,6.799747985955876e-13,-0.025974025973744222,20.77922077922078,0.14976647914972557,0.6235290937055512,0.3764709062944487,0.8502335208502744,1.6,6.1,0.511016781978249
0d841i8KPjdjwCYfDuUUXj0SEjH2,11.76470588235294,0.10155738087560205,0.6914232094722136,0.30857679052778636,0.8984426191243979,3904.985941411299,1348.5779905362926,2556.4079508750065,11,68,1.3333333333333333,10.0,0.0,1792.6530929329308,398.14934281818336,0.362210557135449,0.14539370698559123,0.42298795089889357,0.27759424391330234,0.6120114293853886,0.4666177223997973,0.08806994770607608,-0.05732375927951515,0.06468619460305566,-0.08070751238253557,0.02093861238572757,-0.12445509459986366,0.02272101654884882,-0.12267269043674241,0.41443091489443856,0.26903720790884733,0.01595020841241042,-0.12944349857318083,11.76470588235294,0.06779661016949151,0.6250000000000056,0.3749999999999945,0.9322033898305084,1.6,12.0,0.362210557135449
0oa5NYVnIBS9NmrmRAZrahXDctP2,1.36986301369863,0.0,1.0,0.0,1.0,12336.79999999702,909.8791666668322,11426.920833330187,1,73,1.0,72.0,0.0,0.0,554.72678759012,0.07237778951611745,0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,0.0,-0.0136986301369863,13.698630136986301,0.1129032258064524,0.7999999999999959,0.200000000000004,0.8870967741935476,1.25,7.875,0.39945480152363744
146QT9LupyU2BAiTsB3PMIpVXM22,25.97402597402597,0.20056320176500875,0.46912612975478507,0.5308738702452148,0.7994367982349913,1564.628913158142,935.2479779588799,629.3809351992621,17,77,2.2222222222222223,6.333333333333333,0.1111111111111111,479.8793004492136,188.88607432307,0.5727850616244737,0.3164040528070881,0.21913843018940432,-0.09726562261768379,0.7550848866078114,0.43868083380072326,0.611248777515381,0.29484472470829287,0.6699279082644856,0.35352385545739745,0.6087159641605144,0.2923119113534263,0.4395147111860508,0.12311065837896268,0.750464166210834,0.4340601134037459,0.13027851258522438,-0.18612554022186373,11.688311688311687,0.11940298507462734,0.8888888888888892,0.11111111111111079,0.8805970149253727,1.125,7.555555555555555,0.36066847187964196
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,14.492753623188406,0.08915571128061535,0.5479495382016034,0.4520504617983967,0.9108442887193846,5158.078486922394,1547.9120441472364,3610.166442775158,11,69,1.6666666666666667,9.833333333333334,0.0,2615.160987700571,433.9469658915215,0.41380853183815924,0.161198423801177,0.05210131333093,-0.10909711047024699,0.8011792801677642,0.6399808563665872,0.6002102017175718,0.4390117779163948,0.2645097461099617,0.1033113223087847,0.020940763235864586,-0.14025766056531241,0.006557615685644775,-0.1546408081155322,0.8043975499224273,0.6431991261212503,0.01020926802176255,-0.15098915577941444,13.043478260869565,0.08474576271186399,0.6666666666666651,0.3333333333333349,0.915254237288136,1.5,10.0,0.38721237518636065
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1.3888888888888888,0.014285714285715683,1.0,0.0,0.9857142857142843,13130.0,1792.1971831053077,11337.802816894693,2,72,1.0,35.5,0.0,0.0,1040.54771153649,0.07319012915586921,0.013888888888888888,0.0,-0.013888888888888888,0.0,-0.013888888888888888,0.0,-0.013888888888888888,0.0,-0.013888888888888888,0.0,-0.013888888888888888,0.0,-0.013888888888888888,0.0,-0.013888888888888888,0.0,-0.013888888888888888,13.88888888888889,0.1147540983606583,0.700000000000006,0.29999999999999405,0.8852459016393417,1.4285714285714286,7.75,0.40294135786694235
1fbLQPCcysVlSKup96K4yI5NX6G3,3.296703296703297,5.246011500726542e-08,0.3329606153003587,0.6670393846996414,0.9999999475398851,5921.247998897737,1276.3772029924974,4644.870795905239,1,91,3.0,88.0,0.0,1364.3922317711615,387.58817745995105,0.14490921486754785,0.033003871691913676,1.7253060213215746e-11,-0.033003871674660616,1.1035543260104661e-08,-0.03300386065637042,3.8975944385149256e-10,-0.03300387130215423,5.651316982299203e-09,-0.03300386604059669,7.509340212635557e-11,-0.03300387161682027,2.17504501574623e-09,-0.03300386951686866,0.09090909530554371,0.057905223613630034,2.4392174534425733e-11,-0.0330038716675215,25.274725274725274,0.11940298507488312,0.3913043478240482,0.6086956521759518,0.8805970149251168,2.5555555555555554,7.555555555555555,0.5653332326888753
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,1.1363636363636365,0.0,1.0,0.0,1.0,33756.39999997616,1551.0022988497526,32205.397701126407,1,88,1.0,87.0,0.0,0.0,855.607951358818,0.06217765171742484,0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,11.363636363636363,0.1038961038961043,0.8999999999999995,0.10000000000000059,0.8961038961038957,1.1111111111111112,8.666666666666666,0.3540511393449268
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,28.125,0.09257833902245607,0.23465764896927463,0.7653423510307253,0.907421660977544,2240.5105185029943,1162.9407750616483,1077.569743441346,10,128,6.0,18.4,0.5,1113.15465061836,284.80592042565314,0.5941300227248385,0.29010011378828215,0.37684531472023486,0.0867452009319527,0.43293063364314993,0.14283051985486778,0.6706656429611441,0.3805655291728619,0.459178280607694,0.16907816681941185,0.4144499920489661,0.12434987826068394,0.5161471284619642,0.22604701467368205,0.23424659660674516,-0.055853517181537,0.40831623501641506,0.11821612122813291,49.21875,0.3384615384615423,0.3548387096774384,0.6451612903225616,0.6615384615384577,2.739130434782609,2.9545454545454546,0.6930251052799065
