term,coef,p
Intercept,2.6962477495726564,0.001441207341867414
C(gender)[T.여성],-0.6991166563640834,0.4981990212871288
z_ucla,-0.2764628793666707,0.7434155905579751
z_ucla:C(gender)[T.여성],0.13934125471260783,0.8944766210346445
