sample,n_total,n_male,n_female,interaction_beta,interaction_se,interaction_t,interaction_p,r_squared,male_slope,male_p,female_slope,female_p,significant
Discovery,36,15,21,0.17591119896274957,0.13165962838046727,1.3361058444917149,0.19124053736153054,0.14953523810161606,0.06934309455198162,0.17985711635566135,-0.10132062422656914,0.2815764353648753,No
Validation,36,12,24,0.15382136786255257,0.13193297684298444,1.1659053827430716,0.2525448769137794,0.12760549254560105,0.08542268119927914,0.4692977417148615,-0.09320608496699309,0.2275883336333501,No
