parameter,param_col,n,r_squared,beta_ucla,se_ucla,p_ucla,beta_interaction,se_interaction,p_interaction
Congruent mu,congruent_mu,196,0.11120653736103747,-7.653715156734446,19.542994784947656,0.6953281352957335,11.271571854624778,23.567711209811396,0.6324627983169742
Congruent sigma,congruent_sigma,196,0.08818119012474224,6.544362435931881,8.760206612039957,0.4550299288526757,-12.512140819105566,10.817025912300092,0.24739166460170792
Congruent tau,congruent_tau,196,0.05679640800322738,7.687104549797347,10.667931789071337,0.4711676014525876,6.062982285923519,14.429220771229966,0.674348278883962
Incongruent mu,incongruent_mu,196,0.07361468799037929,-21.910036367560462,25.458503594218808,0.38944868699523605,58.352134777348454,34.90409665187109,0.09456678474536431
Incongruent sigma,incongruent_sigma,196,0.034639058648535226,-5.507665126685911,10.993942433355326,0.6163903296560831,17.34091309958332,14.803282975690434,0.24142860321435533
Incongruent tau,incongruent_tau,196,0.023938379222068762,20.598635040371907,15.799366503387418,0.19231428139703866,-25.726373203516015,18.73790543632193,0.16976513794671633
Interference mu,mu_interference,196,0.03513142790631163,-14.256321210825988,16.8117182069113,0.39643849508073103,47.08056292272369,26.101087779143295,0.07126614601067928
Interference sigma,sigma_interference,196,0.033829476821571114,-12.052027562617784,11.287142070848407,0.28562603760595784,29.8530539186889,15.531521813083144,0.05459385776647923
Interference tau,tau_interference,196,0.023303075121520966,12.911530490574556,16.15844443404139,0.4242569181012781,-31.789355489439544,21.757343913780062,0.14399177996682075
