participant_id,congruent_mu,congruent_sigma,congruent_tau,congruent_n,incongruent_mu,incongruent_sigma,incongruent_tau,incongruent_n
06qcrpGKL6Vc3LVplFQC90VAcRm1,553.4321957173951,88.22131633647811,129.2446206672264,36.0,683.3874811585446,145.9348022717825,54.298774175851136,36.0
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,500.8554692645714,66.22252185016558,120.02075499228647,36.0,471.31023818916094,81.4894868916819,235.35960681924607,36.0
0d841i8KPjdjwCYfDuUUXj0SEjH2,617.1928546761542,116.90198159673007,131.8882458513284,36.0,741.9342619529352,106.71824096681226,279.81227654978676,36.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,428.6622365389841,62.092855640175316,137.15018437470187,36.0,401.8045649414512,39.23817043316375,156.63433160235599,36.0
146QT9LupyU2BAiTsB3PMIpVXM22,719.6151743079349,193.45392263604546,43.10002822520409,36.0,698.1290614490911,179.43716228894155,179.91765509734446,36.0
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,845.9334787274848,239.24739637434922,239.8895063143262,36.0,817.5816868033406,246.8588319343182,393.86401757723985,36.0
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,855.7999644727055,170.9565003376908,5.0,36.0,809.9330257446436,142.40447920063104,291.4312575011955,36.0
1fbLQPCcysVlSKup96K4yI5NX6G3,670.111297123244,235.797825036704,246.90412895307531,36.0,711.0518226250309,192.9093537568118,262.2824951126794,36.0
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,610.2689135937043,31.882400230895005,376.46732254294113,36.0,516.1658066336312,5.0,381.0766491481813,36.0
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,646.5297821175601,141.33041658982313,223.83556380734382,36.0,697.4430785797372,155.2831617927273,304.51749873084134,36.0
23AEyocWhqY955WHbxhHRSgQ1ms2,728.8138001791189,118.75884214754628,24.13792164058476,36.0,608.2629345015748,45.44882006560264,257.7422878089574,36.0
2FHuv7L9nWPdbIiWHRIuXtcoyw83,1091.4434017206904,288.75911017668795,5.0,36.0,1205.957142920872,336.3961224788873,178.4368476319563,33.0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,519.2409897808284,131.8925932246314,200.7938703432729,36.0,498.9070728105723,127.23710940792111,360.0093163113101,36.0
2zDXvJKvjeejeOSNbtDbtSI5cdz1,605.192279202873,119.50697625936272,108.31910504872177,36.0,846.0698880439522,225.73479857681232,12.915836146187225,36.0
3FSnTCSiUodLp5u3bE0xaUjLk0b2,679.8894177530387,123.499270617021,143.0485485027505,36.0,691.2369739020381,135.0733733589626,187.5156541602564,36.0
3WijiOiVCoMbn80F05SPYsxl0TC2,650.328025156165,48.67661269428042,180.21547706840263,36.0,650.6956684378546,85.63753803261415,223.60169902673994,36.0
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,490.39914100236564,95.1413873035494,114.024274837638,36.0,494.7191808824729,123.98255391116807,232.03956973996455,36.0
3xCaqfcHxRQxuOlEzXz3PNcHODH2,540.9693132781837,131.20624354484494,116.22664293234334,36.0,547.3169382487122,132.43750925986495,178.52832216055583,36.0
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,644.0847611037102,122.66337652936184,143.5100802785836,36.0,736.9995210614229,173.95842852000118,229.11831809388667,36.0
50R0P1MIMvRvK1qpqfGROchII6R2,764.2366833926018,176.48864107928262,5.0,36.0,571.711001321218,155.3985994701521,316.3866162293984,36.0
5OOi73igsahMZ5IVKQwwyhnj4Cn2,671.0770566145624,69.02592391887437,113.42264005108359,36.0,923.0688859170706,210.7023751615317,5.185903056759442,36.0
5Z68AKm9rIeeB2lVu3nJO7U31wk1,537.8165680278828,121.58641281355355,45.67982265386736,36.0,439.209200163826,91.4334696803231,141.52409318985536,36.0
