gender,parameter,n,r,p
Female,Congruent mu,102,-0.09214407691403541,0.35699730765360876
Female,Congruent sigma,102,0.06150090232415598,0.5391788380656034
Female,Congruent tau,102,0.0019661974255582994,0.9843521727016442
Female,Incongruent mu,102,-0.15311196369824767,0.12444741184757203
Female,Incongruent sigma,102,-0.054244705590404604,0.5881687418319066
Female,Incongruent tau,102,0.09156286545273441,0.3600514019171357
Female,Interference mu,102,-0.11793826398362164,0.23777621566793677
Female,Interference sigma,102,-0.10361602669048359,0.30003146310975376
Female,Interference tau,102,0.08650094073875557,0.3873288727375341
Male,Congruent mu,72,0.045975500236279936,0.7013562113763098
Male,Congruent sigma,72,-0.050797535810163254,0.6717397804252426
Male,Congruent tau,72,-0.0016278364442314287,0.9891723101474528
Male,Incongruent mu,72,0.06968505667134786,0.5607980498970856
Male,Incongruent sigma,72,0.06001453424564809,0.6165262893846386
Male,Incongruent tau,72,-0.035139457084541546,0.7694913416822233
Male,Interference mu,72,0.06354020456729108,0.5959338948262947
Male,Interference sigma,72,0.10493493892799098,0.3803538664152649
Male,Interference tau,72,-0.0338142102116471,0.7779571959112326
