suite,task,metric,beta_ucla,se_ucla,p_ucla,cohens_d,n
control_strategy,stroop,interference_change,46.26370478650356,17.83811948352008,0.0094996146268166,0.3966644501576986,171
ddm,,v,-0.0140883920760976,0.0056619910279824,0.012837709755998,-0.4927449277011976,102
reinforcement_learning,,alpha_pos_interaction,0.154732475603165,0.0733756282190073,0.0349642603033353,0.3313615627921585,162
attention_depletion,wcst,cv_fatigue_slope,-0.0229795543268963,0.0117235832193279,0.0499825197935347,-0.2997872590825855,171
