participant_id,n_trials,n_errors,n_pe,n_npe,pe_rate,npe_rate,error_rate,pe_proportion
GE4hogtdLdTFbNasENgtm6SO3hC3,67,7,3,4,4.477611940298507,5.970149253731343,10.44776119402985,42.857142857142854
Qv0jhW3sqicqQvd7LfReAsI7nD73,77,13,7,6,9.090909090909092,7.792207792207792,16.883116883116884,53.84615384615385
ORvIk1xRWIQmKuLVe6GXNouvAXx2,101,24,17,7,16.831683168316832,6.9306930693069315,23.762376237623762,70.83333333333334
80UJMJbCOMgs6YVpsMgXfYTzw6o2,71,10,5,5,7.042253521126761,7.042253521126761,14.084507042253522,50.0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,89,15,9,6,10.112359550561797,6.741573033707865,16.853932584269664,60.0
xyAILKfYP2M8GqAai11x6NT7IcP2,81,13,8,5,9.876543209876543,6.172839506172839,16.049382716049383,61.53846153846154
pcbRW89vVJcviD87V3uxyG4I9st2,71,4,2,2,2.8169014084507045,2.8169014084507045,5.633802816901409,50.0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,98,28,6,22,6.122448979591836,22.448979591836736,28.57142857142857,21.428571428571427
yatBVTBMCSMp0wJluOCLzTFKMyP2,91,24,10,14,10.989010989010989,15.384615384615385,26.373626373626376,41.66666666666667
u64Uf920g5VD9Byq26LT2rs5o4t1,107,17,14,3,13.084112149532709,2.803738317757009,15.887850467289718,82.35294117647058
nT1qJOiMyDdJ9ui4el195A8Hsgs1,79,9,7,2,8.860759493670885,2.5316455696202533,11.39240506329114,77.77777777777779
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,119,17,10,7,8.403361344537815,5.88235294117647,14.285714285714285,58.82352941176471
ric6cNjG25XmZJCiKZDOxzeezao1,100,25,18,7,18.0,7.000000000000001,25.0,72.0
kxerHPSL3bQjD74HhiebYf3blPr1,128,80,28,52,21.875,40.625,62.5,35.0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,99,22,13,9,13.131313131313133,9.090909090909092,22.22222222222222,59.09090909090909
lpzDdvuMkKWkPxu6xeclmdctEp42,84,13,9,4,10.714285714285714,4.761904761904762,15.476190476190476,69.23076923076923
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,79,16,9,7,11.39240506329114,8.860759493670885,20.253164556962027,56.25
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,82,16,9,7,10.975609756097562,8.536585365853659,19.51219512195122,56.25
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,76,12,6,6,7.894736842105263,7.894736842105263,15.789473684210526,50.0
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,69,8,7,1,10.144927536231885,1.4492753623188406,11.594202898550725,87.5
LliUMEIsrCVZ88YFQfevan2Og4z1,97,18,13,5,13.402061855670103,5.154639175257731,18.556701030927837,72.22222222222221
EUhcW9kURScie1DwGPHqmNqotJB2,128,51,41,10,32.03125,7.8125,39.84375,80.3921568627451
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,119,24,13,11,10.92436974789916,9.243697478991598,20.168067226890756,54.166666666666664
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,126,42,20,22,15.873015873015872,17.46031746031746,33.33333333333333,47.61904761904761
wdppvL4tIkVlGjou6aYzzjlaZXB2,128,75,30,45,23.4375,35.15625,58.59375,40.0
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,64,4,2,2,3.125,3.125,6.25,50.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,70,7,7,0,10.0,0.0,10.0,100.0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,85,15,14,1,16.470588235294116,1.1764705882352942,17.647058823529413,93.33333333333333
DPvStUYSmohmXwFwaKRqHv89R3k1,63,3,3,0,4.761904761904762,0.0,4.761904761904762,100.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,93,24,7,17,7.526881720430108,18.27956989247312,25.806451612903224,29.166666666666668
62fAfeQc27bZelkPX7G54T3gvci2,70,8,6,2,8.571428571428571,2.857142857142857,11.428571428571429,75.0
q0Atnpm0jZS5swcVmq0EMalQUKw1,71,10,5,5,7.042253521126761,7.042253521126761,14.084507042253522,50.0
kR2rCtaPyPaj7YMizKUDn5xL2qx1,84,14,10,4,11.904761904761903,4.761904761904762,16.666666666666664,71.42857142857143
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,73,11,8,3,10.95890410958904,4.10958904109589,15.068493150684931,72.72727272727273
mwsliuPsLFhRFjtjQwYkqcCRDvi2,72,10,7,3,9.722222222222223,4.166666666666666,13.88888888888889,70.0
iKVZi0Oo96UrMBhPQMHWFcf55uA3,68,8,4,4,5.88235294117647,5.88235294117647,11.76470588235294,50.0
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,71,8,6,2,8.450704225352112,2.8169014084507045,11.267605633802818,75.0
ssPK6ISW0HerTGke9hznqJ2LpKu1,83,13,8,5,9.63855421686747,6.024096385542169,15.66265060240964,61.53846153846154
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,79,9,7,2,8.860759493670885,2.5316455696202533,11.39240506329114,77.77777777777779
5zxa5CMLGQSSonWOXqXf0QNS3PH3,87,13,7,6,8.045977011494253,6.896551724137931,14.942528735632186,53.84615384615385
