,UCLA,DASS-D,DASS-A,DASS-S,WCST PE,Stroop Int,PRP Bottleneck
UCLA,1.0,9.202544232332329e-06,0.0013546333723700032,1.874194186438858e-05,0.22682216961576263,0.5694592217653995,0.09134631141040969
DASS-D,9.202544232332329e-06,1.0,0.0007448053789127864,6.264646078461376e-05,0.9293501026214295,0.6605017954496927,0.3521191499378817
DASS-A,0.0013546333723700032,0.0007448053789127864,1.0,1.7939586156752364e-07,0.5597231572189219,0.30232367157039663,0.1381119225824015
DASS-S,1.874194186438858e-05,6.264646078461376e-05,1.7939586156752364e-07,1.0,0.6386872606734235,0.5698019338950221,0.008283431177028651
WCST PE,0.22682216961576263,0.9293501026214295,0.5597231572189219,0.6386872606734235,1.0,0.41302451773972837,0.7364406071315783
Stroop Int,0.5694592217653995,0.6605017954496927,0.30232367157039663,0.5698019338950221,0.41302451773972837,1.0,0.031709444374695465
PRP Bottleneck,0.09134631141040969,0.3521191499378817,0.1381119225824015,0.008283431177028651,0.7364406071315783,0.031709444374695465,1.0
