,UCLA,DASS-D,DASS-A,DASS-S,WCST PE,Stroop Int,PRP Bottleneck
UCLA,1.0,0.7425602730022027,0.5848687302340336,0.7252021152204541,0.2405404803383147,0.11453313154742739,0.3313475016609232
DASS-D,0.7425602730022027,1.0,0.6091795965245992,0.6924942122424887,0.01790923416120247,-0.08855177781713307,0.1863135140022886
DASS-A,0.5848687302340336,0.6091795965245992,1.0,0.8187390573734983,-0.11741349332423907,0.2061166373653712,0.29293439951202843
DASS-S,0.7252021152204541,0.6924942122424887,0.8187390573734983,1.0,-0.09463687783459132,0.11443214773943172,0.4974831465188224
WCST PE,0.2405404803383147,0.01790923416120247,-0.11741349332423907,-0.09463687783459132,1.0,0.16423370867405174,-0.06791169583792953
Stroop Int,0.11453313154742739,-0.08855177781713307,0.2061166373653712,0.11443214773943172,0.16423370867405174,1.0,0.41421995276368084
PRP Bottleneck,0.3313475016609232,0.1863135140022886,0.29293439951202843,0.4974831465188224,-0.06791169583792953,0.41421995276368084,1.0
