gender,n,linear_r2,linear_aic,quad_r2,quad_aic,best_model,best_aic,roc_optimal_cutoff,roc_auc
Male,31,0.22543068773094255,177.3221336917286,0.23875203521178334,178.78434559040807,Piecewise_45,175.65856420741375,44.0,0.5516304347826086
Female,47,0.11969964771474839,292.9642264083441,0.14890488690669246,293.378480715552,Piecewise_40,290.68876334364677,26.0,0.3476190476190476
All,78,0.040266442098897626,471.65525397985505,0.05800796742558745,472.1998609081412,Piecewise_45,466.4125519835122,26.0,0.42155172413793107
