participant_id,first_rule,n_trials,accuracy,learning_slope,trials_to_criterion,pe_rate
DPvStUYSmohmXwFwaKRqHv89R3k1,colour,10,1.0,0.0,0,0.0
DaRehVxIOhXtEtUExdgvUl0mKcx2,colour,15,0.8,0.04642857142857142,5,0.0
Df83JuPuJkXqTGbENhM2gw5SJM43,colour,12,0.9166666666666666,0.03146853146853147,2,0.0
DzB19GqCB7fyrlEPexogWkjFzEx2,colour,15,0.7333333333333333,0.07142857142857142,5,0.0
EEodWwGh0wWq5f8JmzfKvq0lyeu1,colour,10,1.0,0.0,0,0.0
EUhcW9kURScie1DwGPHqmNqotJB2,colour,10,1.0,0.0,0,0.0
EmfmKFDgWJdW47a6CNTNjnbYaPh2,colour,10,1.0,0.0,0,0.0
EoToosG69XMp4LTYdB6sB9WTrv22,colour,12,0.8333333333333334,0.06993006993006992,2,0.0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,colour,17,0.7647058823529411,0.05392156862745096,7,0.0
G1Ff3XYUZMRsPafyEQ80ussnVlf1,colour,30,0.8,0.013348164627363737,3,0.0
G9VruXninjUdE9czK2DambZl5li2,colour,17,0.7647058823529411,0.04166666666666666,7,0.0
GDZGRW51kbWtAdUIHCtEd8sAtqY2,colour,20,0.65,0.05488721804511279,10,0.0
GE4hogtdLdTFbNasENgtm6SO3hC3,colour,12,0.8333333333333334,0.06993006993006992,2,0.0
GEwkBw3YHaNp3TCh9YS9PKVfavz1,colour,18,0.7777777777777778,0.03302373581011352,8,0.0
HSggdq91WiQp16bOj7V3dABkcgk2,colour,17,0.7647058823529411,0.05392156862745096,7,0.0
HbydnnT1hUP3WagAy2TJAc6GqVs2,colour,12,0.8333333333333334,0.06993006993006992,2,0.0
HyQM2xKwwuVfqidmRYF6TiRk90C2,colour,12,0.9166666666666666,0.03146853146853147,2,0.0
IaTJhUGICmO9xcL3605RW8QHneN2,colour,16,0.875,0.020588235294117647,6,0.0
JntnHLHjYhc0xJJQALM3h9R5Ozv1,colour,16,0.875,0.026470588235294117,6,0.0
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,colour,10,1.0,0.0,0,0.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,colour,10,1.0,0.0,0,0.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,colour,30,0.5666666666666667,0.02780867630700778,20,0.0
LSLmd8jENtONZFVkIpRDX665Bu73,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
