item,var_male,var_female,var_ratio,p_value,invariant,scale
ucla_1,0.3853107344632769,0.4946091644204853,0.7790206130020474,0.29529402629351054,True,UCLA
ucla_2,0.7217514124293786,0.7644204851752022,0.9441811495461898,0.8207385888478584,True,UCLA
ucla_3,0.9728813559322034,0.5110512129380054,1.903686619466495,0.004069118765752888,False,UCLA
ucla_4,0.9378531073446329,0.7072776280323452,1.3260042028386385,0.20826722481182536,True,UCLA
ucla_5,0.660734463276836,0.7371967654986522,0.8962796558526736,0.652482849926819,True,UCLA
ucla_6,0.5717514124293785,0.5157232704402517,1.1086399338569655,0.6380536098599037,True,UCLA
ucla_7,0.5209039548022599,0.7903863432165319,0.6590497916277314,0.08102554408867023,True,UCLA
ucla_8,0.7601694915254237,0.8342318059299191,0.9112209413761945,0.7043871311480535,True,UCLA
ucla_9,0.6268361581920905,0.6563342318059299,0.9550563231592016,0.8593295578716229,True,UCLA
ucla_10,0.525141242937853,0.5740341419586703,0.9148257996397408,0.7170138195723834,True,UCLA
ucla_11,0.7488700564971751,0.7101527403414193,1.0545197025320803,0.8009711745360812,True,UCLA
ucla_12,0.7149717514124294,0.9229110512129379,0.7746919385923228,0.28458517034962033,True,UCLA
ucla_13,0.9830508474576272,0.905390835579515,1.0857751247596892,0.7043921837170979,True,UCLA
ucla_14,0.728531073446328,0.6799640610961365,1.0714258519367905,0.7479274756376062,True,UCLA
ucla_15,0.7615819209039548,0.5624438454627135,1.3540585910001621,0.17666310846099753,True,UCLA
ucla_16,0.6203389830508476,0.5053009883198563,1.2276623188755216,0.3586220501876931,True,UCLA
ucla_17,0.7073446327683616,0.703414195867026,1.0055876564965978,0.9635493463003937,True,UCLA
ucla_18,0.7737288135593221,0.6034141958670262,1.2822515924531348,0.26702464021338645,True,UCLA
ucla_19,0.5703389830508474,0.5365678346810421,1.0629391964762112,0.7743266543463867,True,UCLA
ucla_20,0.5830508474576271,0.4226415094339622,1.37953995157385,0.15163089951956943,True,UCLA
dass_1,0.5780245470485094,0.4197802197802198,1.3769694707176532,0.15675175787271534,True,DASS-21
dass_2,0.5213325540619521,0.37490842490842496,1.3905597191882062,0.14446162838943066,True,DASS-21
dass_3,0.33898305084745767,0.38956043956043956,0.8701680571824725,0.5673008327849502,True,DASS-21
dass_4,0.24663939216832256,0.20000000000000004,1.2331969608416127,0.3514703844585121,True,DASS-21
dass_5,0.658094681472823,0.613919413919414,1.0719561339026293,0.7476129139667558,True,DASS-21
dass_6,0.49503214494447695,0.49578754578754586,0.9984763618015677,0.987696436251811,True,DASS-21
dass_7,0.5587375803623611,0.4056776556776557,1.3772944418864521,0.15644753082956453,True,DASS-21
dass_8,0.8088836937463472,0.9868131868131867,0.8196928299656748,0.4096094276132387,True,DASS-21
dass_9,0.5669199298655757,0.6556776556776557,0.8646320718061574,0.5491161316838247,True,DASS-21
dass_10,0.5902980713033315,0.5397435897435898,1.0936638850750557,0.6828073434882347,True,DASS-21
dass_11,0.6014026884862652,0.7073260073260074,0.8502482338516333,0.5027909268624654,True,DASS-21
dass_12,0.34132086499123326,0.2908424908424909,1.1735591453728798,0.47447908240574654,True,DASS-21
dass_13,0.7206312098188193,0.6175824175824176,1.1668583646532484,0.49003798556263445,True,DASS-21
dass_14,0.7136177673874925,0.701098901098901,1.017856063201596,0.9218032893916115,True,DASS-21
dass_15,0.26183518410286377,0.3510989010989011,0.7457590533133209,0.22227158208377895,True,DASS-21
dass_16,0.6212741087083576,0.4813186813186814,1.290774974713711,0.2577398123636363,True,DASS-21
dass_17,0.23378141437755703,0.49670329670329666,0.4706661218663206,0.0020847402870711,False,DASS-21
dass_18,0.4605493863237873,0.515934065934066,0.8926516327042522,0.6428560941867077,True,DASS-21
dass_19,0.4143775569842198,0.3703296703296703,1.1189423645567955,0.6115934614462895,True,DASS-21
dass_20,0.23378141437755703,0.26501831501831496,0.8821330494135878,0.6071965753090947,True,DASS-21
dass_21,0.7247223845704266,0.4813186813186814,1.5057017578974614,0.07015639853060973,True,DASS-21
