scale,group,n,n_items,mean_loading,min_loading,cronbach_alpha
UCLA,male,60,20,0.24445627140710516,-0.10886841737844821,0.27138108189785437
DASS-21,male,60,21,0.646044638408954,0.45167999455612573,0.9263343737775854
UCLA,female,106,20,0.28773833637295043,-0.07837771066954298,0.47266643555850296
DASS-21,female,106,21,0.5816279791200267,0.32557512882093803,0.9029346597330016
