item,loading_male,loading_female,loading_diff,z_statistic,p_value,invariant,scale
ucla_1,-0.10735681168053927,0.10606313063648742,-0.2134199423170267,-1.297740514503593,0.19437651667065103,True,UCLA
ucla_2,0.40835294068477374,0.4043976364715288,0.0039553042132449145,0.028698814509641797,0.9771048018638493,True,UCLA
ucla_3,0.4530656628521433,0.3937957240924734,0.059269938759669905,0.4377572050549091,0.6615622962870156,True,UCLA
ucla_4,0.5464527245119103,0.4992665345313015,0.047186189980608806,0.39362532159450786,0.6938576835193779,True,UCLA
ucla_5,0.016878770277747448,0.002871606084659313,0.014007164193088135,0.08485857350847383,0.9323738264938934,True,UCLA
ucla_6,-0.10886841737844821,0.18795883117119444,-0.29682724854964265,-1.814365607844025,0.0696214569583633,True,UCLA
ucla_7,0.3639001321615966,0.38184616546098915,-0.01794603329939254,-0.12627023708127472,0.8995180150253217,True,UCLA
ucla_8,0.28100305238233586,0.4674860900827001,-0.18648303770036423,-1.3210139024900078,0.1864967287057726,True,UCLA
ucla_9,0.30449792230086836,0.09829614845723429,0.20620177384363408,1.3075506383273694,0.1910257687238497,True,UCLA
ucla_10,0.03516102530482121,0.08762124990241382,-0.052460224597592614,-0.3190565090102825,0.7496836621997458,True,UCLA
ucla_11,0.5911443142139594,0.6263775238512179,-0.03523320963725851,-0.33927685237733296,0.7344011787412839,True,UCLA
ucla_12,0.4705522329395841,0.4826500934788032,-0.01209786053921913,-0.09482515807532342,0.9244537036544846,True,UCLA
ucla_13,0.4230405758935498,0.5131707800721446,-0.09013020417859474,-0.7004633345522239,0.48363799530266416,True,UCLA
ucla_14,0.4569674631221342,0.6824824401296877,-0.22551497700755352,-2.0612260511948333,0.03928147928766745,False,UCLA
ucla_15,-0.06737816577791167,0.001128573957096285,-0.06850673973500795,-0.4156014115981417,0.6777016935785796,True,UCLA
ucla_16,0.13935730288370038,-0.07837771066954298,0.21773501355324337,1.325442855342311,0.1850243109678713,True,UCLA
ucla_17,0.30295914282392367,0.39853413251491393,-0.09557498969099026,-0.661061813143662,0.5085726733661491,True,UCLA
ucla_18,0.41222429656594545,0.49869915699757456,-0.08647486043162911,-0.6619995227336742,0.5079715275606245,True,UCLA
ucla_19,0.04931094378667623,-0.07405031987477816,0.12336126366145439,0.7483304306352908,0.45426087376841817,True,UCLA
ucla_20,-0.08213967972666761,0.0745489401109095,-0.1566886198375771,-0.9511099800757824,0.3415485490108654,True,UCLA
dass_1,0.7316335429811293,0.6992497194833318,0.03238382349779745,0.40223636180786776,0.68751008411216,True,DASS-21
dass_2,0.6873796486094055,0.43936596697078045,0.24801368163862503,2.2505351748418687,0.02441499323109464,False,DASS-21
dass_3,0.5516921827480488,0.5561502216671974,-0.004458038919148644,-0.03895849804959536,0.9689234772338067,True,DASS-21
dass_4,0.45167999455612573,0.32557512882093803,0.1261048657351877,0.9021982833859773,0.3669515465625697,True,DASS-21
dass_5,0.6701935563457391,0.6538792969284445,0.016314259417294585,0.17596393760683413,0.8603222739507312,True,DASS-21
dass_6,0.7595876775159114,0.5350143951124533,0.22457328240345809,2.41147727560333,0.015888041910440798,False,DASS-21
dass_7,0.5514063029406421,0.5183306914846457,0.03307561145599636,0.28073815439854366,0.7789112421166331,True,DASS-21
dass_8,0.69044560382877,0.5909379944301059,0.0995076093986641,1.0279679180966748,0.30396491909355383,True,DASS-21
dass_9,0.4984119073825539,0.5690509829781036,-0.07063907559554972,-0.5992557596421597,0.5490023446088308,True,DASS-21
dass_10,0.6129523584291466,0.6477738652831403,-0.034821506853993656,-0.3502265795289945,0.7261686608303783,True,DASS-21
dass_11,0.7293146593727653,0.794666570523482,-0.0653519111507167,-0.949264356670965,0.34248617692875927,True,DASS-21
dass_12,0.7745885240570174,0.6453178055217038,0.12927071853531358,1.6020054125089758,0.10915441261592473,True,DASS-21
dass_13,0.7394279269850073,0.7281143888541809,0.011313538130826362,0.14849249008118845,0.8819541123005463,True,DASS-21
dass_14,0.49034998269818214,0.5243175283169005,-0.03396754561871834,-0.2771610788944744,0.7816564238545118,True,DASS-21
dass_15,0.7815387440717042,0.6825186355069374,0.09902010856476684,1.3053871402394692,0.19176105504926788,True,DASS-21
dass_16,0.6559379166870699,0.6552877798418677,0.0006501368452022094,0.006907091471367327,0.994488982174837,True,DASS-21
dass_17,0.6706788922083887,0.5909972889057488,0.07968160330263996,0.8043121993351965,0.42121669396223194,True,DASS-21
dass_18,0.6546972698758213,0.5024778334177981,0.15221943645802327,1.3984460560649483,0.16197916099592136,True,DASS-21
dass_19,0.6173367649185874,0.45963858006775965,0.1576981848508277,1.3559034255791702,0.17512989745673546,True,DASS-21
dass_20,0.6744274763918194,0.5746424365500166,0.09978503984180287,0.9958226066958054,0.31933634415736867,True,DASS-21
dass_21,0.5732564739841962,0.520880450855027,0.052376023129169225,0.45318007424117285,0.6504190793244,True,DASS-21
