Scale,N Items,Configural,Alpha Difference,Metric,Metric Invariant %,Scalar,Scalar Invariant %,Strict,Strict Invariant %,Highest Level
UCLA,20,Not Supported,0.2012853536606486,Supported,95.0,Supported,90.0,Supported,95.0,Strict
DASS-21,21,Supported,0.023399714044583853,Supported,90.47619047619048,Supported,95.23809523809523,Supported,95.23809523809523,Strict
