gender,n,dass_subscale,r,ci_lower,ci_upper,p
Male,64,Depression,0.6877518106613467,0.5318525229792095,0.7985615938389972,3.430511489237379e-10
Male,64,Anxiety,0.4533981763350597,0.23362207950766656,0.6290979194141607,0.0001682877987908329
Male,64,Stress,0.5955609193088562,0.40973063245068614,0.733929474000025,2.0904228469358258e-07
Female,106,Depression,0.6412812235752863,0.5133164187083908,0.7413505947098644,1.3073060367243222e-13
Female,106,Anxiety,0.4713294143466538,0.3082889157415138,0.6074704288031746,3.406131589138738e-07
Female,106,Stress,0.44146019823928534,0.2737549354259745,0.5831136144521591,2.1701456932256155e-06
