outcome,outcome_label,n_observed,beta,se,t_stat,power_observed,n_replication,power_replication
pe_rate,WCST PE Rate,170,0.643970883157956,0.8321663549410528,0.7738487374962092,0.12006077005737846,200,0.132935296329739
wcst_accuracy,WCST Accuracy,170,-1.012590593659851,1.5735987390985067,0.6434871663915734,0.0980360872599536,200,0.1068229247588316
prp_bottleneck,PRP Bottleneck,166,39.425010697735885,24.066806833340618,1.6381487984986438,0.3701975724288326,200,0.4322749394979329
stroop_interference,Stroop Interference,170,11.177488725887912,17.144204729186963,0.6519689249195046,0.09933755411003563,200,0.10836572286516813
