outcome,beta,ci_low,ci_high,n
Stroop Interference RT,6.141116056096585,-12.214243011601717,24.496475123794887,220
Stroop Interference Slope,17.612901813336055,6.679450820296845,28.546352806375268,220
WCST PE rate,-0.16490788453647803,-1.2943218353597032,0.9645060662867473,212
WCST Post-error RT,223.55949988849355,68.01755612340114,379.101443653586,211
