﻿outcome,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_wald,delta_r2_interaction,p_interaction_wald
WCST Perseverative Error Rate,197,0.0022551151733318786,0.0344507128099254,0.034490472991888566,0.03449051836377959,0.03219559763659352,0.0987021509955256,3.976018196316655e-05,0.9296081616219352,4.537189102205019e-08,0.9976252875695171
Stroop Interference Effect,197,0.00928986382769137,0.014792444771866142,0.017732201518040336,0.02517369640186151,0.005502580944174773,0.7851466772110198,0.0029397567461741936,0.4517345887396801,0.007441494883821176,0.2311959738129245
WCST Accuracy (%),197,0.003733954622801572,0.006476168285943773,0.008863434053732355,0.01674101495600644,0.002742213663142201,0.9127370910018632,0.0023872657677885822,0.499553219898214,0.007877580902274084,0.22002674508791123
WCST Mean Reaction Time (ms),197,0.054003396490497124,0.06197519527795503,0.07645088065188765,0.07808831123273507,0.007971798787457907,0.6547340831636939,0.014475685373932623,0.08602641492650084,0.001637430580847421,0.563018965616858
WCST Reaction Time SD,197,0.0011150276707783124,0.00732356302734416,0.03399984292974434,0.03582098686608082,0.006208535356565847,0.7544514652768167,0.02667627990240018,0.023083973826673692,0.0018211439363364779,0.5509013605795559
WCST Perseverative Error Count,197,0.0005651716069298152,0.028569761325435428,0.028727383220359615,0.028728372777375277,0.028004589718505613,0.14212099365340672,0.000157621894924187,0.8607983820849043,9.895570156626121e-07,0.9889431211461397
WCST Post-Error Slowing (ms),196,0.005388686397835518,0.009846954379722606,0.03038587144701488,0.030390197432022203,0.004458267981887087,0.8360753482420766,0.020538917067292273,0.046836730451020735,4.325985007325173e-06,0.9769259173568403
WCST Post-Switch Error Rate,195,0.019165188661350196,0.054750148871007376,0.055863477457939736,0.05802706110978939,0.03558496020965718,0.07180756876736027,0.0011133285869323606,0.6383009521301691,0.0021635836518496543,0.5130331644517052
WCST Reaction Time Coefficient of Variation,197,0.04512514367712661,0.05667025181912544,0.06651701661636977,0.0678017311180984,0.011545108141998828,0.506900415718279,0.009846764797244334,0.15850128712429015,0.0012847145017286232,0.6103919817474501
WCST RT MAD,197,0.011125056813486967,0.01887603819385497,0.029598985196167216,0.031229206343517335,0.007750981380368005,0.6806754683027015,0.010722947002312244,0.14899542281335842,0.0016302211473501194,0.5734540454630175
WCST RT IQR,197,0.006214522979906767,0.012889429152215581,0.0364019323251783,0.041155237899311414,0.006674906172308814,0.7313740775537625,0.023512503172962718,0.03256569007028728,0.004753305574133115,0.33430446247347667
WCST RT MAD (correct),197,0.022868227029898103,0.028887611164447047,0.040966685463390995,0.04288790853224633,0.006019384134548944,0.7570052417183821,0.012079074298943948,0.123538873805377,0.0019212230688553378,0.5386752016932639
WCST RT IQR (correct),197,0.018530089923941673,0.02596203540865849,0.05628911053943997,0.06035645096486564,0.007431945484716818,0.6925561805424778,0.030327075130781478,0.01435439065378099,0.0040673404254256695,0.36688620707637043
WCST Valid Trial Count,197,0.0017097217536898857,0.003998697667326967,0.013445919383375915,0.01360120068506221,0.0022889759136370813,0.9319477762806707,0.009447221716048948,0.1789858347054724,0.00015528130168629417,0.8632367999071674
Stroop Mean RT (Incongruent),197,0.03520555610933673,0.04084064143177191,0.043664589265325016,0.05135024587542747,0.005635085322435174,0.7718220917837062,0.0028239478335531087,0.45476459484464127,0.007685656610102454,0.2174649569244986
Stroop Mean RT (Congruent),197,0.03334466401527203,0.04760991069424114,0.04876009595627173,0.05210077086489795,0.014265246678969112,0.4158111468174124,0.0011501852620305897,0.6322699654533539,0.0033406749086262177,0.41544506716254703
Stroop Mean RT (Neutral),197,0.03160145014968341,0.04959502002152172,0.051525583599242086,0.05281728584451684,0.01799356987183831,0.30906842519806776,0.0019305635777203678,0.534766789917153,0.0012917022452747506,0.6122654755100566
Stroop Accuracy (Incongruent),197,0.002087241235050996,0.0168518546907509,0.018124190381670235,0.018208595825542795,0.014764613455699904,0.41460968274900567,0.001272335690919335,0.62033278341738,8.440544387255944e-05,0.8987042770296028
Stroop Accuracy (Congruent),197,0.015792225116205927,0.0385260822990835,0.039553697574515656,0.04852375329547498,0.02273385718287757,0.21451053546386672,0.0010276152754321588,0.6525942329647335,0.008970055720959325,0.18353414885074035
Stroop Accuracy (Neutral),197,0.0007015773339342779,0.015560845938630052,0.02198166934374024,0.028182389842274058,0.014859268604695774,0.4122821100223867,0.0064208234051101876,0.26546462686676214,0.006200720498533818,0.2735382875235379
Stroop Post-Error Slowing (ms),118,0.0028794881277729445,0.014092702344093544,0.01813076246427514,0.020911375285810774,0.0112132142163206,0.735727988499949,0.004038060120181597,0.5006687950689335,0.002780612821535633,0.5773472061645546
Stroop Post-Error RT (ms),118,0.025800755474861936,0.03794000445600121,0.0441692891260832,0.04834433295477869,0.012139248981139272,0.7030492795743353,0.0062292846700819915,0.3968609650663615,0.0041750438286954905,0.4887184283038084
Stroop Post-Correct RT (ms),197,0.03669444079846229,0.04925277992117938,0.05115907637046713,0.05525694126134628,0.012558339122717088,0.47295970227946116,0.0019062964492877477,0.5374213088914087,0.004097864890879155,0.36639262238918235
Stroop Incongruent RT Slope,197,0.010556968187538485,0.02325817087717208,0.05754385312985344,0.06830247981910542,0.012701202689633595,0.47998544186468606,0.03428568225268136,0.0092626185933596,0.010758626689251982,0.14125674720546588
Stroop RT Coefficient of Variation (All),197,0.0522509839844848,0.059476402207913504,0.06577337829796659,0.07288169797399624,0.0072254182234287034,0.6902475222394109,0.006296976090053086,0.2592028675125097,0.007108319676029651,0.23018048333785346
