participant_id,n_trials,n_t1t2,n_t2t1,reversal_rate
AsXBOflrszVNKoFqbN61bMJqS0k2,120.0,53.0,67.0,55.833333333333336
AyAnuCaltBbpEYbudoyNzTvXlcC2,84.0,0.0,84.0,100.0
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,118.0,51.0,67.0,56.779661016949156
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,120.0,72.0,48.0,40.0
CDEoAyvS8feXLKMKsaZah9agEhF3,120.0,75.0,45.0,37.5
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,120.0,69.0,51.0,42.5
CUNlBEszJVRGK1jWlTaOaCqpDg53,110.0,47.0,63.0,57.27272727272727
Cbkx2NHyF3NrebzXGqNgSfiWent1,120.0,49.0,71.0,59.166666666666664
Co587hoelyeANqFX7AYvuVQW0lZ2,120.0,55.0,65.0,54.166666666666664
CtJe4bZZnYUBNrcPk00d3YQFSGp2,120.0,81.0,39.0,32.5
DAKDKPH698P12JfTbbjemLI6PIH2,120.0,52.0,68.0,56.666666666666664
DPvStUYSmohmXwFwaKRqHv89R3k1,120.0,79.0,41.0,34.166666666666664
DaRehVxIOhXtEtUExdgvUl0mKcx2,114.0,88.0,26.0,22.807017543859647
Df83JuPuJkXqTGbENhM2gw5SJM43,43.0,18.0,25.0,58.139534883720934
DzB19GqCB7fyrlEPexogWkjFzEx2,116.0,60.0,56.0,48.275862068965516
EEodWwGh0wWq5f8JmzfKvq0lyeu1,118.0,74.0,44.0,37.28813559322034
EUhcW9kURScie1DwGPHqmNqotJB2,116.0,65.0,51.0,43.96551724137931
EmfmKFDgWJdW47a6CNTNjnbYaPh2,118.0,84.0,34.0,28.8135593220339
EoToosG69XMp4LTYdB6sB9WTrv22,120.0,87.0,33.0,27.500000000000004
Fz7EUjZCLuUBxLDUVtN6djaBTy42,120.0,46.0,74.0,61.66666666666667
G1Ff3XYUZMRsPafyEQ80ussnVlf1,120.0,66.0,54.0,45.0
GDZGRW51kbWtAdUIHCtEd8sAtqY2,120.0,65.0,55.0,45.83333333333333
GE4hogtdLdTFbNasENgtm6SO3hC3,120.0,33.0,87.0,72.5
GEwkBw3YHaNp3TCh9YS9PKVfavz1,120.0,32.0,88.0,73.33333333333333
HSggdq91WiQp16bOj7V3dABkcgk2,120.0,76.0,44.0,36.666666666666664
HbydnnT1hUP3WagAy2TJAc6GqVs2,120.0,14.0,106.0,88.33333333333333
HyQM2xKwwuVfqidmRYF6TiRk90C2,120.0,34.0,86.0,71.66666666666667
IaTJhUGICmO9xcL3605RW8QHneN2,120.0,85.0,35.0,29.166666666666668
JntnHLHjYhc0xJJQALM3h9R5Ozv1,118.0,51.0,67.0,56.779661016949156
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,119.0,77.0,42.0,35.294117647058826
K26uNuY0VNPjJNF26wEx3bFg0kr2,118.0,38.0,80.0,67.79661016949152
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,120.0,70.0,50.0,41.66666666666667
LSLmd8jENtONZFVkIpRDX665Bu73,116.0,20.0,96.0,82.75862068965517
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,120.0,67.0,53.0,44.166666666666664
LliUMEIsrCVZ88YFQfevan2Og4z1,120.0,43.0,77.0,64.16666666666667
M4Km1Q2P2oPliChDQkwl6k20FUI3,118.0,60.0,58.0,49.152542372881356
MMSYeiMQi3gMr4PrXQcpXzFiegj2,118.0,50.0,68.0,57.6271186440678
O61Eik2zvrSQLMNpFbTNEgjWwMr2,119.0,68.0,51.0,42.857142857142854
OExlWyngGfPrScDYjaRcv5PIAet1,119.0,72.0,47.0,39.49579831932773
ORuVuFPU5idz3fMoXTGsbwToW2j2,120.0,1.0,119.0,99.16666666666667
ORvIk1xRWIQmKuLVe6GXNouvAXx2,119.0,73.0,46.0,38.655462184873954
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,113.0,69.0,44.0,38.93805309734513
PLreonkqaMeFc0UqxKUelH44UQu1,120.0,69.0,51.0,42.5
PkpTH7pWpEOG9A86xSloOSozwTk2,119.0,90.0,29.0,24.369747899159663
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,120.0,72.0,48.0,40.0
QbOEVCaZLUMOgltUdXm58oZOALv2,120.0,61.0,59.0,49.166666666666664
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,117.0,67.0,50.0,42.73504273504273
QreA2rLiUhV3YHeMfuHMPdGbpJ53,119.0,88.0,31.0,26.05042016806723
Qv0jhW3sqicqQvd7LfReAsI7nD73,120.0,6.0,114.0,95.0
Rc706mP0TSeIoIpMYH1SpRXjOxA2,120.0,81.0,38.0,31.666666666666664
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,120.0,54.0,66.0,55.00000000000001
Ru3Qf6pXZua1DfNkQdhbor6iJ403,120.0,95.0,25.0,20.833333333333336
SOhR7IO689NQCPQu56SjATO8FR92,115.0,71.0,44.0,38.26086956521739
SPCT9D90pRa1ihXS5jEw6vCmquI3,118.0,63.0,55.0,46.61016949152542
SdDjNMBD2ZMTEwUphkohi2cZwUx1,120.0,42.0,78.0,65.0
SpSfX0ZcfcPLdlOENlfdfvEPwru2,120.0,79.0,41.0,34.166666666666664
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,119.0,79.0,40.0,33.61344537815126
Ub7nV8F55kPruh35ZpUcKoBUyn63,119.0,90.0,29.0,24.369747899159663
UbwuSMtBsHdW3Ji41opk3GInMqi2,120.0,78.0,42.0,35.0
VwTymW8T68MfpnJvZ2X97ILqDWS2,116.0,15.0,101.0,87.06896551724138
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,120.0,92.0,27.0,22.5
WbOfW9KmUkPQK8o5hlHJnJFdpp92,119.0,78.0,41.0,34.45378151260504
WcTsIpSoEhYeIBSNjAbbdaNSBya2,120.0,78.0,42.0,35.0
WeHQDy9BWldTlaQDVVlsJNCqwxA2,120.0,80.0,40.0,33.33333333333333
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,120.0,78.0,42.0,35.0
WnC6Uscb5VMIr43GASKiUCO3AYH2,120.0,45.0,75.0,62.5
WqoZv41KTtTCuPKBPyClregrKAi1,119.0,89.0,30.0,25.210084033613445
XehZHBpwr5MYzUXkj0FAYCsFG922,118.0,15.0,103.0,87.28813559322035
YEU5ox3jteVINfdSTg5ymqYcS9o2,120.0,37.0,83.0,69.16666666666667
Yco8O7tmHlbsUBfKW2ywcZByGO32,120.0,68.0,52.0,43.333333333333336
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,120.0,58.0,62.0,51.66666666666667
aM2995jJmJWvr6cneaGH58HauIg2,120.0,16.0,104.0,86.66666666666667
afdTz6deeYWf1qKNdUpKAYKN3hz1,120.0,66.0,54.0,45.0
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,120.0,55.0,65.0,54.166666666666664
azdL1gX79EVd9iepyCAVQrqIaQF3,120.0,74.0,46.0,38.333333333333336
bXpFswkI7TfIfL6G4FqWrbaxTGx2,119.0,32.0,87.0,73.10924369747899
biQ16yPcCKSkJQhSxUKcDc8gm8I2,120.0,42.0,78.0,65.0
btpcu1rB1JeSTo2upeHGPdv8kYG3,114.0,0.0,114.0,100.0
c0hRe9PCPPZs3HWFqhIQargNlp52,115.0,39.0,76.0,66.08695652173913
cC0BEsQjfrcuCyoaOas9zJT0MNs2,119.0,37.0,82.0,68.90756302521008
cEIs6U87xfbSL5eFTXDK77MmvNf1,118.0,51.0,67.0,56.779661016949156
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,120.0,11.0,109.0,90.83333333333333
cec6NLR2ZLVVw6h0TEKSNIH11v02,120.0,74.0,46.0,38.333333333333336
d9rwc0NXArcNlJvFsgKhQqkGxJq2,117.0,55.0,62.0,52.991452991452995
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,120.0,63.0,57.0,47.5
e7NIVznoeNMC7bBejXnMVvFNPfx1,120.0,22.0,98.0,81.66666666666667
fEq0OghbLpfD1jigl1Mbz96aMbg2,120.0,58.0,62.0,51.66666666666667
foaW7wtvY3XLNdguFUK7OvOefP93,120.0,67.0,53.0,44.166666666666664
g2G9l3no7RbeRA9a1W3JnfegTnh2,120.0,57.0,63.0,52.5
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,119.0,34.0,85.0,71.42857142857143
h5RYP03wJuVN0xo7qAR8CKFxLaj1,117.0,32.0,85.0,72.64957264957265
hrRr560eFBNwJ0CcUjCqtSD8TdP2,120.0,48.0,72.0,60.0
i1tBstVkNiVP0qro7TgGD08IGGa2,117.0,67.0,50.0,42.73504273504273
iKVZi0Oo96UrMBhPQMHWFcf55uA3,120.0,75.0,45.0,37.5
iWsc4pghIEWOQUZKuQJMfe516UI3,120.0,66.0,54.0,45.0
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,120.0,43.0,77.0,64.16666666666667
idP8RVfm74N86O0dszLXANIpjXv2,119.0,44.0,75.0,63.02521008403361
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,117.0,93.0,24.0,20.51282051282051
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,120.0,52.0,68.0,56.666666666666664
jzdk8E3tVXTXIozlfK5oeEb7wWp2,120.0,91.0,29.0,24.166666666666668
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,119.0,0.0,119.0,100.0
kI0YdycDU0X5hcoEPjEON3Ionyd2,109.0,80.0,29.0,26.605504587155966
kR2rCtaPyPaj7YMizKUDn5xL2qx1,119.0,64.0,55.0,46.21848739495798
kgSRatooJJfDaMZ2yIURqb8aJuE3,120.0,74.0,46.0,38.333333333333336
lHDkoPQu5reNCO45npeYSS9eLQl1,119.0,82.0,37.0,31.092436974789916
lpzDdvuMkKWkPxu6xeclmdctEp42,120.0,36.0,84.0,70.0
m69r9GQTk2b51mvxrFLt4fZeJi52,119.0,13.0,106.0,89.07563025210085
mUZzgdWKnPb2txOkJg9FHgqX5792,116.0,58.0,58.0,50.0
mweMgSlGM2VxThhwnupYxYzUbR23,120.0,62.0,58.0,48.333333333333336
mwsliuPsLFhRFjtjQwYkqcCRDvi2,120.0,61.0,59.0,49.166666666666664
nT1qJOiMyDdJ9ui4el195A8Hsgs1,120.0,93.0,27.0,22.5
ohl9pXqpeSMfepC3w9h0tW5SbJw1,120.0,43.0,77.0,64.16666666666667
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,106.0,78.0,28.0,26.41509433962264
pRQimOpZtsekBI2I1kbnD3pycmo1,119.0,30.0,89.0,74.78991596638656
pcbRW89vVJcviD87V3uxyG4I9st2,120.0,45.0,75.0,62.5
q0Atnpm0jZS5swcVmq0EMalQUKw1,120.0,54.0,66.0,55.00000000000001
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,119.0,69.0,50.0,42.016806722689076
qnR5PLX1v3fPi6SwTJMwGcadwyD3,119.0,65.0,54.0,45.378151260504204
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,120.0,78.0,42.0,35.0
rFV2EUbp64f5ORSh7DqwmCQmeqT2,117.0,59.0,58.0,49.572649572649574
rNe3cRPepZUXbJhmmfQZiGsVzX22,119.0,34.0,85.0,71.42857142857143
rUuJv5gl7dWVo7UPQWMx4bohxhK2,99.0,68.0,31.0,31.313131313131315
ric6cNjG25XmZJCiKZDOxzeezao1,120.0,67.0,53.0,44.166666666666664
roaf78tUWxWSEjAUcUu8O7mrQbl1,116.0,69.0,47.0,40.51724137931034
sqfXvh6GJLaYAqr3RvHrixP8IOx1,115.0,43.0,72.0,62.60869565217392
ssPK6ISW0HerTGke9hznqJ2LpKu1,120.0,59.0,61.0,50.83333333333333
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,107.0,53.0,54.0,50.467289719626166
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,120.0,60.0,60.0,50.0
tv88wS5Nf6SjruozSmXJxQSmx6J3,112.0,84.0,28.0,25.0
u64Uf920g5VD9Byq26LT2rs5o4t1,120.0,42.0,78.0,65.0
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,120.0,85.0,35.0,29.166666666666668
v8nNKiWvPdcjiHXZci39OuFTY6M2,120.0,64.0,56.0,46.666666666666664
wdppvL4tIkVlGjou6aYzzjlaZXB2,118.0,32.0,86.0,72.88135593220339
wkhxvE50megJGMA1EiROSZIJWNq1,120.0,81.0,39.0,32.5
xBGZhFOeypWnqzSQClkrwV9z2vF3,119.0,65.0,54.0,45.378151260504204
xHctBv4C2EU8rHYRouw0btT3GT02,120.0,55.0,65.0,54.166666666666664
xyAILKfYP2M8GqAai11x6NT7IcP2,120.0,75.0,45.0,37.5
y1EHXv8tUTa4BRS4fRio7bULYfA2,118.0,75.0,43.0,36.440677966101696
yatBVTBMCSMp0wJluOCLzTFKMyP2,104.0,72.0,32.0,30.76923076923077
yfjd8LbAMrYeG54927d3GiKAyXI2,117.0,61.0,56.0,47.863247863247864
zxG9mUnF7uRkaOKSoCPsiRZzr372,118.0,61.0,57.0,48.30508474576271
