Parameter,N,r_with_PE,p_with_PE,Partial_r,Partial_p,Significant
mu,72,-0.008907607849032597,0.9408017642088997,-0.00757057329533372,0.9496748796963088,No
sigma,72,0.11633777470003072,0.3304580429507362,0.10837340368188776,0.36485244750895673,No
tau,72,0.10596432563472874,0.3756721610941523,0.12057089561682939,0.31304230746804246,No
mu_post_error,17,-0.16654356479647153,0.5229147217165128,-0.12243720530797199,0.6396862875932408,No
sigma_post_error,17,-0.1815746370324086,0.48551573567960415,-0.1232460303369905,0.637459470175549,No
tau_post_error,17,0.20104705330696504,0.43907892569333146,0.15180481870870002,0.5608227915284589,No
mu_post_correct,72,-0.0034846118390722126,0.9768243070757495,-0.004830569376429623,0.967876595555802,No
sigma_post_correct,72,0.0825222277948216,0.490731296360707,0.06805287370888283,0.5700344731603186,No
tau_post_correct,72,0.07196171730097092,0.548034246302029,0.10515909259888045,0.3793314280750509,No
