participant_id,task,n_trials,n_cascades,cascade_rate,mean_cascade_length,max_cascade_length,total_cascade_trials,cascade_proportion,total_errors,error_rate
G1Ff3XYUZMRsPafyEQ80ussnVlf1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
G9VruXninjUdE9czK2DambZl5li2,stroop,108,0,0.0,0.0,0,0,0.0,3,2.7777777777777777
GDZGRW51kbWtAdUIHCtEd8sAtqY2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
GE4hogtdLdTFbNasENgtm6SO3hC3,stroop,107,0,0.0,0.0,0,0,0.0,3,2.803738317757009
GEwkBw3YHaNp3TCh9YS9PKVfavz1,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
HSggdq91WiQp16bOj7V3dABkcgk2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
HbydnnT1hUP3WagAy2TJAc6GqVs2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
HyQM2xKwwuVfqidmRYF6TiRk90C2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
IaTJhUGICmO9xcL3605RW8QHneN2,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
JntnHLHjYhc0xJJQALM3h9R5Ozv1,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
LSLmd8jENtONZFVkIpRDX665Bu73,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
LliUMEIsrCVZ88YFQfevan2Og4z1,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
M4Km1Q2P2oPliChDQkwl6k20FUI3,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
MMSYeiMQi3gMr4PrXQcpXzFiegj2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
O61Eik2zvrSQLMNpFbTNEgjWwMr2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
OExlWyngGfPrScDYjaRcv5PIAet1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
ORuVuFPU5idz3fMoXTGsbwToW2j2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
ORvIk1xRWIQmKuLVe6GXNouvAXx2,stroop,108,0,0.0,0.0,0,0,0.0,4,3.7037037037037033
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,stroop,108,0,0.0,0.0,0,0,0.0,4,3.7037037037037033
PLreonkqaMeFc0UqxKUelH44UQu1,stroop,108,0,0.0,0.0,0,0,0.0,3,2.7777777777777777
PkpTH7pWpEOG9A86xSloOSozwTk2,stroop,106,0,0.0,0.0,0,0,0.0,0,0.0
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
QbOEVCaZLUMOgltUdXm58oZOALv2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
QreA2rLiUhV3YHeMfuHMPdGbpJ53,stroop,108,0,0.0,0.0,0,0,0.0,3,2.7777777777777777
Qv0jhW3sqicqQvd7LfReAsI7nD73,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
Rc706mP0TSeIoIpMYH1SpRXjOxA2,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
Ru3Qf6pXZua1DfNkQdhbor6iJ403,stroop,108,1,0.9259259259259258,2.0,2,2,1.8518518518518516,5,4.62962962962963
SOhR7IO689NQCPQu56SjATO8FR92,stroop,108,1,0.9259259259259258,2.0,2,2,1.8518518518518516,6,5.555555555555555
SPCT9D90pRa1ihXS5jEw6vCmquI3,stroop,108,0,0.0,0.0,0,0,0.0,3,2.7777777777777777
SdDjNMBD2ZMTEwUphkohi2cZwUx1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
SpSfX0ZcfcPLdlOENlfdfvEPwru2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
Ub7nV8F55kPruh35ZpUcKoBUyn63,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
UbwuSMtBsHdW3Ji41opk3GInMqi2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
VwTymW8T68MfpnJvZ2X97ILqDWS2,stroop,108,0,0.0,0.0,0,0,0.0,4,3.7037037037037033
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
WbOfW9KmUkPQK8o5hlHJnJFdpp92,stroop,106,0,0.0,0.0,0,0,0.0,2,1.8867924528301887
WcTsIpSoEhYeIBSNjAbbdaNSBya2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
WeHQDy9BWldTlaQDVVlsJNCqwxA2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
WnC6Uscb5VMIr43GASKiUCO3AYH2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
WqoZv41KTtTCuPKBPyClregrKAi1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
XehZHBpwr5MYzUXkj0FAYCsFG922,stroop,108,0,0.0,0.0,0,0,0.0,3,2.7777777777777777
YEU5ox3jteVINfdSTg5ymqYcS9o2,stroop,108,0,0.0,0.0,0,0,0.0,3,2.7777777777777777
Yco8O7tmHlbsUBfKW2ywcZByGO32,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
aM2995jJmJWvr6cneaGH58HauIg2,stroop,104,0,0.0,0.0,0,0,0.0,1,0.9615384615384616
afdTz6deeYWf1qKNdUpKAYKN3hz1,stroop,108,0,0.0,0.0,0,0,0.0,4,3.7037037037037033
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
azdL1gX79EVd9iepyCAVQrqIaQF3,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
bXpFswkI7TfIfL6G4FqWrbaxTGx2,stroop,108,0,0.0,0.0,0,0,0.0,4,3.7037037037037033
biQ16yPcCKSkJQhSxUKcDc8gm8I2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
btpcu1rB1JeSTo2upeHGPdv8kYG3,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
c0hRe9PCPPZs3HWFqhIQargNlp52,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
cC0BEsQjfrcuCyoaOas9zJT0MNs2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
cEIs6U87xfbSL5eFTXDK77MmvNf1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,stroop,108,0,0.0,0.0,0,0,0.0,4,3.7037037037037033
cec6NLR2ZLVVw6h0TEKSNIH11v02,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
d9rwc0NXArcNlJvFsgKhQqkGxJq2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
e7NIVznoeNMC7bBejXnMVvFNPfx1,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
fEq0OghbLpfD1jigl1Mbz96aMbg2,stroop,108,1,0.9259259259259258,2.0,2,2,1.8518518518518516,5,4.62962962962963
foaW7wtvY3XLNdguFUK7OvOefP93,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
g2G9l3no7RbeRA9a1W3JnfegTnh2,stroop,105,0,0.0,0.0,0,0,0.0,3,2.857142857142857
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,stroop,108,0,0.0,0.0,0,0,0.0,4,3.7037037037037033
h5RYP03wJuVN0xo7qAR8CKFxLaj1,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
hrRr560eFBNwJ0CcUjCqtSD8TdP2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
i1tBstVkNiVP0qro7TgGD08IGGa2,stroop,107,0,0.0,0.0,0,0,0.0,1,0.9345794392523363
iKVZi0Oo96UrMBhPQMHWFcf55uA3,stroop,106,0,0.0,0.0,0,0,0.0,2,1.8867924528301887
iWsc4pghIEWOQUZKuQJMfe516UI3,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,stroop,107,0,0.0,0.0,0,0,0.0,1,0.9345794392523363
idP8RVfm74N86O0dszLXANIpjXv2,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,stroop,107,0,0.0,0.0,0,0,0.0,1,0.9345794392523363
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,stroop,107,0,0.0,0.0,0,0,0.0,1,0.9345794392523363
jzdk8E3tVXTXIozlfK5oeEb7wWp2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
kI0YdycDU0X5hcoEPjEON3Ionyd2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
kR2rCtaPyPaj7YMizKUDn5xL2qx1,stroop,108,0,0.0,0.0,0,0,0.0,3,2.7777777777777777
kgSRatooJJfDaMZ2yIURqb8aJuE3,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
kxerHPSL3bQjD74HhiebYf3blPr1,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
lHDkoPQu5reNCO45npeYSS9eLQl1,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
lpzDdvuMkKWkPxu6xeclmdctEp42,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
m69r9GQTk2b51mvxrFLt4fZeJi52,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
mUZzgdWKnPb2txOkJg9FHgqX5792,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
mg2WZiRBn4NQDKiMK43Y8dBqyG53,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
mweMgSlGM2VxThhwnupYxYzUbR23,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
mwsliuPsLFhRFjtjQwYkqcCRDvi2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
nT1qJOiMyDdJ9ui4el195A8Hsgs1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
ohl9pXqpeSMfepC3w9h0tW5SbJw1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
pRQimOpZtsekBI2I1kbnD3pycmo1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
pcbRW89vVJcviD87V3uxyG4I9st2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
q0Atnpm0jZS5swcVmq0EMalQUKw1,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,stroop,107,0,0.0,0.0,0,0,0.0,1,0.9345794392523363
qnR5PLX1v3fPi6SwTJMwGcadwyD3,stroop,107,0,0.0,0.0,0,0,0.0,2,1.8691588785046727
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,stroop,108,0,0.0,0.0,0,0,0.0,4,3.7037037037037033
rFV2EUbp64f5ORSh7DqwmCQmeqT2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
rNe3cRPepZUXbJhmmfQZiGsVzX22,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,stroop,106,0,0.0,0.0,0,0,0.0,1,0.9433962264150944
ric6cNjG25XmZJCiKZDOxzeezao1,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
roaf78tUWxWSEjAUcUu8O7mrQbl1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
sqfXvh6GJLaYAqr3RvHrixP8IOx1,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
ssPK6ISW0HerTGke9hznqJ2LpKu1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,stroop,106,0,0.0,0.0,0,0,0.0,1,0.9433962264150944
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
tv88wS5Nf6SjruozSmXJxQSmx6J3,stroop,108,1,0.9259259259259258,2.0,2,2,1.8518518518518516,2,1.8518518518518516
u64Uf920g5VD9Byq26LT2rs5o4t1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
