participant_id,n_trials,mean_streak,max_streak,rt_streak_0,rt_streak_1,rt_streak_2,rt_streak_3,rt_streak_4,rt_streak_5,momentum_slope
06qcrpGKL6Vc3LVplFQC90VAcRm1,79,4.417721518987341,10,1179.7833333325882,1403.5875000003725,1034.9142857130084,827.6714285718543,1075.2714285701513,847.2285714255912,-81.57042517048008
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,75,4.386666666666667,11,1514.3636363636576,1509.5888888888423,892.0428571428305,971.9285714285381,1072.6833333333489,997.3833333333799,-109.02092764377605
0oa5NYVnIBS9NmrmRAZrahXDctP2,71,4.830985915492958,11,801.9250000007451,1257.4124999977648,923.2333333343267,903.3166666676601,901.5666666651765,723.8833333378037,-42.218928570832524
146QT9LupyU2BAiTsB3PMIpVXM22,76,4.7894736842105265,11,1259.9249999988824,1387.3666666663355,1290.6714285739831,1076.2571428588458,1259.4428571462631,1061.7333333343267,-45.40411564566094
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,60,4.683333333333334,10,,1887.4000000059605,1607.250000004967,1739.616666669647,1551.2166666587193,1760.0499999970198,-31.073333336412908
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,60,4.516666666666667,10,1674.9833333293598,1652.5666666825612,1244.3999999960263,1463.8500000039737,1092.9000000158946,1273.6666666865349,-99.0323809487479
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,81,7.222222222222222,23,,1913.5666666825612,1604.5166666706402,1277.133333325386,1547.7166666388512,1073.6833333174388,-173.65666667620337
23AEyocWhqY955WHbxhHRSgQ1ms2,79,4.658227848101266,12,1576.769230769804,1498.9749999996275,1244.1714285718542,1242.933333331098,1386.050000000745,1502.3666666671634,-20.343597592874463
2h5FgHUEvBS1twD5DqbTIRrMm1f2,85,4.258823529411765,11,1714.521428563765,1871.8090909069235,1341.8142857125827,1371.5142857176918,1206.0142857091766,1284.600000006812,-117.63690166779706
2zDXvJKvjeejeOSNbtDbtSI5cdz1,65,4.630769230769231,10,1618.1125000002794,2129.633333333768,1216.133333333768,1353.1500000003725,1084.616666666232,1034.983333333085,-168.96226190491356
3WijiOiVCoMbn80F05SPYsxl0TC2,74,4.378378378378378,10,1744.675000011921,1472.800000011921,1371.7142856972557,1463.5333333214123,1187.7833333214123,1131.4333333571751,-109.41255102060282
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,77,4.779220779220779,11,1308.6499999999942,1545.2999999999884,1158.7285714285515,1380.714285714319,937.2857142857143,968.2999999999801,-94.39448979591786
5rXSa3anB5ejmFrnwUsTB82byup1,84,4.511904761904762,11,969.1363636363636,1147.5299999999813,1134.6750000000466,802.0125000000698,904.3375000000233,769.9142857142059,-58.81001113173255
5zxa5CMLGQSSonWOXqXf0QNS3PH3,84,5.130952380952381,16,1313.345454551957,1382.05,1151.3857142754964,977.7571428673608,1407.1666666865349,1091.7833333214123,-34.459690785750105
62fAfeQc27bZelkPX7G54T3gvci2,62,4.548387096774194,10,1282.7333333335507,1557.5428571428306,1394.2333333333954,1529.5,1584.7666666667599,1158.3666666666977,-11.56843537416779
6ABZuv4jbjgE0B8TeyUk6nwVb122,78,4.333333333333333,10,1809.9444443384807,2011.5874998569489,1817.0625,1775.4375,1846.3375000357628,1767.3750000596046,-21.4349205959411
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,72,4.5,11,2042.4454545541244,1755.175000011921,1644.7999999920528,1639.0666666825612,1484.2999999920528,1635.483333349228,-81.51911255410225
80UJMJbCOMgs6YVpsMgXfYTzw6o2,68,4.867647058823529,11,1517.6000000000931,1611.2833333332092,1209.7999999991928,1468.6833333332713,1138.7333333333954,1260.3166666667287,-69.86238095234813
87w5Le0CgZhSfYAaOH3Xd2fc98l1,105,3.419047619047619,13,1925.8785714286246,1824.174999999348,1449.8600000005215,1606.6375000001863,1414.7875000000931,1521.5833333339542,-88.3674625848986
8bwaafIhKVMNBoHaXFcY8HirS9u2,77,5.87012987012987,20,1360.2499999701977,1427.2428571156092,1162.7142857483454,1042.399999993188,1060.5,1050.5666666428249,-79.1131292496814
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,82,3.8658536585365852,11,1514.042105072423,1816.1900000572205,1286.2999999182564,1603.7999998728435,1413.5999999046326,1299.8833333651226,-56.03039597256226
8mscvscxtXf7EbbLqCyy4a4pl2q2,68,4.573529411764706,10,1818.2222222222222,1854.1571428435188,1490.7166666587193,1534.1000000039737,1496.433333337307,1547.1666666467984,-68.14473923001428
9Xz1RIwnPXgyRqmucudW9VeuDnq1,68,4.573529411764706,10,1617.7777777778294,1247.857142857143,1133.0,1513.3333333333333,1322.5,1202.3333333333333,-42.084580498873606
9l7DjYLs0XdgwykPZR5E01KTZfu2,67,4.313432835820896,9,1363.5285714353834,1248.2428572007589,1023.3714285407748,1041.6714285612106,1045.142857159887,1034.3142857210976,-63.91632653353168
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,76,4.25,10,1576.5928571224213,1860.3222222328186,1079.1499999761581,1124.366666674614,1133.2500000397365,1356.2833333412807,-92.50136053675695
ASGvwW80q7VY7xFaLGZhVuErUQu2,78,4.769230769230769,12,1226.8555552164714,1884.2999999523163,1637.1857144492012,1302.4571424211774,1329.5571430751256,1573.7999997820173,-7.549569138053331
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,85,4.0588235294117645,11,1885.1235294903026,1548.6500001907348,1363.5285714694432,1291.2142857824053,1459.1142856734139,1237.6999999455043,-102.22968791322836
AsXBOflrszVNKoFqbN61bMJqS0k2,103,3.796116504854369,11,1166.3099999785422,1417.3307692546111,1372.1818181384695,1396.481818166646,1391.2222222222222,1211.4375,4.903195972522813
