participant_id,task,n_trials,n_cascades,cascade_rate,mean_cascade_length,max_cascade_length,total_cascade_trials,cascade_proportion,total_errors,error_rate
06qcrpGKL6Vc3LVplFQC90VAcRm1,wcst,79,5,6.329113924050633,2.0,2,10,12.658227848101266,12,15.18987341772152
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,wcst,75,3,4.0,2.0,2,6,8.0,11,14.666666666666666
0d841i8KPjdjwCYfDuUUXj0SEjH2,wcst,61,2,3.278688524590164,2.0,2,4,6.557377049180328,7,11.475409836065573
0oa5NYVnIBS9NmrmRAZrahXDctP2,wcst,71,1,1.4084507042253522,2.0,2,2,2.8169014084507045,8,11.267605633802818
146QT9LupyU2BAiTsB3PMIpVXM22,wcst,76,0,0.0,0.0,0,0,0.0,8,10.526315789473683
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,wcst,60,0,0.0,0.0,0,0,0.0,5,8.333333333333332
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,wcst,60,0,0.0,0.0,0,0,0.0,6,10.0
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,wcst,81,0,0.0,0.0,0,0,0.0,5,6.172839506172839
23AEyocWhqY955WHbxhHRSgQ1ms2,wcst,79,4,5.063291139240507,2.5,4,10,12.658227848101266,13,16.455696202531644
2h5FgHUEvBS1twD5DqbTIRrMm1f2,wcst,85,3,3.5294117647058822,2.3333333333333335,3,7,8.235294117647058,14,16.470588235294116
2zDXvJKvjeejeOSNbtDbtSI5cdz1,wcst,65,2,3.076923076923077,2.0,2,4,6.153846153846154,8,12.307692307692308
3WijiOiVCoMbn80F05SPYsxl0TC2,wcst,74,3,4.054054054054054,2.3333333333333335,3,7,9.45945945945946,12,16.216216216216218
3xCaqfcHxRQxuOlEzXz3PNcHODH2,wcst,68,1,1.4705882352941175,2.0,2,2,2.941176470588235,5,7.352941176470589
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,wcst,77,1,1.2987012987012987,2.0,2,2,2.5974025974025974,8,10.38961038961039
5OOi73igsahMZ5IVKQwwyhnj4Cn2,wcst,59,0,0.0,0.0,0,0,0.0,3,5.084745762711865
5rXSa3anB5ejmFrnwUsTB82byup1,wcst,84,2,2.380952380952381,2.0,2,4,4.761904761904762,11,13.095238095238097
5zxa5CMLGQSSonWOXqXf0QNS3PH3,wcst,84,2,2.380952380952381,2.0,2,4,4.761904761904762,11,13.095238095238097
62fAfeQc27bZelkPX7G54T3gvci2,wcst,62,0,0.0,0.0,0,0,0.0,6,9.67741935483871
6ABZuv4jbjgE0B8TeyUk6nwVb122,wcst,78,2,2.564102564102564,2.0,2,4,5.128205128205128,9,11.538461538461538
6WFCyGwk71XLPBmbe4Vav3eotVm1,wcst,66,1,1.5151515151515151,4.0,4,4,6.0606060606060606,6,9.090909090909092
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,wcst,72,2,2.7777777777777777,3.0,4,6,8.333333333333332,11,15.277777777777779
80UJMJbCOMgs6YVpsMgXfYTzw6o2,wcst,68,2,2.941176470588235,2.0,2,4,5.88235294117647,8,11.76470588235294
87w5Le0CgZhSfYAaOH3Xd2fc98l1,wcst,105,5,4.761904761904762,3.6,5,18,17.142857142857142,28,26.666666666666668
