participant_id,task,n_trials,mean_rt,rmssd,cv,iiv,mssd,adj_volatility
06qcrpGKL6Vc3LVplFQC90VAcRm1,stroop,108,696.8370370373682,191.35113122551851,23.038441775971325,160.5403950512578,36615.25542128561,145.80967915306377
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,stroop,108,685.4342592592627,331.5111881225938,36.437498438270374,249.75509751296397,109899.66785045377,247.66761666999523
0d841i8KPjdjwCYfDuUUXj0SEjH2,stroop,108,915.9768518077003,421.4440079209193,31.5466899200668,288.960377179365,177615.0518124479,287.6412669455151
0oa5NYVnIBS9NmrmRAZrahXDctP2,stroop,108,551.8935185176907,175.70842298071832,25.933903761230393,143.12753395684615,30873.44990637103,137.94910901665574
146QT9LupyU2BAiTsB3PMIpVXM22,stroop,108,792.2277777779985,295.26328200466605,30.069611720996438,238.21981672372266,87180.40570016696,229.03026884095172
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,stroop,108,1174.2796296325546,582.3991268821304,37.343775436591606,438.5203478876208,339188.7429930679,429.7090756980693
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,stroop,108,947.1749999964678,339.6872259816866,28.334525541218568,268.3775422940362,115387.4114951334,259.68132823173016
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,stroop,108,905.6046296225654,504.7354947216509,41.70083658711642,377.6447067242669,254757.9196319097,369.51546910365977
23AEyocWhqY955WHbxhHRSgQ1ms2,stroop,108,799.8120370366507,233.34957351094616,23.03959719532214,184.27347165294506,54452.02345774046,181.50563174562018
2h5FgHUEvBS1twD5DqbTIRrMm1f2,stroop,108,770.1787037016065,375.9984661496086,39.90202604750952,307.3169069633862,141374.84654685837,277.04866959486543
2zDXvJKvjeejeOSNbtDbtSI5cdz1,stroop,108,759.8231481482206,247.01833713015876,26.287866340118953,199.74129360648826,61018.05887854876,198.35892763473717
3WijiOiVCoMbn80F05SPYsxl0TC2,stroop,108,842.1453703697081,274.2865283371079,24.060317505984973,202.62284997290485,75233.0996272231,202.4685130706607
3xCaqfcHxRQxuOlEzXz3PNcHODH2,stroop,108,710.7749999987858,303.9011832132016,34.50404197278124,245.24610433161686,92355.92915838392,240.95311928580014
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,stroop,108,827.692592592593,330.67084659075255,30.40585392196181,251.66700062660232,109343.208785045,250.03999469511876
5OOi73igsahMZ5IVKQwwyhnj4Cn2,stroop,108,832.4824074074471,264.8901242854137,22.733896420700216,189.2556882205606,70166.77794394194,188.7901561087882
5rXSa3anB5ejmFrnwUsTB82byup1,stroop,108,860.4185185185246,352.96284401099985,33.47865473619455,288.056545101097,124582.76925233343,284.1222898824678
5zxa5CMLGQSSonWOXqXf0QNS3PH3,stroop,108,639.6620370304144,251.51868272277486,27.992081929069755,179.0547214747101,63261.64775859989,176.06378186373357
62fAfeQc27bZelkPX7G54T3gvci2,stroop,107,1019.0401869158861,464.8663547040492,34.853816728906956,355.1743991415738,216100.72773583085,353.6711686055424
6ABZuv4jbjgE0B8TeyUk6nwVb122,stroop,108,1052.7157407645825,313.78842476845585,21.01590321629336,221.23772122177036,98463.1755186689,218.7006763278462
6WFCyGwk71XLPBmbe4Vav3eotVm1,stroop,108,682.9046296411091,193.072018933001,20.234698832859436,138.18369512353257,37276.80449486509,136.18770058535193
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,stroop,108,1137.0101851776794,336.65767619805126,23.774863030514688,270.3226141689947,113338.39094307195,269.15242139679
80UJMJbCOMgs6YVpsMgXfYTzw6o2,stroop,108,746.8879629631044,209.1882169088336,22.09802902137353,165.0475188127324,43759.71009349722,154.44508140701748
87w5Le0CgZhSfYAaOH3Xd2fc98l1,stroop,106,1369.4754716980992,629.5487269615907,31.88760596868142,436.69294225283113,396331.5996189595,434.4655507833672
8bwaafIhKVMNBoHaXFcY8HirS9u2,stroop,108,671.455555540544,237.64696778200133,28.10388437019455,188.7050929263619,56476.08129597958,182.4196723205514
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,stroop,108,1130.8009259170956,541.0308028060808,36.17278040292635,409.0421357262489,292714.3295849923,382.6646376102787
8mscvscxtXf7EbbLqCyy4a4pl2q2,stroop,108,1059.4046296300712,463.8787960003678,32.95589456051685,349.13627271012035,215183.53737875086,349.1332920186714
9Xz1RIwnPXgyRqmucudW9VeuDnq1,stroop,106,1188.7264150943379,509.85064106116687,38.987507301666035,463.4547978817379,259947.67619048283,455.38354072256453
9l7DjYLs0XdgwykPZR5E01KTZfu2,stroop,108,797.673148151901,325.5749015835994,30.54818106233973,243.67463758310817,105999.01654117044,235.56085413807264
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,stroop,108,861.106481479274,451.02107428635003,39.07004642483255,336.4347020811944,203420.0094504133,307.03982803269196
ASGvwW80q7VY7xFaLGZhVuErUQu2,stroop,108,869.6981480739735,261.69716144820967,21.666176345348546,188.43033443393762,68485.40431005032,187.7134638854057
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,stroop,108,953.3259259550659,464.8275151360809,34.718762668444704,330.9829656890922,216064.6188275835,328.6838901664038
AsXBOflrszVNKoFqbN61bMJqS0k2,stroop,108,773.1583333291389,349.50247815108395,32.246827937375265,249.31903743212575,122151.98223374893,249.17649920761548
AyAnuCaltBbpEYbudoyNzTvXlcC2,stroop,108,1018.8148148181261,455.6512869788681,37.73953385729074,384.4959619813807,207618.0953254988,366.9478312147249
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,stroop,108,826.5296296296292,352.5200004930995,31.423467794630678,259.72427197974673,124270.35074765484,259.3778008909429
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,stroop,108,963.4370370198179,345.436029071717,25.23803851052515,243.1526104277241,119326.05018083609,242.64381273141834
CDEoAyvS8feXLKMKsaZah9agEhF3,stroop,108,837.5398148148088,302.68829097821634,28.77580970866959,241.00886334545308,91620.20149531336,239.67012271341702
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,stroop,108,1055.3092592689727,561.7088004365061,41.21147385243395,434.90849944594703,315516.77648781857,423.29906588717034
CUNlBEszJVRGK1jWlTaOaCqpDg53,stroop,108,789.0018518519656,290.5073563820639,28.798513169808626,227.22080221562229,84394.52411209549,211.31419209275094
Cbkx2NHyF3NrebzXGqNgSfiWent1,stroop,108,851.0259259256223,291.00227333093227,25.401241293765096,216.17114891686595,84682.32308377062,215.46142007890643
Co587hoelyeANqFX7AYvuVQW0lZ2,stroop,108,648.8416666636864,277.631663637553,32.768939134986866,212.61853083145778,77079.34065415536,211.97252054752263
CtJe4bZZnYUBNrcPk00d3YQFSGp2,stroop,108,792.5842592592687,265.14643705715025,23.749811011268246,188.23726367913667,70302.63308410134,188.20318561027105
DAKDKPH698P12JfTbbjemLI6PIH2,stroop,108,634.4694444432303,173.14943171064996,20.497304085362593,130.0491313562396,29980.725701721036,122.57673707939085
DPvStUYSmohmXwFwaKRqHv89R3k1,stroop,108,995.4009259298996,415.42840370432435,33.68472267547811,335.29804140862797,172580.75860432308,333.77532523273794
