participant_id,n_errors,n_trials,mean_rt_lag_1,mean_acc_lag_1,mean_rt_lag_2,mean_acc_lag_2,mean_rt_lag_3,mean_acc_lag_3,mean_rt_lag_4,mean_acc_lag_4,mean_rt_lag_5,mean_acc_lag_5
aM2995jJmJWvr6cneaGH58HauIg2,14,87,1385.778571431126,0.5714285714285714,1375.6928571334906,0.9285714285714286,1138.4928571283817,0.9285714285714286,1112.22857142772,0.9285714285714286,1048.4428571420056,1.0
afdTz6deeYWf1qKNdUpKAYKN3hz1,19,52,2127.1777777771154,0.5555555555555556,2312.0058823534673,0.5882352941176471,2254.0562499975786,0.5625,2244.0199999998013,0.6666666666666666,2200.0571428558655,0.6428571428571429
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,24,118,1206.125,0.7083333333333334,1179.7666666706402,0.7083333333333334,1031.4541666656733,0.625,1161.9791666766007,0.8333333333333334,1251.2000000029802,0.7916666666666666
azdL1gX79EVd9iepyCAVQrqIaQF3,10,77,1790.8899999999908,0.8,1312.1900000000373,0.8,1396.3600000000092,0.9,1271.3200000000186,0.9,1258.7799999999813,0.9
bXpFswkI7TfIfL6G4FqWrbaxTGx2,15,90,1294.973333333355,0.6,1286.0800000000047,0.7333333333333333,1250.9866666666699,0.8666666666666667,1121.840000000014,0.9333333333333333,994.6333333333179,0.9333333333333333
biQ16yPcCKSkJQhSxUKcDc8gm8I2,29,118,1632.2071428554398,0.6785714285714286,1635.357142857143,0.75,1603.1607142686844,0.7142857142857143,1678.5642857381276,0.6785714285714286,1498.1821428792816,0.7142857142857143
btpcu1rB1JeSTo2upeHGPdv8kYG3,8,65,1617.475000038743,0.75,1494.1500000059605,0.875,1676.162500038743,1.0,1503.2374999970198,1.0,1311.2750000059605,1.0
c0hRe9PCPPZs3HWFqhIQargNlp52,12,82,1945.2833332618077,0.6666666666666666,1747.2833333015442,0.6666666666666666,1721.4333332777023,0.8333333333333334,1626.074999968211,1.0,1547.7166666587193,1.0
cC0BEsQjfrcuCyoaOas9zJT0MNs2,35,120,1253.7228571278708,0.42857142857142855,1168.9942857265473,0.5428571428571428,1169.6200000081744,0.4857142857142857,1215.5114285469056,0.6,1241.7885714190347,0.6
cEIs6U87xfbSL5eFTXDK77MmvNf1,11,97,1642.9181818962097,0.8181818181818182,1223.3181819048796,0.9090909090909091,1138.0181817574935,0.9090909090909091,1110.727272683924,0.9090909090909091,1146.7909090302207,1.0
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,13,111,1554.6153846148115,0.9230769230769231,1371.899999999656,0.7692307692307693,1388.7846153854177,0.9230769230769231,1054.6307692315715,1.0,1183.1076923081507,0.9230769230769231
cec6NLR2ZLVVw6h0TEKSNIH11v02,49,124,1427.0061224489568,0.4897959183673469,1422.2510204081213,0.6326530612244898,1474.5448979591874,0.5102040816326531,1417.5775510204235,0.5306122448979592,1400.5673469387336,0.6326530612244898
d9rwc0NXArcNlJvFsgKhQqkGxJq2,11,78,1711.6363636363637,0.7272727272727273,1577.709090904756,0.9090909090909091,1324.409090909091,1.0,1286.0454545454545,1.0,1256.66363636472,0.9090909090909091
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,6,59,2004.0833333532016,0.6666666666666666,1879.9833333293598,0.8333333333333334,1605.6666666865349,1.0,1630.8166666825612,1.0,1548.9833333293598,1.0
e7NIVznoeNMC7bBejXnMVvFNPfx1,8,65,1690.2000000178814,0.625,1415.9625000059605,0.75,1235.5125000029802,0.875,963.8625000044703,1.0,1013.7624999955297,1.0
fEq0OghbLpfD1jigl1Mbz96aMbg2,20,86,1730.909999997914,0.55,1559.560000000894,0.65,1379.134999998659,0.6,1432.1149999976158,0.75,1411.374999999255,0.75
foaW7wtvY3XLNdguFUK7OvOefP93,9,73,1686.7222222222222,0.8888888888888888,1217.233333333318,0.8888888888888888,1264.6222222222068,0.8888888888888888,1248.8777777777675,0.8888888888888888,1196.8111111111164,1.0
g2G9l3no7RbeRA9a1W3JnfegTnh2,22,97,1607.9909090779045,0.5909090909090909,1245.0136363452132,0.6363636363636364,1444.1272727088494,0.6818181818181818,1239.695454543287,0.7727272727272727,1320.5499999902465,0.7727272727272727
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,5,59,1940.9999999999534,1.0,2106.1999999999534,1.0,1583.8,1.0,1603.9999999999534,1.0,1177.6,1.0
h5RYP03wJuVN0xo7qAR8CKFxLaj1,35,110,1559.048571419716,0.45714285714285713,1563.5542857084956,0.5714285714285714,1509.199999993188,0.5428571428571428,1454.5199999945505,0.6285714285714286,1436.565714280946,0.6
hrRr560eFBNwJ0CcUjCqtSD8TdP2,13,86,1575.2000000001146,0.6923076923076923,1667.3461538458673,0.8461538461538461,1286.884615384902,1.0,1099.5153846153273,0.9230769230769231,1031.2230769226758,1.0
i1tBstVkNiVP0qro7TgGD08IGGa2,9,71,2301.800000005298,0.6666666666666666,1952.0222222275204,0.7777777777777778,1751.688888920678,0.8888888888888888,1470.4111111164093,1.0,1568.9000000423857,1.0
iKVZi0Oo96UrMBhPQMHWFcf55uA3,5,63,2080.1999999999534,0.8,1916.1999999999534,1.0,1698.4,1.0,1613.8000000000466,1.0,1420.6,1.0
iWsc4pghIEWOQUZKuQJMfe516UI3,8,74,1809.0749999955297,0.875,1413.1499999985099,1.0,915.3999999985099,1.0,953.1124999970198,0.875,836.3750000074506,1.0
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,17,84,2060.0588235294117,0.7058823529411765,1991.7235294019474,0.5294117647058824,1822.3117647100898,0.8235294117647058,1879.4941176246193,0.6470588235294118,1890.1294117675109,0.8235294117647058
idP8RVfm74N86O0dszLXANIpjXv2,8,71,1726.5625,0.75,1634.1249999925494,0.875,1816.8624999970198,1.0,1426.5500000044703,1.0,1242.2000000104308,1.0
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,11,69,2220.454545454503,0.5454545454545454,1905.272727272706,0.7272727272727273,1867.0909090908667,0.9090909090909091,1540.272727272706,0.9090909090909091,1580.363636363594,1.0
jzdk8E3tVXTXIozlfK5oeEb7wWp2,8,77,1305.8125,0.75,1261.3624999970198,0.875,1187.3624999672174,1.0,1444.2750000208616,1.0,1269.3375000059605,1.0
