task,outcome,outcome_label,n,beta_ucla,p_ucla,beta_ucla_x_gender,p_ucla_x_gender,r_squared
wcst,n_cascades,Number of Cascades,171,-0.615401246652793,0.0810314795169061,0.4829858492448257,0.1752140492683406,0.05793923601168083
wcst,mean_cascade_length,Mean Cascade Length,171,-0.06482061517673425,0.5813283599557385,0.10693413503618522,0.5261066219936805,0.019263766709745833
wcst,cascade_proportion,Cascade Proportion (%),171,-1.1121744950901793,0.3478329578182757,1.5185122733543146,0.16395818926822536,0.046846703084893804
stroop,n_cascades,Number of Cascades,171,0.0031450713445282715,0.8741895349997528,-0.03592379296296502,0.17691736225124022,0.033874615513810324
stroop,mean_cascade_length,Mean Cascade Length,171,0.009010650692787678,0.8164362369147555,-0.06325680839342003,0.20209152465803648,0.026059805613106723
stroop,cascade_proportion,Cascade Proportion (%),171,0.005824206193570871,0.8741895349997528,-0.06652554252400929,0.17691736225124022,0.033874615513810546
