participant_id,task,n_trials,mean_rt,rmssd,cv,iiv,mssd,adj_volatility
06qcrpGKL6Vc3LVplFQC90VAcRm1,wcst,79,1002.0759493657682,505.6608194811648,41.91121833186898,419.982238989836,255692.86435836315,406.2080913703865
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,wcst,75,1156.3706666666767,646.3691592271441,41.309725027820676,477.69354270238097,417793.09000000515,476.2957584973824
0d841i8KPjdjwCYfDuUUXj0SEjH2,wcst,61,1386.2573771085895,601.722999379334,32.08103676957224,444.72573887111434,362070.56798206206,438.63812477872756
0oa5NYVnIBS9NmrmRAZrahXDctP2,wcst,71,856.9746478875758,327.4159689337071,38.795722941967085,332.4695100773619,107201.21671279828,325.9497214939993
146QT9LupyU2BAiTsB3PMIpVXM22,wcst,76,1107.0973684215232,501.52488911328,35.268864665534934,390.4606725842857,251527.2144000878,388.1921218696132
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,wcst,60,1564.9883333330354,577.3359040501151,29.019837290406176,454.1570679470863,333316.7461053637,447.3555778601517
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,wcst,60,1412.5300000091395,702.469538037941,35.007408905440116,494.4901530152128,493463.4518712382,481.4589390660681
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,wcst,81,1367.0950617289836,579.6838850759148,33.378534277807674,456.31629378942483,336033.4066167063,421.76765812952317
23AEyocWhqY955WHbxhHRSgQ1ms2,wcst,79,1270.7569620252787,642.9205319368723,37.76508219017846,479.9024111462614,413346.8103859908,463.1928622114714
2h5FgHUEvBS1twD5DqbTIRrMm1f2,wcst,85,1395.2105882350136,770.0845552579443,44.7470030648011,624.314924677951,593030.2222468259,624.1670509163205
2zDXvJKvjeejeOSNbtDbtSI5cdz1,wcst,65,1447.2169230770319,643.3470134285523,37.5561403461571,543.5188187441465,413895.3796874378,537.74252250168
3WijiOiVCoMbn80F05SPYsxl0TC2,wcst,74,1323.929729733918,533.5914790968814,35.38089028303656,468.41812510166,284719.8665647976,441.40244292614204
3xCaqfcHxRQxuOlEzXz3PNcHODH2,wcst,68,1299.9794117665904,738.1031593731872,42.887971744710406,557.5348028055079,544796.2738766805,533.4962411276919
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,wcst,77,1130.7805194805146,582.8218830555268,40.14179140761557,453.91555740781996,339681.3473683902,428.4749923467716
5OOi73igsahMZ5IVKQwwyhnj4Cn2,wcst,59,1448.46101694914,544.4143952845928,27.50739289331669,398.4338628387304,296387.03379308886,395.8785552231057
5rXSa3anB5ejmFrnwUsTB82byup1,wcst,84,930.8761904761972,279.50325730369593,29.813048936826668,277.5225742079365,78122.07084337604,256.6709888823256
5zxa5CMLGQSSonWOXqXf0QNS3PH3,wcst,84,1163.7154761950176,485.4945326286159,33.17660108408712,386.08124129100577,235704.94121227818,382.775328597547
62fAfeQc27bZelkPX7G54T3gvci2,wcst,62,1364.1048387097226,532.8168571643636,27.205088680596724,371.10593106729095,283893.8032785098,365.0377564790697
6ABZuv4jbjgE0B8TeyUk6nwVb122,wcst,78,1741.3551282087963,520.3098779232755,23.229561647573068,404.5091630104373,270722.3690645339,394.26063963911645
6WFCyGwk71XLPBmbe4Vav3eotVm1,wcst,66,1182.799999923417,585.3379026823567,37.19238767153063,439.9115613503813,342620.46031658,434.25308584857976
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,wcst,72,1653.869444453054,452.47598613289665,23.986231474666887,396.7009532352968,204734.5180269373,371.68518747948366
80UJMJbCOMgs6YVpsMgXfYTzw6o2,wcst,68,1241.2279411763884,489.73409416254594,32.384813291955226,401.9693512775532,239839.4829852094,373.1886044781445
