model,model_path,path,exog_to_med,male_mean,male_se,male_ci_lower,male_ci_upper,female_mean,female_se,female_ci_lower,female_ci_upper,diff,se_diff,z_stat,p_value
Model1_CLS,C → L → S,a-path,ef_composite → z_ucla,0.2178975862652358,0.18452424268824208,-0.15183075804663776,0.5740620362262244,-0.18135879213252237,0.12245713309861096,-0.4287808805576278,0.052319386966176724,0.3992563783977582,0.22146093467336442,1.8028298263376634,0.07141494442291685
Model1_CLS,C → L → S,b-path,z_ucla → z_dass_str,0.6092158018051136,0.08600288558897426,0.43427844008402283,0.7724512212488165,0.4444768039490271,0.08312487360573065,0.27956960890889265,0.6029098610250572,0.16473899785608648,0.1196086992722473,1.3773161890266514,0.16841451216268033
Model1_CLS,C → L → S,indirect,a × b,0.13334990439473846,0.11627816860134349,-0.09250252978246164,0.3724418195676773,-0.08100735461526984,0.05779021889068993,-0.20311734503940337,0.022727017197707325,0.2143572590100083,0.1298473022157808,1.6508410675624856,0.09877103197443682
Model2_CSL,C → S → L,a-path,ef_composite → z_dass_str,0.20788660152898356,0.1854898960237813,-0.171476286706781,0.564831498993438,-0.26908357004352645,0.1305510151076664,-0.5212415677911337,-0.001012094849255664,0.47697017157251,0.22682607670317656,2.1028013114941397,0.035483141345778124
Model2_CSL,C → S → L,b-path,z_dass_str → z_ucla,0.6216255824785558,0.11160154272560416,0.39694797518301866,0.8266079050386343,0.43446588047370277,0.08411285595168998,0.2704525851261789,0.606559321572072,0.18715970200485305,0.13974933586634533,1.3392528905028247,0.1804883593812836
Model2_CSL,C → S → L,indirect,a × b,0.13267929826089825,0.12269160317360082,-0.0948821330581508,0.389641842714369,-0.11825707340029502,0.0645945299735595,-0.2566625013930292,-0.00041786643470363314,0.25093637166119326,0.13865670842701197,1.8097672626729389,0.07033188669421842
Model3_LSC,L → S → C,a-path,z_ucla → z_dass_str,0.6092157285240614,0.0848713043183672,0.43875931112844696,0.7715708962608717,0.44147401473552456,0.08316546487266217,0.27532404339681193,0.5991599212960244,0.1677417137885368,0.11882606130048619,1.411657610735352,0.15805080033056607
Model3_LSC,L → S → C,b-path,z_dass_str → ef_composite,0.0696045435117198,0.061970754785581325,-0.04387897384398978,0.20074661412140568,-0.11511868523383362,0.05893448171646689,-0.2305822865010122,0.0028772053956405167,0.1847232287455534,0.08551986660351629,2.1600037053607637,0.030772382723266656
Model3_LSC,L → S → C,indirect,a × b,0.04257411577072047,0.03808733874740795,-0.02653508996670844,0.12615386765958903,-0.05117137107822525,0.028226538524367517,-0.10936977384678206,0.0009431740055084176,0.09374548684894572,0.04740656969163037,1.9774788063920283,0.04798753382084664
Model4_LCS,L → C → S,a-path,z_ucla → ef_composite,0.06867394880415706,0.05945265256348804,-0.04255076796032748,0.1891203094916297,-0.07579289898635432,0.05042424814931302,-0.17086175733554657,0.02642810858644907,0.1444668477905114,0.07795654365259096,1.8531715366232748,0.06385777597753828
Model4_LCS,L → C → S,b-path,ef_composite → z_dass_str,0.2091573353000214,0.18561790249340412,-0.15692951478825054,0.5735448795998366,-0.26984949459224417,0.13204179841797864,-0.5201141480985928,0.0019854598089691514,0.47900682989226556,0.22779166414841653,2.1028286161523937,0.0354807535979722
Model4_LCS,L → C → S,indirect,a × b,0.019140986304643337,0.02451365518983052,-0.0075958857282868745,0.0847595778225281,0.02300141440451283,0.020363173179411328,-0.004699769553467545,0.07188588285671393,-0.0038604280998694937,0.031868136322988856,-0.12113755447583799,0.9035820840196978
