ddm_param,ef_measure,r,p,n
v,stroop_interference,-0.4936943528010601,1.3451601737183065e-07,102
v,pe_rate,-0.2080656972239035,0.0358622064209299,102
v,prp_bottleneck,-0.2229599647851241,0.027333017520541247,98
v,stroop_effect,-0.7090582152243623,0.00031980871695116276,21
a,stroop_interference,0.3593836485318594,0.00020758655658292892,102
a,pe_rate,0.10561713918047289,0.2907431688988574,102
a,prp_bottleneck,0.2220361505281802,0.02799549209434156,98
a,stroop_effect,0.469945330007914,0.03158383295754964,21
t,stroop_interference,0.2935530429409229,0.0027492410424289804,102
t,pe_rate,0.03422234408663349,0.7327504913579431,102
t,prp_bottleneck,0.25547817569337977,0.011118971591101088,98
t,stroop_effect,0.14606272302661533,0.527543688334285,21
