param_type,parameter,beta_ucla,se_ucla,p_ucla,r_squared,n
overall,v,-0.014088392076097671,0.00566199102798247,0.012837709755998055,0.07380874817649619,102
overall,v_interaction,0.014034916011787553,0.007529577424186583,0.06232573869352433,0.07380874817649619,102
overall,a,0.0006991295131921226,0.00569245821900574,0.9022521690278243,0.07346962754564235,102
overall,a_interaction,0.004729238408958228,0.007358320760879023,0.5204147542068515,0.07346962754564235,102
overall,t,-0.008160137557117888,0.01960349426748326,0.6772202430368468,0.11902335500973948,102
overall,t_interaction,0.007956240925929859,0.021666036357137246,0.7134535775783597,0.11902335500973948,102
