,Factor1,Factor2
pe_rate,0.7946651736215784,0.02683506960686525
stroop_interference,0.1377125174438577,-0.3910866703490719
prp_bottleneck,0.11756923788383805,-0.39327552411215405
wcst_accuracy,-0.794980358115069,-0.029106675601543012
