outcome,class,n,ucla_mean,pct_male,ef_mean
pe_rate,0,98,41.89795918367347,0.0,10.746881492795318
pe_rate,1,6,53.5,33.33333333333333,8.537943412905257
pe_rate,2,58,39.10344827586207,100.0,9.764290947041017
pe_rate,3,4,35.5,75.0,12.084013305263435
stroop_interference,0,21,45.142857142857146,100.0,205.16372569846803
stroop_interference,1,39,35.05128205128205,100.0,77.91867674366405
stroop_interference,2,8,52.0,37.5,130.151143589065
stroop_interference,3,98,41.89795918367347,0.0,150.93608408168544
prp_bottleneck,0,7,55.57142857142857,42.857142857142854,538.2957027052732
prp_bottleneck,1,5,41.8,20.0,831.4393629470902
prp_bottleneck,2,95,41.61052631578947,0.0,620.8483842344529
prp_bottleneck,3,59,38.74576271186441,100.0,529.1029597838378
