,full_indirect,full_indirect,full_indirect,full_sig,full_sig,full_sig
dass,anxiety,depression,stress,anxiety,depression,stress
model,,,,,,
DASS → UCLA → EF,0.019938377081544265,0.05584495119488834,0.028252482416543073,False,False,False
EF → DASS → UCLA,0.009654617027233635,-0.031018511000882144,-0.00570741937374418,False,False,False
UCLA → DASS → EF,-0.0058301794664368965,-0.04798562069270612,-0.017514287806330634,False,False,False
UCLA → EF → DASS,-0.0007808244318763919,-0.0034783859714278545,-0.0019788316377558324,False,False,False
