dass,model,model_key,full_n,full_a,full_b,full_indirect,full_ci_low,full_ci_high,full_sig,full_sobel_z,full_sobel_p,full_aic,full_bic,full_r2_stage1,full_r2_stage2,male_n,male_a,male_a_p,male_b,male_b_p,male_indirect,male_ci_low,male_ci_high,male_sig,female_n,female_a,female_a_p,female_b,female_b_p,female_indirect,female_ci_low,female_ci_high,female_sig,a_path_z_diff,a_path_p_diff,b_path_z_diff,b_path_p_diff
depression,UCLA → DASS → EF,model1_ucla_dass_ef,207,0.6471042551209915,-0.07415438905394629,-0.04798562069270612,-0.12340271251825513,0.0254751975799953,False,-1.2425815112470744,0.2140220864854374,854.8480412287859,878.1770727816435,0.4416085936661287,0.011241412161186903,81,0.7064902807599449,7.0577589064736805e-15,-0.04809404153847975,0.6204504490323531,-0.033977972909401015,-0.15265633707888723,0.09596116929911351,False,126,0.5928139504365303,1.901495254920032e-13,-0.11599037068939119,0.11032378941600639,-0.06876070986097553,-0.16426761489728967,0.017583949158461537,False,1.3689624509269376,0.17101101257061568,0.47244779060496694,0.6366071993127767
depression,UCLA → EF → DASS,model2_ucla_ef_dass,207,0.033845972045674876,-0.10277104663248554,-0.0034783859714278545,-0.018767176587981233,0.005149467917836799,False,-0.662804897185332,0.5074555168022057,854.8480412287859,878.1770727816436,0.0036482913373725445,0.44586405223403147,81,0.0980575033576979,0.12063538816693602,-0.06654627533367331,0.6204504490323537,-0.00652536161697396,-0.04074800533876793,0.01890269830041431,False,126,-0.0470681569891162,0.4165730494405502,-0.17902533664284445,0.11032378941600601,0.008426392650134779,-0.01125636680568018,0.03393865487819498,False,1.0050667209933475,0.314864723327533,0.789887207285612,0.42959364305982506
depression,DASS → UCLA → EF,model3_dass_ucla_ef,207,0.6824375443042767,0.08183159273838089,0.05584495119488834,-0.018382098500070967,0.13165368069694539,False,1.4062528077736118,0.15964906818400193,865.8529053887544,889.181936941612,0.4435087996620257,0.011241412161186903,81,0.7674798809002643,7.05775890647363e-15,0.13203547626709888,0.1588473171815644,0.10133457160008273,-0.028520017690170877,0.23334950439613142,False,126,0.6021965234537919,1.9014952549201147e-13,0.021692552871859293,0.7622675775112397,0.013063179924271237,-0.06978845385375697,0.10232115182177472,False,2.1940946762916744,0.02822860392109794,0.7676693668135356,0.4426836398473317
depression,EF → DASS → UCLA,model4_ef_dass_ucla,207,-0.045307454501534936,0.6846226816788238,-0.031018511000882144,-0.1683385309161428,0.10846432650986533,False,-0.4113316800062092,0.6808293428521819,1053.4062739479805,1076.7353055008382,0.0008301890573839676,0.44894359307168674,81,0.1559968832050294,0.4214137398222597,0.7571511018687109,1.2817952034078575e-14,0.11811321200677262,-0.17569422722716543,0.4495586022125428,False,126,-0.24573418440247224,0.07647491788426734,0.605768752135189,3.1711878304511584e-13,-0.14885809024244404,-0.3166873157323387,0.007178280971535644,False,2.8198134942832245,0.004805156879508443,1.984858069071833,0.04716026466772272
anxiety,UCLA → DASS → EF,model1_ucla_dass_ef,207,0.47818563284284527,-0.012192293256022967,-0.0058301794664368965,-0.04889161188067827,0.0358377717157184,False,-0.2388817047615991,0.8111973124034579,920.8273588748305,944.156390427688,0.24037702757570123,0.003928540596013663,81,0.5594704740420003,7.132822825081434e-08,0.04145162356891749,0.5851401147472256,0.023190959487912822,-0.06152617095886236,0.10955318125382099,False,126,0.39864391086140283,1.290267779334778e-06,-0.05044756011228617,0.4504064565267406,-0.02011061265657747,-0.07339621902220003,0.02488016747914604,False,1.4510283458913404,0.14677196726168318,0.6353722324854955,0.5251856736264315
anxiety,UCLA → EF → DASS,model2_ucla_ef_dass,207,0.033845972045674876,-0.02306993667732974,-0.0007808244318763919,-0.010351619682682283,0.00897496826660557,False,-0.22855503474253142,0.8192147765406939,920.8273588748305,944.156390427688,0.0036482913373725445,0.24059069085646567,81,0.0980575033576979,0.12063538816693602,0.09378963531186174,0.5851401147472257,0.009196777479510145,-0.022075531268186968,0.06496085078519115,False,126,-0.0470681569891162,0.4165730494405502,-0.09271574230139154,0.4504064565267405,0.004363959114004339,-0.009900897054500007,0.02520283243820146,False,1.0050667209933475,0.314864723327533,1.2922810249726653,0.19625984073371283
anxiety,DASS → UCLA → EF,model3_dass_ucla_ef,207,0.502528000364596,0.03967615151211176,0.019938377081544265,-0.021017830959801247,0.06594330113203657,False,0.7933639916469175,0.42756578367398923,931.1053953599877,954.4344269128453,0.24288740453982416,0.003928540596013663,81,0.5582963698756436,7.132822825081382e-08,0.07486654386978508,0.3257240982316526,0.04179771966763663,-0.024634253711739513,0.12005358704836766,False,126,0.4367976035263829,1.2902677793347845e-06,-0.02695754433253869,0.6726555439542123,-0.011774990761409126,-0.06065910404120439,0.03848934389626645,False,1.1198326580100963,0.26278507959820896,0.7044957459901614,0.481124098348247
anxiety,EF → DASS → UCLA,model4_ef_dass_ucla,207,0.019235423790059658,0.5019186025016448,0.009654617027233635,-0.08169008350495596,0.12257698796578276,False,0.17431577487568248,0.861617302478745,1119.3855915940248,1142.7146231468826,0.00024817866736825955,0.24525064952896125,81,0.26553852722333665,0.188093911820872,0.5443462360779334,1.7959345005930044e-07,0.14454489782770116,-0.09373926302710629,0.43252028218630895,False,126,-0.1377234789058804,0.3045187823655287,0.43340889219040774,1.825713986368645e-06,-0.05969058042120662,-0.16108091282175158,0.04526689471765264,False,2.83717669272798,0.004551441636517994,1.010237044450902,0.31238173512063727
stress,UCLA → DASS → EF,model1_ucla_dass_ef,207,0.5425630844059931,-0.03228064774348878,-0.017514287806330634,-0.07661845238832185,0.0402943565394732,False,-0.6181900037460084,0.5364500986384524,911.4378186752921,934.7668502281497,0.2986708587335861,0.005528719576289087,81,0.6829639241988842,1.321462305138957e-11,0.08185857986994734,0.32180247348942426,0.05590645693732702,-0.0511274663758571,0.1962673573610258,False,126,0.4203190733415018,4.322323170831628e-07,-0.10576633046755018,0.11015172053009346,-0.04445560601285174,-0.11755078302877939,0.0069079999627547255,False,2.6707202305525994,0.007568870215097112,1.3002720838194757,0.19350773242055563
stress,UCLA → EF → DASS,model2_ucla_ef_dass,207,0.033845972045674876,-0.058465794248290896,-0.0019788316377558324,-0.015131359605585065,0.008186828469170885,False,-0.4856418410779423,0.627221125355133,911.4378186752921,934.7668502281497,0.0036482913373725445,0.2999944868365403,81,0.0980575033576979,0.12063538816693602,0.1557457770664031,0.32180247348942403,0.015272042057636092,-0.018491513420492763,0.061905032967124525,False,126,-0.0470681569891162,0.4165730494405502,-0.19651897785459876,0.11015172053009319,0.009249786101000905,-0.011977725337201022,0.04024962203433122,False,1.0050667209933475,0.314864723327533,2.4604459734233437,0.013876446274906806
