parameter,gender,a_path,b_path,c_prime_direct,c_total,indirect_effect,ci_lower,ci_upper,significant,proportion_mediated
alpha,Male,0.00016388222404182433,-35.31434456204032,0.08237582292922263,0.07658842960181463,-0.005787393327406473,-0.07465194689214058,0.08888761252639903,False,-0.07556485173407121
alpha,Female,0.0009603277993174505,-24.615372558974894,-0.0753277907815925,-0.09896661734052555,-0.02363882655893952,-0.07230467709959497,0.006478618775184689,False,0.23885656794353957
beta,Male,-6.64304101088975e-07,3852.196739054006,0.07914745969455293,0.07658842960181463,-0.002559030091955152,-0.054524111219556415,0.01905944700976011,False,-0.03341275053241881
beta,Female,1.2402996832452586e-06,5622.858664994469,-0.10594064716020611,-0.09896661734052555,0.006974029821125498,-0.013608458830532716,0.037926759147984046,False,-0.0704685075486532
phi,Male,-1.375780936275356e-07,-87461.65891626067,0.0645556212996812,0.07658842960181463,0.012032808299200894,-0.016029523324979852,0.06822196126313705,False,0.157110001625047
phi,Female,-2.7370046894285425e-06,346.62898501151403,-0.09801789218306695,-0.09896661734052555,-0.0009487251574683699,-0.0322797427372458,0.007635315574336363,False,0.009586314890444167
