outcome_column,n,ucla_beta,ucla_se,ucla_t,ucla_p,r2,adj_r2,cov_type,outcome,ucla_fdr_q,ucla_fdr_sig
wcst_shift_rt_k0,203,100.42052078712302,59.90219920399731,1.6764079135916248,0.09365831990643961,0.036107444327281524,0.006600529357708607,HC3,WCST Shift RT (k=0),0.6746249647719117,False
wcst_shift_acc_k5,203,0.025488923136202744,0.016599856026223683,1.535490614854522,0.12466336066032693,0.050893183855873714,0.02183889356574742,HC3,WCST Shift Accuracy (k=5),0.6746249647719117,False
wcst_shift_acc_k2,203,-0.03154256570174229,0.020778149264802998,-1.5180642558562039,0.1289982009408837,0.04913390923713368,0.02002576360153585,HC3,WCST Shift Accuracy (k=2),0.6746249647719117,False
wcst_shift_acc_k1,203,0.03224825521766268,0.022728900703511967,1.4188215980317882,0.15595103427998225,0.05797700635845515,0.029139567777591635,HC3,WCST Shift Accuracy (k=1),0.6746249647719117,False
wcst_shift_rt_k3,203,104.06956470140341,75.2297235995543,1.3833569993605555,0.16655542864951112,0.06341302095100676,0.03474199098011932,HC3,WCST Shift RT (k=3),0.6746249647719117,False
wcst_shift_rt_km1,203,41.13558745772026,31.375536055735427,1.3110720207185338,0.1898334325250126,0.06537049739261813,0.03675939016994323,HC3,WCST Shift RT (k=-1),0.6746249647719117,False
wcst_shift_rt_post_mean,203,61.330256059972,52.74707250866162,1.1627234108566107,0.24494174003261893,0.042103340349104235,0.012779973216934026,HC3,WCST Shift RT Post-Mean (k=0..2),0.6746249647719117,False
wcst_shift_rt_k4,203,75.43819563983976,64.9323705995911,1.1617964190008307,0.24531816900796788,0.06604820706105408,0.03745784605271907,HC3,WCST Shift RT (k=4),0.6746249647719117,False
wcst_shift_rt_pre_mean,203,27.117831990365346,27.83050187971197,0.9743924887726818,0.3298616975271099,0.10408994270089134,0.07666412462030647,HC3,WCST Shift RT Pre-Mean (k=-2..-1),0.7923724015054769,False
wcst_shift_acc_k4,203,0.012179348805982709,0.015258548457174616,0.7981983895890138,0.42475537182258094,0.06232885181165293,0.033624632989560754,HC3,WCST Shift Accuracy (k=4),0.7923724015054769,False
wcst_shift_rt_delta,203,34.212424069606605,43.05601293154351,0.7946026986753816,0.42684464803691213,0.012524348611688496,-0.017704497859382107,HC3,WCST Shift RT Delta (post-pre),0.7923724015054769,False
wcst_shift_rt_k1,203,66.2710557834451,84.3758076093103,0.785427217364288,0.4322031280938965,0.020223769639888367,-0.009769380269094574,HC3,WCST Shift RT (k=1),0.7923724015054769,False
wcst_shift_acc_k0,203,0.01609128592439271,0.023809680260960312,0.6758295679752107,0.49914885949389665,0.03238378413049625,0.002762879563062537,HC3,WCST Shift Accuracy (k=0),0.8447134545281327,False
wcst_shift_acc_k3,203,0.009395590951992858,0.02055794616034924,0.4570296506620117,0.6476497336835578,0.03648292555536303,0.0069875049090987185,HC3,WCST Shift Accuracy (k=3),0.8777807942203559,False
wcst_shift_rt_km2,203,13.100076523010545,30.74471297299998,0.42609200920220125,0.6700408026448743,0.11402475873126983,0.08690306767202305,HC3,WCST Shift RT (k=-2),0.8777807942203559,False
wcst_shift_acc_delta,203,0.005598991813437735,0.014413518290720172,0.388454206704169,0.6976799362403782,0.0494364792630434,0.02033759597517748,HC3,WCST Shift Accuracy Delta (post-pre),0.8777807942203559,False
wcst_shift_acc_post_mean,203,0.005598991813437702,0.014413518290720182,0.38845420670416647,0.69767993624038,0.0494364792630434,0.02033759597517748,HC3,WCST Shift Accuracy Post-Mean (k=0..2),0.8777807942203559,False
wcst_shift_rt_k2,203,17.29919160934773,54.08861379806949,0.31983055942108773,0.7490967803386043,0.05313202003824946,0.024146265549624513,HC3,WCST Shift RT (k=2),0.8777807942203559,False
wcst_shift_acc_km2,203,-1.214306433183765e-17,5.934915620453359e-17,-0.20460382435749036,0.8378816672103397,-inf,-inf,HC3,WCST Shift Accuracy (k=-2),0.8777807942203559,False
wcst_shift_acc_km1,203,-1.214306433183765e-17,5.934915620453359e-17,-0.20460382435749036,0.8378816672103397,-inf,-inf,HC3,WCST Shift Accuracy (k=-1),0.8777807942203559,False
wcst_shift_acc_pre_mean,203,-1.214306433183765e-17,5.934915620453359e-17,-0.20460382435749036,0.8378816672103397,-inf,-inf,HC3,WCST Shift Accuracy Pre-Mean (k=-2..-1),0.8777807942203559,False
wcst_shift_rt_k5,203,0.20399058570068007,46.75974453331075,0.004362525666823544,0.9965192191651611,0.05604178516561409,0.027145105119663615,HC3,WCST Shift RT (k=5),0.9965192191651611,False
