participant_id,wcst_n_shifts,wcst_shift_rt_km2,wcst_shift_rt_km1,wcst_shift_rt_k0,wcst_shift_rt_k1,wcst_shift_rt_k2,wcst_shift_rt_k3,wcst_shift_rt_k4,wcst_shift_rt_k5,wcst_shift_acc_km2,wcst_shift_acc_km1,wcst_shift_acc_k0,wcst_shift_acc_k1,wcst_shift_acc_k2,wcst_shift_acc_k3,wcst_shift_acc_k4,wcst_shift_acc_k5,wcst_shift_rt_pre_mean,wcst_shift_rt_post_mean,wcst_shift_rt_delta,wcst_shift_acc_pre_mean,wcst_shift_acc_post_mean,wcst_shift_acc_delta
23hG7h2ByUZDbmOMTDtp0HT0xRb2,4,1010.5250000953674,1209.8500000238419,1223.0499999523163,2304.399999856949,2280.2999999523163,1103.4000000953674,1100.1749999523163,1000.6499999761581,1.0,1.0,0.25,0.75,0.75,1.0,1.0,0.75,1110.1875000596046,1935.9166665871937,825.7291665275891,1.0,0.5833333333333334,-0.41666666666666663
28nQWMwCaSNFBEXlicY3eHqpwKU2,5,1782.1000000476838,1506.460000038147,1295.2599999427796,1600.739999961853,1686.8199999809265,1530.9000000476838,1515.7999999523163,1492.6799999713899,1.0,1.0,0.0,0.8,0.8,1.0,0.8,1.0,1644.2800000429154,1527.6066666285196,-116.67333341439576,1.0,0.5333333333333333,-0.4666666666666667
2FHuv7L9nWPdbIiWHRIuXtcoyw83,5,887.0,920.0,1422.5999999999535,1385.0,1805.2,1436.1999999999534,1352.0000000001396,1380.9999999999068,1.0,1.0,0.2,0.8,0.6,0.8,1.0,1.0,903.5,1537.5999999999847,634.0999999999847,1.0,0.5333333333333333,-0.4666666666666667
2h5FgHUEvBS1twD5DqbTIRrMm1f2,5,1414.0600000143052,939.9,965.9799999833107,3757.8799999952316,1877.2199999690056,2557.9400000095366,1957.5799999952317,2438.4,1.0,1.0,0.2,0.6,0.4,0.6,0.6,1.0,1176.9800000071525,2200.359999982516,1023.3799999753635,1.0,0.4000000000000001,-0.5999999999999999
2zDXvJKvjeejeOSNbtDbtSI5cdz1,5,2037.7599999997765,1659.4800000000746,1349.0400000002235,1985.240000000596,2605.0400000002237,1278.080000000447,1399.079999999702,1796.9999999996276,1.0,1.0,0.2,0.4,0.8,1.0,1.0,1.0,1848.6199999999255,1979.773333333681,131.15333333375543,1.0,0.46666666666666673,-0.5333333333333332
3FSnTCSiUodLp5u3bE0xaUjLk0b2,5,1032.8199999999256,1043.6400000000372,1153.3800000000745,1917.8200000000186,1517.9999999998138,1074.3200000000186,1931.0800000000745,1121.200000000093,1.0,1.0,0.4,0.4,1.0,0.8,1.0,0.8,1038.2299999999814,1529.7333333333024,491.50333333332105,1.0,0.6,-0.4
3WijiOiVCoMbn80F05SPYsxl0TC2,5,1274.9800000190735,1157.300000023842,1577.3600000143051,1717.4000000238418,2013.460000014305,1396.3599999904632,1318.739999961853,1294.3799999713897,1.0,1.0,0.2,0.2,0.4,1.0,1.0,0.8,1216.1400000214576,1769.4066666841507,553.2666666626931,1.0,0.26666666666666666,-0.7333333333333334
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,4,1294.6250002384186,1071.3249998092651,905.7999999523163,1048.8999996185303,1256.0249998569489,1038.9999997615814,1143.9750001430511,1161.6499998569489,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.75,1182.9750000238419,1070.2416664759319,-112.73333354790998,1.0,0.5,-0.5
3xCaqfcHxRQxuOlEzXz3PNcHODH2,5,964.8000000029803,1692.440000000596,1573.119999998808,1800.5600000023842,1069.0000000029802,1236.2000000029802,1320.9,1226.4400000035762,1.0,1.0,0.6,0.8,1.0,1.0,1.0,0.8,1328.6200000017882,1480.893333334724,152.27333333293586,1.0,0.7999999999999999,-0.20000000000000007
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,5,1087.3600000000558,1323.8599999999628,1086.5999999999535,1846.5200000000652,2956.319999999972,1605.2199999999252,918.0399999999441,1330.0200000000652,1.0,1.0,0.4,0.6,0.8,0.8,1.0,1.0,1205.6100000000092,1963.1466666666638,757.5366666666546,1.0,0.6,-0.4
50R0P1MIMvRvK1qpqfGROchII6R2,4,951.6999998092651,999.1999999284744,987.9249999523163,1119.375,973.2749999761581,981.8250000476837,1006.6999999682108,1040.1666666666667,1.0,1.0,0.5,0.25,0.25,0.25,0.6666666666666666,1.0,975.4499998688698,1026.8583333094914,51.40833344062162,1.0,0.3333333333333333,-0.6666666666666667
5OOi73igsahMZ5IVKQwwyhnj4Cn2,5,1495.9399999999441,1819.7400000000375,3319.2200000000184,1613.6800000000744,1371.5600000000559,1763.6399999999442,1658.0999999998137,1788.2200000000187,1.0,1.0,0.4,1.0,0.8,1.0,1.0,0.8,1657.8399999999908,2101.4866666667162,443.6466666667254,1.0,0.7333333333333334,-0.2666666666666666
5Z68AKm9rIeeB2lVu3nJO7U31wk1,3,1288.8333333327125,815.9666666667908,1142.699999999876,863.4000000003725,900.53333333383,769.2333333337059,890.6999999998758,837.4666666667908,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1052.3999999997518,968.8777777780261,-83.52222222172566,1.0,0.2222222222222222,-0.7777777777777778
5rXSa3anB5ejmFrnwUsTB82byup1,5,897.7799999998882,906.6600000000559,869.7600000000559,1113.0200000000186,1108.1599999999628,902.8600000000558,1088.700000000093,845.1399999999442,1.0,1.0,0.4,0.6,0.8,0.8,1.0,1.0,902.2199999999721,1030.3133333333458,128.09333333337372,1.0,0.6,-0.4
5zxa5CMLGQSSonWOXqXf0QNS3PH3,5,833.7599999904633,1004.8000000238419,1187.5600000143052,1676.3,1172.2799999713898,1176.5800000190734,1233.9400000095368,1472.3799999952316,1.0,1.0,0.4,0.4,0.8,0.8,1.0,1.0,919.2800000071526,1345.3799999952316,426.09999998807905,1.0,0.5333333333333333,-0.4666666666666667
62fAfeQc27bZelkPX7G54T3gvci2,5,1320.5599999999627,1188.4000000001863,1203.0400000002235,5596.080000000261,2625.5599999997767,1717.0199999999254,1482.4799999998882,1536.7600000003354,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,1254.4800000000746,3141.5600000000873,1887.0800000000127,1.0,0.6,-0.4
6ABZuv4jbjgE0B8TeyUk6nwVb122,5,1868.4600001335143,1552.6599999427795,1491.379999923706,3155.9,2682.9599998474123,1774.4800000190735,2030.1400000572205,1680.9000000953674,1.0,1.0,0.2,0.8,0.8,1.0,1.0,1.0,1710.5600000381469,2443.4133332570395,732.8533332188927,1.0,0.6,-0.4
6WFCyGwk71XLPBmbe4Vav3eotVm1,5,957.3599998474122,1013.2599999427796,1952.4199997901917,2038.0199998855592,1261.1399997711183,1541.739999961853,1171.4800000190735,1164.779999923706,1.0,1.0,0.6,0.6,0.8,0.8,0.8,1.0,985.3099998950959,1750.5266664822896,765.2166665871937,1.0,0.6666666666666666,-0.33333333333333337
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,5,1565.5800000190734,1497.6400000095368,1607.4399999618531,2001.6800000190735,1748.7199999809266,1706.4800000190735,1753.3599999904632,1556.1799999713899,1.0,1.0,0.4,0.6,0.6,1.0,1.0,1.0,1531.6100000143051,1785.946666653951,254.33666663964596,1.0,0.5333333333333333,-0.4666666666666667
80UJMJbCOMgs6YVpsMgXfYTzw6o2,5,998.039999999851,1056.539999999851,1001.239999999851,1743.1,1623.0799999993294,1273.319999999553,1110.060000000149,1182.5599999997764,1.0,1.0,0.2,0.4,1.0,1.0,1.0,1.0,1027.289999999851,1455.8066666663935,428.5166666665425,1.0,0.5333333333333333,-0.4666666666666667
87w5Le0CgZhSfYAaOH3Xd2fc98l1,5,1243.8399999991059,1079.360000000149,1235.159999999404,2038.9,1545.640000000596,2317.200000000745,1666.1399999991058,2395.520000000298,1.0,1.0,0.2,0.8,0.6,0.6,0.6,0.4,1161.5999999996275,1606.5666666666666,444.96666666703914,1.0,0.5333333333333333,-0.4666666666666667
8bwaafIhKVMNBoHaXFcY8HirS9u2,5,857.5,1053.7200000286102,980.1799999713897,1526.239999961853,1965.260000038147,1765.9999999046327,1027.2400000572204,1132.9599999904633,1.0,1.0,0.6,0.6,0.8,1.0,1.0,0.8,955.6100000143051,1490.5599999904632,534.9499999761581,1.0,0.6666666666666666,-0.33333333333333337
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,5,1210.540000152588,1018.2799999237061,1159.179999923706,1599.0799997329711,2519.579999923706,1604.4799999237061,1561.0199998855592,1544.5399997711181,1.0,1.0,0.6,0.2,0.8,1.0,1.0,1.0,1114.410000038147,1759.2799998601276,644.8699998219806,1.0,0.5333333333333333,-0.4666666666666667
9NTZ091xWyOO8DgzyTGY0O3i8IR2,5,1035.260000000149,1453.9000000003725,1661.320000000298,1071.8800000000745,1504.8399999994786,1443.0599999997764,968.760000000149,1045.8800000004471,1.0,1.0,0.6,0.4,0.8,1.0,1.0,1.0,1244.5800000002607,1412.6799999999505,168.09999999968977,1.0,0.6,-0.4
9Xz1RIwnPXgyRqmucudW9VeuDnq1,5,1232.0,1075.4,1295.6,1750.0000000000466,1241.0,1091.3999999999535,1508.200000000093,1451.7999999999533,1.0,1.0,0.0,0.4,1.0,1.0,1.0,1.0,1153.7,1428.8666666666822,275.1666666666822,1.0,0.4666666666666666,-0.5333333333333334
9l7DjYLs0XdgwykPZR5E01KTZfu2,5,1251.0800000190734,1123.4399999618531,1222.7,4505.800000023842,1575.2800000429154,1034.8999999761581,1109.1400000333786,1004.7399999856949,1.0,1.0,0.0,0.8,0.8,1.0,1.0,1.0,1187.2599999904633,2434.5933333555854,1247.3333333651221,1.0,0.5333333333333333,-0.4666666666666667
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,5,1163.7400000095367,1162.4,1363.9999999523163,1377.360000038147,1349.5599999427795,1876.839999961853,1069.8,1408.9400000572205,1.0,1.0,0.0,0.6,0.6,1.0,1.0,1.0,1163.0700000047684,1363.6399999777477,200.5699999729793,1.0,0.39999999999999997,-0.6000000000000001
ASGvwW80q7VY7xFaLGZhVuErUQu2,5,1522.9,950.5599998474121,1182.9799999237061,1351.2599994659424,1800.0,1514.620000076294,1728.8200008392334,1443.3199996948242,1.0,1.0,0.4,0.6,0.4,1.0,1.0,1.0,1236.7299999237061,1444.7466664632163,208.0166665395102,1.0,0.4666666666666666,-0.5333333333333334
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,5,1273.4999999046327,1372.220000076294,1435.660000038147,2557.440000152588,2579.8800000190736,1583.660000228882,1597.5199998855592,2755.380000114441,1.0,1.0,0.2,0.0,0.8,0.8,0.6,1.0,1322.8599999904632,2190.99333340327,868.1333334128067,1.0,0.3333333333333333,-0.6666666666666667
AsXBOflrszVNKoFqbN61bMJqS0k2,5,1069.4799999713898,1016.8799999952316,958.0200000047683,1446.4199999809266,1117.199999976158,1248.8600000143051,1640.6599999666214,1631.3600000143051,1.0,1.0,0.4,0.4,0.4,0.8,0.4,1.0,1043.1799999833106,1173.8799999872845,130.70000000397386,1.0,0.4000000000000001,-0.5999999999999999
AyAnuCaltBbpEYbudoyNzTvXlcC2,5,1231.1400000095368,977.2399999976158,1210.9200000166893,3411.700000011921,2242.1600000143053,3433.4800000190735,1799.4800000190735,1904.8799999952316,1.0,1.0,0.0,0.8,0.4,0.8,0.8,1.0,1104.1900000035762,2288.260000014305,1184.070000010729,1.0,0.4000000000000001,-0.5999999999999999
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,5,1261.2199999809266,1175.1200000286103,1188.2000000476837,1099.5599999427795,1253.5799999713897,1382.5,1111.1599999904633,1298.1200000286103,1.0,1.0,0.4,0.6,0.8,0.6,1.0,1.0,1218.1700000047686,1180.446666653951,-37.723333350817484,1.0,0.6,-0.4
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,5,1567.8200000286101,1582.9399999618531,1551.4400000095368,2402.2599999904633,2263.4000000476835,2103.2799999713898,1843.360000038147,1674.0600000381469,1.0,1.0,0.2,0.6,0.6,0.8,1.0,1.0,1575.3799999952316,2072.366666682561,496.9866666873295,1.0,0.4666666666666666,-0.5333333333333334
CDEoAyvS8feXLKMKsaZah9agEhF3,5,1214.1999999998138,1051.9399999999441,1034.4200000000187,2366.3400000000374,2427.320000000019,1828.7200000000187,1901.1599999998696,1131.9199999999255,1.0,1.0,0.2,0.8,0.8,1.0,1.0,1.0,1133.069999999879,1942.6933333333582,809.6233333334792,1.0,0.6,-0.4
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,5,1150.8000000476836,1233.0999999523162,1044.0999999523162,2033.4799999713898,2496.4799999713896,1407.1599998950958,1337.6800000190735,1340.3799999713897,1.0,1.0,0.6,0.2,0.8,0.6,0.6,1.0,1191.9499999999998,1858.019999965032,666.0699999650321,1.0,0.5333333333333333,-0.4666666666666667
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,5,1491.0,1283.8800000000745,1444.0600000000559,2459.460000000149,2482.4599999999627,1636.4400000000373,1445.8799999999815,1781.9400000000373,1.0,1.0,0.0,0.4,0.8,1.0,0.8,0.8,1387.4400000000373,2128.660000000056,741.2200000000184,1.0,0.4000000000000001,-0.5999999999999999
CUNlBEszJVRGK1jWlTaOaCqpDg53,5,1170.5200000006705,1043.8199999999256,1413.560000000149,1421.4599999997765,1565.1600000005214,1990.3600000005215,1644.539999999851,1561.3400000002234,1.0,1.0,0.2,0.2,0.4,1.0,0.8,1.0,1107.170000000298,1466.7266666668158,359.5566666665179,1.0,0.26666666666666666,-0.7333333333333334
Cbkx2NHyF3NrebzXGqNgSfiWent1,5,898.4,826.4399999976158,1053.6799999982118,2968.5599999994038,1122.619999998808,1010.3799999982118,1058.7999999970198,894.8800000011921,1.0,1.0,0.0,0.8,0.8,1.0,1.0,1.0,862.419999998808,1714.9533333321413,852.5333333333333,1.0,0.5333333333333333,-0.4666666666666667
Co587hoelyeANqFX7AYvuVQW0lZ2,5,794.6,769.4199999928475,730.4199999928475,1663.339999985695,1006.8399999976158,1275.6799999952316,995.6799999952316,774.8600000023841,1.0,1.0,0.2,0.4,0.8,1.0,1.0,1.0,782.0099999964237,1133.5333333253861,351.5233333289624,1.0,0.46666666666666673,-0.5333333333333332
CtJe4bZZnYUBNrcPk00d3YQFSGp2,5,1018.8800000001677,995.6600000000559,1135.8199999998324,1779.3799999999815,2131.9199999999255,1505.0,2309.6200000000185,1905.960000000056,1.0,1.0,0.2,0.2,0.4,0.6,1.0,0.8,1007.2700000001118,1682.3733333332464,675.1033333331345,1.0,0.26666666666666666,-0.7333333333333334
DAKDKPH698P12JfTbbjemLI6PIH2,5,847.4,909.9199999809265,1190.160000002384,1274.6199999928474,1230.1200000047684,1168.9799999952315,1020.9800000071525,902.9799999952317,1.0,1.0,0.2,0.8,0.6,1.0,1.0,1.0,878.6599999904632,1231.6333333333332,352.97333334287,1.0,0.5333333333333333,-0.4666666666666667
DPvStUYSmohmXwFwaKRqHv89R3k1,5,1108.0400000095367,1254.699999976158,2624.9200000047686,2671.8399999856947,1804.6399999856949,1332.6800000190735,1827.9400000333785,1390.9000000238418,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1181.3699999928474,2367.133333325386,1185.7633333325387,1.0,0.7999999999999999,-0.20000000000000007
DaRehVxIOhXtEtUExdgvUl0mKcx2,4,1307.9999999701977,1520.9999999850988,1567.574999988079,2301.7750000208616,2974.2999999920526,2079.7666666706405,1302.4666666785877,1668.766666650772,1.0,1.0,0.0,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1414.4999999776483,2281.2166666669978,866.7166666893495,1.0,0.27777777777777773,-0.7222222222222223
Df83JuPuJkXqTGbENhM2gw5SJM43,5,1614.9399999999907,1169.2599999999627,1101.2000000000467,1546.9399999999907,1694.6600000000094,1537.239999999944,1096.6199999999255,1093.2399999999907,1.0,1.0,0.2,0.4,0.8,1.0,1.0,1.0,1392.0999999999767,1447.6000000000156,55.50000000003888,1.0,0.46666666666666673,-0.5333333333333332
DxSidjznjVSNDJuDqqGgxpMEGtw1,5,1584.839999961853,1517.8799999713897,1576.6199999809264,1985.7,1642.5,1774.8000000953675,1700.1,1751.4799999713898,1.0,1.0,0.2,0.8,0.8,1.0,1.0,1.0,1551.3599999666212,1734.9399999936422,183.58000002702101,1.0,0.6,-0.4
DzB19GqCB7fyrlEPexogWkjFzEx2,5,1537.0800000190734,1592.6800000190735,1669.7599999427796,1674.9800000190735,1584.8800000190736,1652.1999999523164,1390.1,1833.4400000095368,1.0,1.0,0.6,0.4,0.8,0.8,0.8,0.8,1564.8800000190736,1643.2066666603089,78.3266666412353,1.0,0.6,-0.4
EEodWwGh0wWq5f8JmzfKvq0lyeu1,5,878.6000000000931,978.4,774.8,1947.8,1224.9999999999534,3058.6,2248.4,808.5999999999534,1.0,1.0,0.4,0.4,0.4,0.8,1.0,0.8,928.5000000000466,1315.866666666651,387.3666666666045,1.0,0.4000000000000001,-0.5999999999999999
EUhcW9kURScie1DwGPHqmNqotJB2,3,1670.7333332697551,1546.8333333333333,1867.8333333333337,1596.966666618983,1837.0,2285.266666571299,3033.533333301544,1916.8999999364216,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1608.7833333015442,1767.266666650772,158.4833333492279,1.0,0.2222222222222222,-0.7777777777777778
EmfmKFDgWJdW47a6CNTNjnbYaPh2,5,1256.9800000190735,1414.4400000095368,2227.2599999904633,3094.900000023842,1391.3,1969.5799999713897,1969.6400000333786,1839.2800000190734,1.0,1.0,0.2,0.8,0.8,0.8,1.0,1.0,1335.710000014305,2237.8200000047686,902.1099999904636,1.0,0.6,-0.4
EoToosG69XMp4LTYdB6sB9WTrv22,5,956.6799999237061,1184.6999999046325,2846.9000000953674,1366.6000000953675,1104.039999961853,1772.6,967.879999923706,1762.139999961853,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1070.6899999141692,1772.513333384196,701.8233334700267,1.0,0.9333333333333332,-0.06666666666666676
Fz7EUjZCLuUBxLDUVtN6djaBTy42,5,1698.2200000286102,1897.039999985695,1632.839999985695,1856.1200000047684,1895.1400000095368,1887.8600000143051,1947.6400000095368,1739.7200000047683,1.0,1.0,0.2,0.2,0.8,1.0,1.0,1.0,1797.6300000071526,1794.7,-2.9300000071525574,1.0,0.4000000000000001,-0.5999999999999999
G1Ff3XYUZMRsPafyEQ80ussnVlf1,5,1255.8000000476836,1245.3999999523162,1074.499999976158,1445.6799999713899,1667.3400000095367,1883.2399999856948,1631.4400000095368,1860.6599999666214,1.0,1.0,0.6,0.2,0.8,0.6,0.8,0.8,1250.6,1395.839999985695,145.23999998569502,1.0,0.5333333333333333,-0.4666666666666667
G9VruXninjUdE9czK2DambZl5li2,5,1312.0,1185.6000000000931,1021.5999999999534,1639.4000000000465,2231.2000000000467,1287.6,1717.6000000000465,1470.3999999999069,1.0,1.0,0.0,0.4,0.8,0.8,0.6,0.8,1248.8000000000466,1630.7333333333488,381.93333333330224,1.0,0.4000000000000001,-0.5999999999999999
GDZGRW51kbWtAdUIHCtEd8sAtqY2,5,1806.9599999904633,1646.0399998664857,1561.9,2002.1599999904633,2440.6800000190733,1498.9599999427796,2008.5,1745.8,1.0,1.0,0.2,0.4,0.6,0.8,0.8,1.0,1726.4999999284746,2001.5800000031788,275.08000007470423,1.0,0.4000000000000001,-0.5999999999999999
GE4hogtdLdTFbNasENgtm6SO3hC3,5,1490.0599999904632,1649.880000001192,2521.839999997616,1681.4399999976158,1524.2000000059604,1666.5200000047685,1628.7999999940396,1514.4999999940396,1.0,1.0,0.4,0.8,0.8,1.0,1.0,1.0,1569.9699999958275,1909.1600000003973,339.1900000045698,1.0,0.6666666666666666,-0.33333333333333337
GEwkBw3YHaNp3TCh9YS9PKVfavz1,5,1040.1799999952316,1096.5200000047685,1066.3400000095367,1726.7599999666213,2418.6199999928476,1515.3799999952316,1260.6599999904633,1142.0399999976157,1.0,1.0,0.4,0.4,0.8,1.0,1.0,1.0,1068.35,1737.2399999896686,668.8899999896687,1.0,0.5333333333333333,-0.4666666666666667
HSggdq91WiQp16bOj7V3dABkcgk2,5,964.2,1720.9399999856948,1041.7199999570846,1787.0199999570846,1460.8999999761581,1093.2600000143052,1919.9599999904633,901.9199999809265,1.0,1.0,0.2,0.8,0.8,0.8,1.0,1.0,1342.5699999928474,1429.8799999634423,87.30999997059484,1.0,0.6,-0.4
HbydnnT1hUP3WagAy2TJAc6GqVs2,5,1321.6599999904633,1673.7799999713898,2471.9199999809266,1620.7999999523163,2006.3400000095367,2252.860000038147,1899.5200000286102,1854.2599999904633,1.0,1.0,0.6,1.0,0.8,1.0,1.0,1.0,1497.7199999809266,2033.0199999809265,535.3,1.0,0.8000000000000002,-0.19999999999999984
HyQM2xKwwuVfqidmRYF6TiRk90C2,5,1048.3799999982118,947.4999999970198,1006.0399999946355,1356.7999999970198,1626.0799999952317,1308.5199999988079,1047.8799999952316,1251.4,1.0,1.0,0.6,0.6,0.6,0.8,1.0,1.0,997.9399999976158,1329.639999995629,331.69999999801325,1.0,0.6,-0.4
IaTJhUGICmO9xcL3605RW8QHneN2,5,871.2400000035763,881.0399999976158,984.2600000023842,1801.5799999952317,1261.7799999952317,1505.3400000095367,1112.9999999940396,1020.3599999964238,1.0,1.0,0.0,0.4,0.6,1.0,1.0,1.0,876.140000000596,1349.2066666642825,473.0666666636864,1.0,0.3333333333333333,-0.6666666666666667
JOBWLirr6KYf3GXJ3jPFKmd48S93,5,1225.8599999904632,1236.9199999809266,1130.6400000095368,1900.9,1524.499999988079,1256.9399999976158,1224.6799999952316,1291.3600000023841,1.0,1.0,0.0,0.4,1.0,1.0,1.0,1.0,1231.3899999856949,1518.6799999992054,287.2900000135105,1.0,0.4666666666666666,-0.5333333333333334
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,5,1251.8799999833107,1038.960000014305,2236.4599999785423,1172.4400000095368,1563.660000002384,1270.6399999856949,1017.0199999928475,1110.9800000071525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1145.4199999988077,1657.5199999968208,512.0999999980131,1.0,1.0,0.0
JvrZiMHtAfP6gvQtlevYWafKy0z2,5,1531.7,1616.739999961853,1736.6800001144409,2116.1,1875.9800001144408,2456.5800001144407,1725.719999885559,1904.139999961853,1.0,1.0,0.2,0.4,0.8,0.8,0.8,1.0,1574.2199999809266,1909.5866667429607,335.36666676203413,1.0,0.46666666666666673,-0.5333333333333332
K26uNuY0VNPjJNF26wEx3bFg0kr2,5,944.0599999999628,1014.8799999999814,949.4800000000745,1691.4399999999441,1408.900000000093,1157.8599999999628,1145.4,1035.1800000000744,1.0,1.0,0.4,0.6,0.8,0.8,1.0,1.0,979.4699999999721,1349.9400000000371,370.47000000006506,1.0,0.6,-0.4
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,5,1194.2,1179.3999999999535,1005.6000000000465,2779.0,2002.5999999999535,3039.2,1423.9999999999068,1208.0000000000466,1.0,1.0,0.2,0.4,0.6,0.8,1.0,1.0,1186.7999999999768,1929.0666666666668,742.2666666666901,1.0,0.4000000000000001,-0.5999999999999999
