participant_id,wcst_n_shifts,wcst_shift_rt_km2,wcst_shift_rt_km1,wcst_shift_rt_k0,wcst_shift_rt_k1,wcst_shift_rt_k2,wcst_shift_rt_k3,wcst_shift_rt_k4,wcst_shift_rt_k5,wcst_shift_acc_km2,wcst_shift_acc_km1,wcst_shift_acc_k0,wcst_shift_acc_k1,wcst_shift_acc_k2,wcst_shift_acc_k3,wcst_shift_acc_k4,wcst_shift_acc_k5,wcst_shift_rt_pre_mean,wcst_shift_rt_post_mean,wcst_shift_rt_delta,wcst_shift_acc_pre_mean,wcst_shift_acc_post_mean,wcst_shift_acc_delta
06qcrpGKL6Vc3LVplFQC90VAcRm1,5,808.5799999982119,872.419999998808,764.859999999404,1133.6000000029803,1978.0800000041722,1013.6,922.2200000017881,876.7199999958277,1.0,1.0,0.2,0.2,0.8,1.0,1.0,1.0,840.4999999985099,1292.1800000021856,451.6800000036757,1.0,0.4000000000000001,-0.5999999999999999
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,5,911.8800000000745,1236.7600000001025,1606.1200000000185,2340.0999999999535,1291.2200000000187,1059.1599999999628,822.5800000000279,1021.9,1.0,1.0,0.2,0.6,0.8,0.8,0.6,1.0,1074.3200000000884,1745.81333333333,671.4933333332417,1.0,0.5333333333333333,-0.4666666666666667
0d841i8KPjdjwCYfDuUUXj0SEjH2,5,1296.160000038147,1161.339999961853,2844.920000076294,2928.0799997329714,1852.8199998855591,1410.4600002288819,1473.5399997711181,1438.780000114441,1.0,1.0,0.2,0.8,1.0,1.0,1.0,1.0,1228.75,2541.939999898275,1313.189999898275,1.0,0.6666666666666666,-0.33333333333333337
0oa5NYVnIBS9NmrmRAZrahXDctP2,5,768.0799999952317,798.7599999964237,737.859999999404,1612.659999996424,935.959999999404,940.140000000596,686.0200000017882,1049.119999998808,1.0,1.0,0.2,0.4,0.8,1.0,1.0,1.0,783.4199999958278,1095.4933333317438,312.073333335916,1.0,0.46666666666666673,-0.5333333333333332
146QT9LupyU2BAiTsB3PMIpVXM22,5,894.5799999982119,983.0199999958277,915.3799999982118,1413.659999999404,1554.5399999976157,1446.9800000011921,1248.5600000023842,1482.2000000029802,1.0,1.0,0.4,0.6,0.8,0.6,1.0,0.8,938.7999999970198,1294.526666665077,355.7266666680573,1.0,0.6,-0.4
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,5,1291.4599999904633,1331.219999998808,1351.2399999976158,4005.1400000035765,4163.6,2097.760000014305,1677.7399999976158,1579.0,1.0,1.0,0.0,0.6,0.8,1.0,1.0,1.0,1311.3399999946355,3173.3266666670643,1861.9866666724288,1.0,0.4666666666666666,-0.5333333333333334
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,5,1528.6800000190735,1717.5400000095367,1432.3400000095367,3473.5799999952314,2111.959999990463,1549.6599999904633,1573.460000014305,943.7599999904633,1.0,1.0,0.0,0.6,1.0,1.0,1.0,1.0,1623.1100000143051,2339.2933333317437,716.1833333174386,1.0,0.5333333333333333,-0.4666666666666667
1fbLQPCcysVlSKup96K4yI5NX6G3,5,1172.460000038147,962.1800000190735,1068.2599999904633,1429.2,1391.679999947548,1498.6200000047684,1398.8800000190736,1502.8599999904632,1.0,1.0,0.4,0.0,0.2,0.4,0.6,1.0,1067.3200000286101,1296.379999979337,229.05999995072693,1.0,0.20000000000000004,-0.7999999999999999
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,5,1572.039999985695,1316.4200000286103,1369.2400000333787,1435.7800000429154,1940.9799999952315,2349.7400000095367,2570.2599999904633,1400.9400000095368,1.0,1.0,0.8,0.6,0.8,0.8,0.8,1.0,1444.2300000071527,1582.0000000238422,137.77000001668944,1.0,0.7333333333333334,-0.2666666666666666
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,3,1637.1666666666667,1605.3999999960263,1186.866666674614,1374.4666666785877,2799.4666666785874,1608.866666654746,1343.1333333651226,2015.6000000039737,1.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1621.2833333313465,1786.93333334393,165.6500000125834,1.0,0.1111111111111111,-0.8888888888888888
23AEyocWhqY955WHbxhHRSgQ1ms2,5,1075.20000000149,1101.240000000596,1026.3,1603.90000000149,2398.640000000596,1492.4599999964237,1577.9599999994039,1232.919999998808,1.0,1.0,0.6,0.0,0.4,0.6,0.8,0.8,1088.220000001043,1676.2800000006955,588.0599999996525,1.0,0.3333333333333333,-0.6666666666666667
