outcome,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_wald,delta_r2_interaction,p_interaction_wald
WCST Exploration RT Mean,210,0.011772849898671112,0.02298055047061709,0.04189327105083929,0.04549194893027764,0.011207700571945978,0.506320668390506,0.018912720580222198,0.046638780022411085,0.00359867787943835,0.38387110706494565
WCST Exploration RT SD,210,0.010088470747822154,0.011889854874481909,0.014187917759820645,0.018573010488845743,0.0018013841266597552,0.9458680683294615,0.0022980628853387364,0.4922944556671127,0.004385092729025097,0.343233650666562
WCST Exploitation RT Mean,209,0.07206298297475267,0.09265315226191129,0.09268447245314593,0.09285793117239605,0.02059016928715862,0.20645154790841672,3.132019123464058e-05,0.9335332705203633,0.00017345871925011913,0.8447720600568661
WCST Exploitation RT SD,209,0.005967416924214652,0.030456477005419202,0.03200155251306702,0.03225491373793499,0.02448906008120455,0.16630320089659859,0.0015450755076478195,0.5707855414894816,0.0002533612248679651,0.8187936732291586
WCST Exploration RT Penalty,209,0.0029100518165537936,0.003527851607135979,0.024413534328787234,0.028661580165893485,0.0006177997905821853,0.9885274374259629,0.020885682721651255,0.03883010866050862,0.004248045837106251,0.34958659479445775
WCST Switch First Trial RT,210,0.012708302481723832,0.021289051731064657,0.04153255322853777,0.0415552466008412,0.008580749249340824,0.6181811790547914,0.020243501497473115,0.039658563824456136,2.2693372303428383e-05,0.9449323630221644
WCST Switch First Trial Accuracy,210,0.0008803356167572662,0.01415051102801046,0.02029109639611404,0.02031378207009482,0.013270175411253193,0.4344264480876344,0.006140585368103579,0.2606564907509153,2.268567398078236e-05,0.945540899779636
WCST Switch First Error Latency,208,0.0006387038693841385,0.011516606518981898,0.01983483943722042,0.02239622089086024,0.01087790264959776,0.528754581280306,0.008318232918238522,0.19302401021483312,0.0025613814536398216,0.46998105791260103
WCST Switch First Error RT,208,0.019142310110299432,0.02395888080847053,0.02498342289567257,0.025188536147031426,0.0048165706981710965,0.8020180457045708,0.0010245420872020405,0.646317576062085,0.00020511325135885716,0.8376709390315128
WCST Switch Signal RT,207,0.01083527948995422,0.018949094444361547,0.024351990385943045,0.026073925831636036,0.008113814954407328,0.6459420069953773,0.005402895941581498,0.2938849274511926,0.0017219354456929903,0.5537474936499271
WCST Switch Signal Delta,207,0.004139991590735859,0.012090294248201738,0.015448117404007311,0.016092766865697383,0.00795030265746588,0.6559730392002987,0.0033578231558055727,0.4098480112629931,0.0006446494616900722,0.7184178138600524
WCST Switch Lucky Streak Length,208,0.0006387038693840275,0.011516606518982009,0.01983483943722053,0.02239622089086024,0.010877902649597981,0.5287545812802935,0.008318232918238522,0.19302401021483312,0.0025613814536397106,0.46998105791260103
WCST Exploration RT Slope,152,0.004834300980707917,0.011230005951722966,0.011874748901487542,0.011876677860478968,0.006395704971015048,0.8146657025040865,0.0006447429497645762,0.758836179988517,1.9289589914261995e-06,0.9866462646686983
WCST Exploration Error Rate,210,0.0007728580278122399,0.017028721829322024,0.0237260764475421,0.025242801254515057,0.016255863801509784,0.34016638737865523,0.006697354618220075,0.23934683258163666,0.0015167248069729578,0.5756671183074697
WCST Confirmation RT Mean,209,0.04147283937167057,0.04404876152316095,0.08690757113742287,0.08889391547329539,0.002575922151490384,0.9083130002630461,0.04285880961426192,0.0023641288504512616,0.0019863443358725252,0.5087462130738033
WCST Post-Reacq RT CV,209,0.012570522767055281,0.04943658529619788,0.053857365730642814,0.054361453649750535,0.036866062529142596,0.05163002952816084,0.0044207804344449375,0.3324567141737793,0.0005040879191077208,0.7437573757884981
WCST Shift PE RT Mean,202,0.03081733789902641,0.03478799957886303,0.03838067735066564,0.04212323120536987,0.003970661679836618,0.8478655176023864,0.0035926777718026104,0.39440611808704595,0.0037425538547042336,0.3850361305871747
WCST Shift PE Count Mean,210,0.007373450129288361,0.017869818102033475,0.025010082975819525,0.027974356754472685,0.010496367972745113,0.5370974326642283,0.007140264873786051,0.22415099494496432,0.0029642737786531592,0.43345115962138747
WCST Shift PE Rate Mean,210,8.277957788338508e-05,0.012040245333078126,0.025189802914882042,0.02749273598879043,0.01195746575519474,0.48252208239964556,0.013149557581803917,0.09951183330099975,0.0023029330739083864,0.48996776630012173
WCST Post-Shift PE RT Mean,202,0.014642434498382761,0.015533488361099246,0.021787250287981008,0.023718710535561405,0.0008910538627164843,0.9810950748008069,0.006253761926881762,0.2655682200209168,0.0019314602475803966,0.5362998725109877
WCST Post-Shift PE Slowing (ms),202,0.006409678066464086,0.007989210497635124,0.010978001270265159,0.011424988577058537,0.001579532431171038,0.9576364222101185,0.0029887907726300345,0.44362489907591773,0.0004469873067933783,0.7674157172980574
WCST Shift PE RT Mean (to reacq),205,0.04215086520026923,0.04508323580155704,0.05814616578184617,0.05951286971775249,0.002932370601287815,0.8937522625006196,0.013062929980289129,0.09907332511935121,0.0013667039359063216,0.5932191023322573
WCST Shift PE Count Mean (to reacq),210,0.013746677255723205,0.03005391856145323,0.03025465570387309,0.0327946634888332,0.016307241305730025,0.33268399578349206,0.00020073714241986007,0.8377852007324105,0.0025400077849601077,0.4672492689883271
WCST Shift PE Rate Mean (to reacq),210,0.008598782365700441,0.03362851736828831,0.03426107972339787,0.03426308041777637,0.025029735002587872,0.15576200847951943,0.000632562355109556,0.7157562705116873,2.0006943785011444e-06,0.9836992054273018
WCST Post-Shift PE RT Mean (to reacq),204,0.006870014987376494,0.009215522510999885,0.028126602917964427,0.030744836642119244,0.0023455075236233913,0.9255703696456355,0.018911080406964542,0.05165602066240415,0.002618233724154817,0.4677057613643836
WCST Post-Shift PE Slowing (to reacq),204,0.0037845129019272727,0.008764345481725222,0.016451083947900624,0.017832032022010336,0.004979832579797949,0.8025261821337646,0.007686738466175402,0.216150611997094,0.0013809480741097113,0.6002062857184329
WCST Stable-Context PE RT Mean,101,0.023699915138094774,0.0938480735094901,0.11112993593926734,0.11138315874268034,0.07014815837139532,0.06815841056981127,0.01728186242977725,0.17965576367647562,0.0002532228034130002,0.871034665648009
WCST Stable-Context PE Count Mean,209,0.003405933858532384,0.004869417804578502,0.007891849819942953,0.012904392592962721,0.001463483946046118,0.960206141152353,0.0030224320153644513,0.4336853596501197,0.005012542773019768,0.3135694362766942
WCST Stable-Context PE Rate Mean,209,0.002483503274429366,0.016533561708776068,0.016671342504865794,0.031116199750324758,0.014050058434346702,0.4094320833222497,0.00013778079608972593,0.8665654131635594,0.014444857245458964,0.08497083617578069
WCST PE Context RT Delta (Stable-Shift),99,0.008669354927733353,0.07698526999710398,0.09789449521030003,0.0979609513775358,0.06831591506937063,0.08298123643825614,0.020909225213196048,0.14762150669161164,6.64561672357733e-05,0.9349222888809899
WCST PE Context Rate Delta (Stable-Shift),209,0.00022848907348704817,0.019973615065774997,0.02918392427706029,0.03555176415915118,0.01974512599228795,0.25513874135861464,0.009210309211285295,0.1677802554678959,0.006367839882090887,0.25068707629566284
"WCST PE Context RT Delta (Stable-Shift, reacq)",99,0.008986555321669809,0.09743791476175034,0.10951649076377945,0.10969346796249524,0.08845135944008053,0.03294316784686313,0.012078576002029107,0.2668639744958333,0.00017697719871578865,0.8933073487283036
"WCST PE Context Rate Delta (Stable-Shift, reacq)",209,0.012540115120366013,0.05057874719735389,0.05178858083443383,0.05624377958226168,0.03803863207698788,0.04613497313383261,0.0012098336370799379,0.6122350264741407,0.004455198747827849,0.3311798174646514
WCST Shift-Context Error RT Mean,207,0.020761830083949717,0.02233840220524197,0.03838669700406816,0.0420183135811687,0.0015765721212922523,0.9553230214085432,0.01604829479882619,0.06919618691569901,0.003631616577100538,0.38613618934491956
WCST Post-Shift Error RT Mean,206,0.0062408538644883604,0.013911739535360845,0.04273178208937933,0.04324015018792937,0.007670885670872485,0.6699409874857467,0.028820042554018488,0.015244313292821294,0.0005083680985500383,0.7460118699541033
WCST Shift-Context Post-Error Slowing,206,0.0029632698033394966,0.020975311115572493,0.032175307817845944,0.03282384737516697,0.018012041312232996,0.30118001027068636,0.011199996702273451,0.1307200537260762,0.0006485395573210262,0.7159671708594485
WCST Stable-Context Error RT Mean,121,0.010091980429165814,0.03210302020987088,0.03825768956198328,0.03942667967421587,0.022011039780705066,0.45799563444442637,0.006154669352112396,0.3948226700806915,0.001168990112232593,0.7114555626408949
WCST Post-Stable Error RT Mean,121,0.05780906360338023,0.06198669437403059,0.08005524786613516,0.08082976924336538,0.004177630770650365,0.9159706141048426,0.018068553492104567,0.13732585883953785,0.0007745213772302195,0.7582144945712243
WCST Stable-Context Post-Error Slowing,121,0.03617947874409366,0.07944467788993237,0.07984181032401316,0.08093589315428606,0.043265199145838706,0.15080982145079874,0.00039713243408079357,0.8248555816112271,0.0010940828302729022,0.7144779788493796
WCST Error Context Post-Error RT Delta (Stable-Shift),120,0.054132658456026106,0.056217435323306586,0.06787126603662774,0.0679446655758914,0.00208477686728048,0.9686742957140723,0.011653830713321156,0.23708915862944274,7.339953926366327e-05,0.9253445049463374
WCST Error Context PES Delta (Stable-Shift),120,0.032937729331316556,0.07734273859308982,0.08795777822674178,0.09038734065465603,0.044405009261773265,0.14587536428754438,0.010615039633651957,0.2538814535932206,0.002429562427914256,0.5855036490909684
WCST Non-Shift Error RT Mean,194,0.03708914679216724,0.056666090672319425,0.06455565113038675,0.06455741461977094,0.019576943880152187,0.27563884897655166,0.007889560458067324,0.2107367025705259,1.7634893841877997e-06,0.9850801262849658
WCST Shift-Context Error Count (Total),212,0.019628857468373617,0.04453826493029844,0.04732716508761503,0.05536169533791879,0.024909407461924826,0.1501620842712343,0.0027889001573165872,0.4394222248284544,0.008034530250303762,0.18923819174064763
WCST Shift-Context Error Rate,210,0.01955197712713863,0.048038527304943734,0.048074059353508836,0.05086009992642215,0.028486550177805103,0.11017750668203777,3.553204856510117e-05,0.9307195177051277,0.0027860405729133175,0.44218520313611953
WCST Non-Shift Error Count (Total),212,0.0002065692463283364,0.01625215035159,0.01642383804220182,0.01762234452705802,0.016045581105261664,0.3419834852010879,0.00017168769061182143,0.8501500603168246,0.0011985064848561988,0.6184014855133773
WCST Non-Shift Error Rate,212,0.0004884464525852783,0.008259927048887339,0.008691841492700636,0.009077259267625926,0.0077714805963020606,0.6567038486982614,0.00043191444381329713,0.7653476870805835,0.0003854177749252896,0.7784719164919007
WCST HMM Lapse Occupancy (%),212,0.0077083836468606615,0.02552374578291705,0.037040168776441895,0.03732344568397927,0.01781536213605639,0.29081145850292,0.011516422993524844,0.11894168413038742,0.00028327690753737755,0.8066964286502688
WCST HMM P(Focus->Lapse),212,0.0022956379394519777,0.008945135799853898,0.00982997275102726,0.011367599233625736,0.006649497860401921,0.7100228717954492,0.0008848369511733623,0.6690933275169471,0.0015376264825984753,0.5738639228796782
WCST HMM P(Lapse->Focus),212,0.007933426684570533,0.02905793891759678,0.06892057601398771,0.07218185479263861,0.02112451223302625,0.21729042278376415,0.03986263709639093,0.0034114865173148715,0.0032612787786509,0.3981024064711757
WCST HMM P(Lapse->Lapse),212,0.007933426684570533,0.02905793891759678,0.06892057601398793,0.07218185479263861,0.02112451223302625,0.21729042278376415,0.03986263709639115,0.0034114865173148295,0.003261278778650678,0.39810240647116824
WCST HMM P(Focus->Focus),212,0.0022956379394519777,0.008945135799853676,0.009829972751027038,0.011367599233625736,0.0066494978604016985,0.7100228717954545,0.0008848369511733623,0.6690933275169665,0.0015376264825986974,0.5738639228796782
WCST HMM Lapse RT Mean,212,0.0031091748969857003,0.01822730689113783,0.023166742380364647,0.023189498666002062,0.015118131994152129,0.36825205796190463,0.004939435489226818,0.3098138685213567,2.2756285637415274e-05,0.9451062523577748
WCST HMM Focus RT Mean,212,0.057377460976657635,0.08062313548331934,0.09502631396265293,0.09853812350361624,0.023245674506661707,0.16070932261418175,0.01440317847933359,0.07233925802542514,0.0035118095409633066,0.3737271680927772
WCST HMM RT Difference,212,0.0037395896051070077,0.017832033526599456,0.022180180800086435,0.02218319968191762,0.014092443921492448,0.40067847941028756,0.00434814727348698,0.34081754902214123,3.0188818311849275e-06,0.9800026971672154
WCST HMM State Changes,212,0.008965951086631674,0.010669234872478839,0.012956008686504483,0.013762654403506658,0.001703283785847165,0.9493306614952842,0.0022867738140256444,0.4915016424001194,0.0008066457170021746,0.6833532195083947
WCST RL alpha,212,0.0037132766823143593,0.016904888204436253,0.02172863439569339,0.0236017711474914,0.013191611522121893,0.43138527934633086,0.004823746191257139,0.3158888574930146,0.0018731367517980102,0.5322863999868414
WCST RL beta,212,0.0032921528411281598,0.047829744129091134,0.0722556422816556,0.0845727989345838,0.044537591287962974,0.023980771505350825,0.024425898152564463,0.02114846090189955,0.012317156652928207,0.09910611356631305
WCST RL alpha (pos),212,0.0024150004631233735,0.013238874482439766,0.016529002273653504,0.01673970856567819,0.010823874019316393,0.5216295244126508,0.0032901277912137372,0.40855560998234486,0.00021070629202468716,0.8345917540639147
WCST RL alpha (neg),212,0.00016243782189384603,0.01718660336388156,0.018759692400743044,0.022462805745861902,0.017024165541987712,0.3148053818574984,0.0015730890368614858,0.5670842520966234,0.003703113345118858,0.38038831275059326
WCST RL alpha asymmetry,212,0.0019583845610241513,0.025516469946399112,0.025652346098439027,0.026851282061617687,0.02355808538537496,0.1767926954436235,0.00013587615203991543,0.8659006353614798,0.00119893596317866,0.6166796306071101
WCST RL beta (asym),212,0.0065599933886613115,0.01940237208835638,0.021425008575491122,0.02777915029355682,0.012842378699695067,0.44246711293144403,0.0020226364871347435,0.5158162650997615,0.006354141718065698,0.2495729136996401
WCST WSLS P(stay|win),212,0.00021606295577492052,0.03966851763854118,0.04011890687826347,0.04099314961340039,0.03945245468276626,0.03995404857445323,0.00045038923972229306,0.7567671530537174,0.0008742427351369209,0.6667483538328229
WCST WSLS P(shift|lose),208,0.02630350404678694,0.0321787507601311,0.036664674283408805,0.03689711367383175,0.005875246713344162,0.7468781764674584,0.004485923523277702,0.3344743208170312,0.00023243939042294492,0.8263275146167561
WCST Bayesian RL hazard,212,0.028746243644839686,0.04024176081424824,0.04255697224286226,0.05057670625391697,0.011495517169408553,0.48281151437661385,0.002315211428614017,0.4821882264231778,0.008019734011054713,0.1907592872606237
WCST Bayesian RL noise,212,0.014566494126066032,0.035002498890600364,0.03738743663384725,0.040318452251808856,0.020436004764534332,0.22821190603674918,0.0023849377432468843,0.47685913676930547,0.0029310156179616076,0.4308335074720241
WCST Bayesian RL beta,212,0.024990052740691104,0.028231362607096355,0.030425593040644294,0.04751890257858826,0.003241309866405251,0.8761106038441656,0.002194230433547939,0.4965604164588351,0.017093309537943968,0.057100196742939785
WCST Total Errors,212,0.004664971106301263,0.009889966253153859,0.011552987014062266,0.01783974986974357,0.005224995146852596,0.7802452992043157,0.001663020760908407,0.5576584370026656,0.006286762855681305,0.2544968004110336
WCST Error Rate,212,0.009174811749756984,0.01291194114386518,0.01536902708766219,0.02298170116467768,0.0037371293941081962,0.8541655162892292,0.0024570859437970105,0.47527600225684363,0.007612674077015491,0.20883543579626163
WCST Perseverative Errors (trial-derived),212,0.0007985328878429288,0.023352987269401493,0.023840278469899112,0.023845066133987403,0.022554454381558564,0.19392998781090054,0.0004872912004976193,0.7493718657424611,4.787664088290455e-06,0.9747969784288049
WCST Perseverative Error Rate (trial-derived),212,0.002070308000164056,0.028888148275136083,0.029275968637669014,0.02929991967242762,0.026817840274972027,0.13133665001431435,0.0003878203625329313,0.7750266999370699,2.3951034758606937e-05,0.9435093547588185
WCST Non-Perseverative Errors,212,0.004684998140702112,0.02582508397701433,0.027211607445374986,0.03788611270169684,0.021140085836312217,0.2183281561166632,0.0013865234683606564,0.5894084712433506,0.010674505256321853,0.1340139937408815
WCST Perseverative Responses (trial-derived),212,0.0008478666865019413,0.03189920551766845,0.03267547282246874,0.03469167154812447,0.03105133883116651,0.08890422616093971,0.0007762673048002933,0.6854605347200359,0.0020161987256557268,0.5146505879589229
WCST Perseverative Response Percent (trial-derived),212,0.0015786609570099808,0.046333111519009096,0.046381657910592455,0.049346922894417555,0.044754450561999115,0.023651055658704623,4.8546391583359494e-05,0.9187319167528252,0.0029652649838251,0.42597617270250565
WCST PR Ratio among Errors,211,0.0021580327012964418,0.010231023438882048,0.015523616259767947,0.0181582009127369,0.008072990737585606,0.6437719083861763,0.0052925928208859,0.29622759134377197,0.002634584652968952,0.4613389231182202
WCST NPE Ratio among Errors,211,0.0021580327012962197,0.010231023438881826,0.015523616259767947,0.018158200912736677,0.008072990737585606,0.6437719083861763,0.005292592820886122,0.29622759134377197,0.00263458465296873,0.4613389231182202
WCST Post-Error RT (ms),211,0.01783692261867753,0.018404638828269593,0.055160877091745775,0.05521628066232709,0.0005677162095920618,0.989487279088279,0.03675623826347618,0.005322234494719813,5.5403570581313843e-05,0.913225780140179
WCST Post-Correct RT (ms),212,0.05421797972830478,0.06833881000467568,0.08080471083292085,0.08293752894409645,0.0141208302763709,0.3755192757716033,0.012465900828245169,0.09696555050081253,0.002132818111175605,0.49173235204931665
