n,a,b,c_prime,indirect,ci_low,ci_high,p_boot,sobel_p,x,mediator,outcome
212,1.5715931873508922,0.006964398491930049,-0.1843223621005401,0.010945201223914092,-0.06510176586665344,0.10666104067318513,0.804,0.7209918419298289,z_ucla_score,wcst_hmm_lapse_occupancy,wcst_error_cascade_rate
209,0.07745480377150399,0.02835828462375521,-0.007595343515195243,0.0021964853708294186,-0.003967591537150994,0.010247001534732396,0.524,0.453037943807876,z_ucla_score,wcst_hmm_stay_lapse,wcst_post_switch_error_rate
210,0.03733834514622667,-3.8545754807292436,-0.7277756660287101,-0.1439234696916511,-0.36716380860635073,-0.015494983358844899,0.024,0.16999085830860583,z_ucla_score,wcst_slow_prob_shift_k0,wcst_trials_to_first_conceptual_resp
212,70.55233419650895,0.002941926684854807,-0.38093695552813883,0.207559794651504,0.008374051843429327,0.47344581636336586,0.038,0.046276410066202533,z_ucla_score,wcst_exg_tau,wcst_error_cascade_rate
