task,mean_accuracy,r_male,p_male,r_female,p_female,gender_diff
WCST (PE rate),82.14181065222613,0.03456398634318649,0.8003493846718606,-0.15260199639136027,0.14420638155066842,0.18716598273454677
Stroop (Interference),0.9846196868008947,0.05930946940421765,0.6641405498764117,-0.025205334336044945,0.810468206076887,0.0845148037402626
