participantId,pe_rate_half1,pe_rate_half2,n_trials_half1,n_trials_half2
GE4hogtdLdTFbNasENgtm6SO3hC3,3.0303030303030303,5.88235294117647,33,34
Qv0jhW3sqicqQvd7LfReAsI7nD73,10.526315789473683,7.6923076923076925,38,39
ORvIk1xRWIQmKuLVe6GXNouvAXx2,20.0,13.725490196078432,50,51
80UJMJbCOMgs6YVpsMgXfYTzw6o2,5.714285714285714,8.333333333333332,35,36
rUuJv5gl7dWVo7UPQWMx4bohxhK2,9.090909090909092,11.11111111111111,44,45
xyAILKfYP2M8GqAai11x6NT7IcP2,10.0,9.75609756097561,40,41
pcbRW89vVJcviD87V3uxyG4I9st2,5.714285714285714,0.0,35,36
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,4.081632653061225,8.16326530612245,49,49
yatBVTBMCSMp0wJluOCLzTFKMyP2,8.88888888888889,13.043478260869565,45,46
u64Uf920g5VD9Byq26LT2rs5o4t1,18.867924528301888,7.4074074074074066,53,54
nT1qJOiMyDdJ9ui4el195A8Hsgs1,7.6923076923076925,10.0,39,40
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,8.47457627118644,8.333333333333332,59,60
ric6cNjG25XmZJCiKZDOxzeezao1,8.0,28.000000000000004,50,50
kxerHPSL3bQjD74HhiebYf3blPr1,21.875,21.875,64,64
2h5FgHUEvBS1twD5DqbTIRrMm1f2,14.285714285714285,12.0,49,50
lpzDdvuMkKWkPxu6xeclmdctEp42,9.523809523809524,11.904761904761903,42,42
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,12.82051282051282,10.0,39,40
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,7.317073170731707,14.634146341463413,41,41
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,5.263157894736842,10.526315789473683,38,38
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,8.823529411764707,11.428571428571429,34,35
LliUMEIsrCVZ88YFQfevan2Og4z1,18.75,8.16326530612245,48,49
EUhcW9kURScie1DwGPHqmNqotJB2,31.25,32.8125,64,64
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,10.16949152542373,11.666666666666666,59,60
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,12.698412698412698,19.047619047619047,63,63
wdppvL4tIkVlGjou6aYzzjlaZXB2,29.6875,17.1875,64,64
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,3.125,3.125,32,32
K26uNuY0VNPjJNF26wEx3bFg0kr2,8.571428571428571,11.428571428571429,35,35
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,11.904761904761903,20.930232558139537,42,43
DPvStUYSmohmXwFwaKRqHv89R3k1,6.451612903225806,3.125,31,32
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,6.521739130434782,8.51063829787234,46,47
62fAfeQc27bZelkPX7G54T3gvci2,5.714285714285714,11.428571428571429,35,35
q0Atnpm0jZS5swcVmq0EMalQUKw1,5.714285714285714,8.333333333333332,35,36
kR2rCtaPyPaj7YMizKUDn5xL2qx1,16.666666666666664,7.142857142857142,42,42
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,11.11111111111111,10.81081081081081,36,37
mwsliuPsLFhRFjtjQwYkqcCRDvi2,11.11111111111111,8.333333333333332,36,36
iKVZi0Oo96UrMBhPQMHWFcf55uA3,5.88235294117647,5.88235294117647,34,34
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,8.571428571428571,8.333333333333332,35,36
ssPK6ISW0HerTGke9hznqJ2LpKu1,9.75609756097561,9.523809523809524,41,42
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,10.256410256410255,7.5,39,40
5zxa5CMLGQSSonWOXqXf0QNS3PH3,6.976744186046512,9.090909090909092,43,44
h5RYP03wJuVN0xo7qAR8CKFxLaj1,3.1746031746031744,12.698412698412698,63,63
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,11.11111111111111,13.043478260869565,45,46
v8nNKiWvPdcjiHXZci39OuFTY6M2,7.894736842105263,15.789473684210526,38,38
