,short,short,long,long,bottleneck,bottleneck,bottleneck
,mean,std,mean,std,mean,std,sem
quartile,,,,,,,
Q1,1393.81,285.84,723.3,235.67,670.51,245.5,29.14
Q2,1261.41,293.16,642.93,204.74,618.47,228.12,27.07
Q3,1260.1,280.37,656.25,259.92,603.84,239.48,28.42
Q4,1201.17,298.83,627.4,191.43,573.77,229.24,27.21
